ticker,TFCFA UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-24,1.6381999999999999
2010-03-25,1.1212
2010-03-26,0.2079
2010-03-29,0.6224
2010-03-30,-0.6873
2010-03-31,-0.2768
2010-04-01,1.2490999999999999
2010-04-05,1.3708
2010-04-06,-0.6085
2010-04-07,-1.4966
2010-04-08,1.5884
2010-04-09,3.399
2010-04-12,-1.1834
2010-04-13,2.9275
2010-04-14,2.3271
2010-04-15,-0.3159
2010-04-16,-0.1901
2010-04-19,0.1905
2010-04-20,0.4436
2010-04-21,0.8202
2010-04-22,0.5006
2010-04-23,0.3736
2010-04-26,0.7444
2010-04-27,-3.3867
2010-04-28,-0.8286
2010-04-29,1.2852999999999999
2010-04-30,-2.1574
2010-05-03,4.1505
2010-05-04,-4.1719
2010-05-05,-5.0032
2010-05-06,-4.446
2010-05-07,-2.1475
2010-05-10,7.3153
2010-05-11,-1.2952
2010-05-12,0.2072
2010-05-13,-1.4473
2010-05-14,-2.4476
2010-05-17,0.7168
2010-05-18,-2.0641
2010-05-19,-2.5436
2010-05-20,-5.3690999999999995
2010-05-21,2.0489
2010-05-24,-0.3861
2010-05-25,-0.8527
2010-05-26,0.5473
2010-05-27,4.6655999999999995
2010-05-28,-1.9316
2010-06-01,-3.2576
2010-06-02,4.307
2010-06-03,-0.9009
2010-06-04,-4.0909
2010-06-07,-2.0537
2010-06-08,1.4516
2010-06-09,1.1129
2010-06-10,4.717
2010-06-11,0.3754
2010-06-14,-1.9447
2010-06-15,9.611
2010-06-16,-1.4614
2010-06-17,-0.0706
2010-06-18,-1.0601
2010-06-21,-1.3571
2010-06-22,-2.3172
2010-06-23,-0.3706
2010-06-24,-5.5804
2010-06-25,-1.0244
2010-06-28,0.8758
2010-06-29,-3.6306000000000003
2010-06-30,-2.0475
2010-07-01,-0.4181
2010-07-02,-0.6717
2010-07-06,2.705
2010-07-07,2.0576
2010-07-08,1.6935
2010-07-09,1.9033
2010-07-12,1.0895
2010-07-13,2.0785
2010-07-14,-0.6787
2010-07-15,-0.0759
2010-07-16,-5.1672
2010-07-19,3.125
2010-07-20,2.331
2010-07-21,-4.328
2010-07-22,2.9365
2010-07-23,2.1588
2010-07-26,0.9057
2010-07-27,-1.5707
2010-07-28,-1.3678
2010-07-29,-0.1541
2010-07-30,0.6944
2010-08-02,4.6743
2010-08-03,-0.2196
2010-08-04,1.6141
2010-08-05,3.6101
2010-08-06,-1.7422
2010-08-09,0.1418
2010-08-10,-1.3456000000000001
2010-08-11,-3.9483
2010-08-12,-1.7189999999999999
2010-08-13,-1.5209000000000001
2010-08-16,0.1544
2010-08-17,0.8096
2010-08-18,0.7266
2010-08-19,-2.9613
2010-08-20,-0.3912
2010-08-23,-1.9639
2010-08-24,-2.6843
2010-08-25,-0.2882
2010-08-26,-0.0826
2010-08-27,2.1488
2010-08-30,-0.4045
2010-08-31,2.1121
2010-09-01,3.4208
2010-09-02,2.0
2010-09-03,2.0739
2010-09-07,-2.9718
2010-09-08,0.9188
2010-09-09,1.8209
2010-09-10,0.6706
2010-09-13,2.2206
2010-09-14,0.0
2010-09-15,-0.4707
2010-09-16,-1.4915
