ticker,PPL UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-14,-1.2569
2016-12-15,1.0953
2016-12-16,1.4056
2016-12-19,-0.1444
2016-12-20,-0.2313
2016-12-21,-0.2029
2016-12-22,0.0871
2016-12-23,-0.4933
2016-12-27,-0.2333
2016-12-28,-1.0231
2016-12-29,1.1813
2016-12-30,-0.613
2017-01-03,-0.0587
2017-01-04,0.2057
2017-01-05,0.5865
2017-01-06,0.758
2017-01-09,-0.9838
2017-01-10,-0.8182
2017-01-11,0.8839
2017-01-12,0.7593
2017-01-13,-0.4058
2017-01-17,0.9604
2017-01-18,-0.4324
2017-01-19,-0.8975
2017-01-20,0.4966
2017-01-23,-0.1163
2017-01-24,0.7276
2017-01-25,-0.26
2017-01-26,-0.3187
2017-01-27,-0.4069
2017-01-30,0.321
2017-01-31,1.338
2017-02-01,0.3157
2017-02-02,0.9442
2017-02-03,0.5102
2017-02-06,-0.6204
2017-02-07,0.454
2017-02-08,0.7062
2017-02-09,-0.6452
2017-02-10,0.2259
2017-02-13,0.6479
2017-02-14,-0.7277
2017-02-15,0.0282
2017-02-16,0.6764
2017-02-17,-0.252
2017-02-21,1.1226
2017-02-22,0.4718
2017-02-23,0.884
2017-02-24,0.8488
2017-02-27,-0.7059
2017-02-28,0.8477
2017-03-01,-0.4067
2017-03-02,0.2995
2017-03-03,-0.4343
2017-03-06,0.2726
2017-03-07,0.0272
2017-03-08,-0.9649
2017-03-09,-0.0277
2017-03-10,0.8049
2017-03-13,0.3579
2017-03-14,-0.0549
2017-03-15,1.2901
2017-03-16,-0.4336
2017-03-17,0.6805
2017-03-20,-0.5137
2017-03-21,1.8207
2017-03-22,0.4537
2017-03-23,0.0
2017-03-24,-0.1063
2017-03-27,-0.1064
2017-03-28,0.3727
2017-03-29,-0.6897
2017-03-30,-0.5342
2017-03-31,0.4028
2017-04-03,-0.7489
2017-04-04,0.7006
2017-04-05,0.3746
2017-04-06,-0.2666
2017-04-07,-0.3742
2017-04-10,0.0268
2017-04-11,0.1878
2017-04-12,1.1513
2017-04-13,-0.5294
2017-04-17,0.9313
2017-04-18,0.4482
2017-04-19,-0.8661
2017-04-20,0.0794
2017-04-21,0.3439
2017-04-24,0.1846
2017-04-25,0.4211
2017-04-26,-0.5765
2017-04-27,0.369
2017-04-28,0.0788
2017-05-01,-0.3411
2017-05-02,0.158
2017-05-03,-0.1577
2017-05-04,1.2112
2017-05-05,0.2341
2017-05-08,0.4153
2017-05-09,-0.8271
2017-05-10,0.417
2017-05-11,0.026
2017-05-12,0.5708
2017-05-15,0.1806
2017-05-16,-0.9014
2017-05-17,0.5457
2017-05-18,0.2843
2017-05-19,0.0515
2017-05-22,0.8501
2017-05-23,0.3576
2017-05-24,0.7126
2017-05-25,0.834
2017-05-26,-0.1003
2017-05-30,0.0251
2017-05-31,0.1003
2017-06-01,0.1253
2017-06-02,0.2503
2017-06-05,-0.0999
2017-06-06,-0.2999
2017-06-07,0.3885
2017-06-08,-0.6304
2017-06-09,-0.5329
2017-06-12,-0.8163
2017-06-13,0.2572
2017-06-14,0.7953
2017-06-15,0.3818
2017-06-16,0.1268
2017-06-19,0.2279
2017-06-20,-0.6064
2017-06-21,0.1271
2017-06-22,-0.9393
2017-06-23,-0.4869
2017-06-26,1.1847
2017-06-27,-0.6872
2017-06-28,-0.4613
2017-06-29,-0.4634
2017-06-30,0.0
2017-07-03,-0.9829
2017-07-05,0.0261
2017-07-06,-0.679
2017-07-07,0.1052
2017-07-10,-0.3415
2017-07-11,-0.4744
2017-07-12,0.1059
2017-07-13,-0.9524
2017-07-14,-0.2137
2017-07-17,0.8298
2017-07-18,0.0531
2017-07-19,1.1409
2017-07-20,0.3148
2017-07-21,0.8107
2017-07-24,-0.3891
2017-07-25,-1.1198
2017-07-26,0.316
2017-07-27,0.0788
2017-07-28,0.1574
2017-07-31,0.3929
2017-08-01,0.7305
2017-08-02,0.9065
2017-08-03,0.385
2017-08-04,-0.8182
2017-08-07,0.1031
2017-08-08,0.0
2017-08-09,-0.5923
2017-08-10,0.3886
2017-08-11,-0.671
2017-08-14,0.4677
2017-08-15,0.6465
2017-08-16,0.334
2017-08-17,-0.589
2017-08-18,0.2576
2017-08-21,0.0514
2017-08-22,0.2568
2017-08-23,1.2295
2017-08-24,-0.0506
2017-08-25,0.2278
2017-08-28,-0.1516
2017-08-29,-0.3795
2017-08-30,-0.5079
2017-08-31,0.1531
2017-09-01,-0.3313
2017-09-05,0.1534
2017-09-06,-0.1276
2017-09-07,1.112
2017-09-08,0.9959
2017-09-11,0.708
2017-09-12,-1.9081000000000001
2017-09-13,-0.6399
2017-09-14,0.7728
2017-09-15,0.4857
2017-09-18,-0.5088
2017-09-19,0.2813
2017-09-20,-0.9689
2017-09-21,-0.0772
2017-09-22,-0.8761
2017-09-25,0.4419
2017-09-26,0.2588
2017-09-27,-1.8843999999999999
2017-09-28,0.4473
2017-09-29,-0.6024
2017-10-02,-0.6061
2017-10-03,-0.6893
2017-10-04,0.5072
2017-10-05,-0.9296
2017-10-06,0.0536
2017-10-09,0.2947
2017-10-10,1.1221
2017-10-11,0.1849
2017-10-12,1.1867
2017-10-13,-2.111
2017-10-16,-0.426
2017-10-17,0.2139
2017-10-18,0.1067
2017-10-19,0.7729
2017-10-20,-0.1587
2017-10-23,1.0066
2017-10-24,-0.5507
2017-10-25,-0.6065
2017-10-26,0.0
2017-10-27,0.1592
2017-10-30,-0.6887
2017-10-31,0.1867
2017-11-01,-1.6507
2017-11-02,-0.1083
2017-11-03,-0.4336
2017-11-06,-0.626
2017-11-07,1.9173
2017-11-08,-0.7794
2017-11-09,-0.4334
2017-11-10,-1.2786
2017-11-13,0.9369
2017-11-14,1.2012
2017-11-15,-1.4028
2017-11-16,-0.9029
2017-11-17,0.1104
2017-11-20,-0.9653
2017-11-21,0.3063
2017-11-22,0.111
2017-11-24,0.6933
2017-11-27,0.7436
2017-11-28,-0.1367
2017-11-29,0.219
2017-11-30,0.1639
2017-12-01,-1.0908
2017-12-04,-0.8547
2017-12-05,-1.8632
2017-12-06,0.34
2017-12-07,0.0141
2017-12-08,-1.4849
2017-12-11,0.3478
2017-12-12,-1.6753
2017-12-13,-0.4994
2017-12-14,-0.2067
2017-12-15,0.503
2017-12-18,0.0
2017-12-19,-4.5628
2017-12-20,-2.5601000000000003
2017-12-21,-1.2662
2017-12-22,-0.1924
2017-12-26,-1.1886
2017-12-27,0.2276
2017-12-28,0.2595
2017-12-29,0.1294
2018-01-02,-1.1309
2018-01-03,0.2288
2018-01-04,0.2608
2018-01-05,0.6504
2018-01-08,1.454
2018-01-09,-0.2229
2018-01-10,-1.3725
2018-01-11,-0.0647
2018-01-12,0.6477
2018-01-16,0.5792
2018-01-17,0.9917
2018-01-18,0.1267
2018-01-19,-0.0633
2018-01-22,-0.3166
2018-01-23,0.8892
2018-01-24,0.724
2018-01-25,0.8438
2018-01-26,-0.8057
2018-01-29,-1.4995
2018-01-30,-0.3489
2018-01-31,1.4322
2018-02-01,-2.0082
2018-02-02,-0.1281
2018-02-05,-2.8535
2018-02-06,-0.7591
2018-02-07,0.6651
2018-02-08,-2.4777
2018-02-09,1.8293
2018-02-12,1.3307
2018-02-13,0.7879
2018-02-14,-1.4007
2018-02-15,2.742
2018-02-16,1.1254
2018-02-20,-1.9714
2018-02-21,-2.3354
2018-02-22,-1.9595
2018-02-23,2.7778
2018-02-26,-1.7139
2018-02-27,-2.1797
2018-02-28,-1.7827
2018-03-01,-1.4311
2018-03-02,-1.8058999999999998
2018-03-05,2.1277
2018-03-06,-2.2599
2018-03-07,-0.2168
2018-03-08,2.0275
2018-03-09,-0.8282
2018-03-12,1.2709
2018-03-13,-0.4661
2018-03-14,0.6124
2018-03-15,-0.3222
2018-03-16,1.0057
2018-03-19,-2.5249
2018-03-20,-0.5472
2018-03-21,-0.1467
2018-03-22,0.3674
2018-03-23,-0.6955
2018-03-26,1.1795
2018-03-27,1.6393
2018-03-28,0.9677
2018-03-29,0.426
2018-04-02,-0.813
2018-04-03,-0.1069
2018-04-04,-0.6422
2018-04-05,0.5386
2018-04-06,-0.25
2018-04-09,0.7877
2018-04-10,-1.6341
2018-04-11,0.8667
2018-04-12,-1.3963
2018-04-13,0.9078
2018-04-16,0.9716
2018-04-17,1.0691
2018-04-18,-0.5994
2018-04-19,0.3193
2018-04-20,-1.3791
2018-04-23,0.6812
2018-04-24,1.4957
2018-04-25,0.4912
2018-04-26,0.6983
2018-04-27,0.5548
2018-04-30,0.3448
2018-05-01,-0.8935
2018-05-02,-0.5201
2018-05-03,-0.1394
2018-05-04,1.0471
2018-05-07,-1.2781
2018-05-08,-3.9538
2018-05-09,1.6029
2018-05-10,1.0398
2018-05-11,-1.2775
2018-05-14,-0.6111
2018-05-15,-1.5190000000000001
2018-05-16,-0.8079
2018-05-17,-0.9996
2018-05-18,-0.0748
2018-05-21,0.7485
2018-05-22,1.4487
2018-05-23,0.476
2018-05-24,0.2187
2018-05-25,-0.1818
2018-05-29,-1.5301
2018-05-30,1.1469
2018-05-31,-0.0732
2018-06-01,-1.3176999999999999
2018-06-04,0.0742
2018-06-05,-0.3706
2018-06-06,-4.5015
2018-06-07,1.3635
2018-06-08,0.7029
2018-06-11,-0.349
2018-06-12,1.7121
2018-06-13,-0.0765
2018-06-14,3.6371
2018-06-15,0.0369
2018-06-18,0.8493
2018-06-19,-0.1831
2018-06-20,0.1834
2018-06-21,1.9407
2018-06-22,1.5086
2018-06-25,1.8754
2018-06-26,-0.3821
2018-06-27,0.1395
2018-06-28,-0.3482
2018-06-29,-0.2446
2018-07-02,0.6655
2018-07-03,1.0438
2018-07-05,1.4463
2018-07-06,0.3734
2018-07-09,-5.0051
2018-07-10,0.7832
2018-07-11,0.5652
2018-07-12,0.6322
2018-07-13,-0.4538
2018-07-16,0.0
2018-07-17,-0.3857
2018-07-18,-1.4784
2018-07-19,1.1433
2018-07-20,-1.0597
2018-07-23,0.4284
2018-07-24,1.1376
2018-07-25,1.0896
2018-07-26,0.6954
2018-07-27,-0.587
2018-07-30,-0.3821
2018-07-31,0.3138
2018-08-01,-0.7994
2018-08-02,0.2803
2018-08-03,1.2229
2018-08-06,0.2071
2018-08-07,-0.31
2018-08-08,-1.2785
2018-08-09,1.2601
2018-08-10,-0.3111
2018-08-13,0.7975
2018-08-14,0.688
2018-08-15,-0.2392
2018-08-16,1.2328999999999999
2018-08-17,1.0825
2018-08-20,0.8032
2018-08-21,-1.0292
2018-08-22,-0.7045
2018-08-23,-0.5068
2018-08-24,0.8489
2018-08-27,-0.9091
2018-08-28,0.5437
2018-08-29,-0.0676
2018-08-30,0.5749
2018-08-31,0.0
2018-09-04,0.6725
2018-09-05,2.2712
2018-09-06,0.9798
2018-09-07,-2.458
2018-09-10,1.2101
2018-09-11,0.2325
2018-09-12,-0.1325
2018-09-13,0.4313
2018-09-14,-0.3634
2018-09-17,0.8952
2018-09-18,-0.7887
2018-09-19,-1.7555
2018-09-20,-0.3709
2018-09-21,0.4399
2018-09-24,-1.6509
2018-09-25,-1.5074
2018-09-26,-1.3913
2018-09-27,1.3757
2018-09-28,1.8093
2018-10-01,0.6152
2018-10-02,1.053
2018-10-03,-0.6387
2018-10-04,1.4885
2018-10-05,0.9667
2018-10-08,0.6933
2018-10-09,-0.2623
2018-10-10,0.0986
2018-10-11,-1.5764
2018-10-12,0.9343
2018-10-15,0.6612
2018-10-16,1.3465
2018-10-17,0.1296
2018-10-18,-0.2913
2018-10-19,1.3307
2018-10-22,-2.082
2018-10-23,-0.0654
2018-10-24,2.2259
2018-10-25,-2.2414
2018-10-26,-1.867
2018-10-29,1.9359
2018-10-30,0.6876
2018-10-31,-1.1381999999999999
2018-11-01,0.9211
2018-11-02,0.4889
2018-11-05,0.3568
2018-11-06,0.1939
2018-11-07,1.1613
2018-11-08,0.3189
2018-11-09,0.7311
2018-11-12,-0.4733
2018-11-13,1.1097
2018-11-14,0.9094
2018-11-15,-5.2206
2018-11-16,1.082
2018-11-19,1.9786000000000001
2018-11-20,0.0
2018-11-21,-2.5445
2018-11-23,0.6527
2018-11-26,-0.4864
2018-11-27,1.4011
2018-11-28,-0.8355
2018-11-29,-0.6157
2018-11-30,-0.2608
2018-12-03,1.6999
2018-12-04,-1.2858
2018-12-06,-0.1954
2018-12-07,2.7732
2018-12-10,-0.9649
2018-12-11,-0.9419
2018-12-12,0.623
2018-12-13,0.4562
2018-12-14,-0.7785
2018-12-17,-2.0595
2018-12-18,-6.6422
2018-12-19,0.9296
2018-12-20,1.6649
2018-12-21,-1.0453
2018-12-24,-2.8521
2018-12-26,2.6096
2018-12-27,0.106
2018-12-28,0.0353
2018-12-31,-0.0705
2019-01-02,-0.7766
2019-01-03,-0.3557
2019-01-04,3.0703
2019-01-07,0.1386
2019-01-08,1.3144
2019-01-09,0.0
2019-01-10,0.956
2019-01-11,-0.2367
2019-01-14,-1.8305
2019-01-15,1.5192999999999999
2019-01-16,0.9524
2019-01-17,0.7412
2019-01-18,0.5686
2019-01-22,-0.6319
2019-01-23,2.075
2019-01-24,0.918
2019-01-25,-0.3574
2019-01-28,-0.0326
2019-01-29,-0.1957
2019-01-30,0.6536
2019-01-31,1.6883
2019-02-01,-0.5428
2019-02-04,-0.2889
2019-02-05,0.0
2019-02-06,-0.5795
2019-02-07,0.5505
2019-02-08,0.7729
2019-02-11,-0.5433
2019-02-12,-0.3535
2019-02-13,-0.3225
2019-02-14,-1.1647
2019-02-15,-0.2946
2019-02-19,0.7223
2019-02-20,1.6297000000000001
2019-02-21,0.7697
2019-02-22,0.7002
2019-02-25,0.2845
2019-02-26,0.6303
2019-02-27,0.1566
2019-02-28,0.5941
2019-03-01,0.2798
2019-03-04,0.341
2019-03-05,0.3398
2019-03-06,-0.3695
2019-03-07,0.3786
2019-03-08,-0.2806
2019-03-11,1.2508
2019-03-12,0.2779
2019-03-13,0.0924
2019-03-14,0.2769
2019-03-15,0.4603
2019-03-18,-0.0611
2019-03-19,-1.8949
2019-03-20,0.0312
2019-03-21,0.5917
2019-03-22,-0.3406
2019-03-25,0.497
2019-03-26,0.3091
2019-03-27,-0.339
2019-03-28,-2.3191
2019-03-29,0.4748
2019-04-01,-0.3151
2019-04-02,0.2528
2019-04-03,0.5359
2019-04-04,-0.6899
2019-04-05,1.5156
2019-04-08,-0.6843
2019-04-09,0.2192
2019-04-10,-0.8125
2019-04-11,0.7246
2019-04-12,-0.3441
2019-04-15,0.0628
2019-04-16,-1.7566000000000002
2019-04-17,-0.7344
2019-04-18,-0.386
2019-04-22,-0.4198
2019-04-23,0.0649
2019-04-24,0.2916
2019-04-25,-0.4847
2019-04-26,-0.0649
2019-04-29,-0.6823
2019-04-30,2.0936
2019-05-01,-0.3845
2019-05-02,-1.1258
2019-05-03,1.5615
2019-05-06,-0.6726
2019-05-07,-0.1612
2019-05-08,-1.9057
2019-05-09,-0.3622
2019-05-10,2.5777
2019-05-13,0.9987
2019-05-14,-0.8293
2019-05-15,-1.4152
2019-05-16,-2.3491
2019-05-17,-0.4678
2019-05-20,-0.3357
2019-05-21,1.7851
2019-05-22,-0.5625
2019-05-23,1.0316
2019-05-24,1.4493
2019-05-28,-0.7143
2019-05-29,-2.3872
2019-05-30,0.134
2019-05-31,-0.4349
2019-06-03,1.4113
2019-06-04,1.2591
2019-06-05,1.9306
2019-06-06,1.1878
2019-06-07,-0.2776
2019-06-10,-1.0638
2019-06-11,-0.2607
2019-06-12,1.7968
2019-06-13,-0.1605
2019-06-14,1.0929
2019-06-17,-1.6216
2019-06-18,0.4525
2019-06-19,0.9653
2019-06-20,0.5099
2019-06-21,0.6658
2019-06-24,-0.5354
2019-06-25,-0.5066
2019-06-26,-1.1458
2019-06-27,0.4185
2019-06-28,-0.5771
2019-07-01,-1.3866
2019-07-02,0.6867
2019-07-03,0.9743
2019-07-05,-0.2573
2019-07-08,0.0645
2019-07-09,-1.0957
2019-07-10,-1.1078999999999999
2019-07-11,0.3624
2019-07-12,-0.6566
2019-07-15,0.8262
2019-07-16,-0.4916
2019-07-17,0.0988
2019-07-18,1.0201
2019-07-19,-1.7264
2019-07-22,-0.0331
2019-07-23,-0.2321
2019-07-24,0.7644
2019-07-25,-0.4617
2019-07-26,0.4639
2019-07-29,-0.8575
2019-07-30,-1.1311
2019-07-31,-0.3028
2019-08-01,0.3037
2019-08-02,-0.2019
2019-08-05,-2.2927
2019-08-06,2.1048999999999998
2019-08-07,0.7097
2019-08-08,0.0336
2019-08-09,-1.4425
2019-08-12,-0.2383
2019-08-13,1.1259000000000001
2019-08-14,-1.552
2019-08-15,0.1371
2019-08-16,0.6502
2019-08-19,0.136
2019-08-20,0.3056
2019-08-21,0.7448
2019-08-22,0.2016
2019-08-23,-1.2408
2019-08-26,0.1019
2019-08-27,-1.0176
2019-08-28,-0.0343
2019-08-29,0.4799
2019-08-30,0.8188
2019-09-03,0.4399
2019-09-04,0.0337
2019-09-05,1.4146
2019-09-06,-1.0628
2019-09-09,-0.0923
2019-09-10,2.2147
2019-09-11,2.5
2019-09-12,0.4228
2019-09-13,0.0
2019-09-16,0.8096
2019-09-17,-0.0321
2019-09-18,0.3213
2019-09-19,1.025
2019-09-20,0.4439
2019-09-23,-0.2841
2019-09-24,-0.0317
2019-09-25,-1.3616
2019-09-26,1.7978
2019-09-27,-0.3469
2019-09-30,-0.3481
2019-10-01,-0.5716
2019-10-02,-2.3315
2019-10-03,-0.0327
2019-10-04,1.1776
2019-10-07,-0.388
2019-10-08,-1.9474
2019-10-09,0.331
2019-10-10,0.8248
2019-10-11,2.8468999999999998
2019-10-14,2.2908
2019-10-15,-0.7154
2019-10-16,1.5351
2019-10-17,-0.9873
2019-10-18,-0.187
2019-10-21,1.9357
2019-10-22,0.2757
2019-10-23,1.3439
2019-10-24,-0.1507
2019-10-25,0.2717
2019-10-28,-0.8429
2019-10-29,0.0911
2019-10-30,0.9706
2019-10-31,0.6008
2019-11-01,0.2986
2019-11-04,-0.3572
2019-11-05,0.2988
2019-11-06,-0.7745
2019-11-07,-0.1801
2019-11-08,1.4135
2019-11-11,-0.2669
2019-11-12,0.2974
2019-11-13,0.2372
2019-11-14,-0.562
2019-11-15,0.8626
2019-11-18,-0.7667
2019-11-19,-0.2377
2019-11-20,0.6256
2019-11-21,-0.3256
2019-11-22,0.4455
2019-11-25,0.1183
2019-11-26,0.7088
2019-11-27,0.5865
2019-11-29,-0.7872
