ticker,AAP UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-09-13,1.0215
2004-09-14,-2.1044
2004-09-15,-0.1954
2004-09-16,0.3077
2004-09-17,0.251
2004-09-20,-1.4186
2004-09-21,-0.4233
2004-09-22,-0.1133
2004-09-23,0.9362
2004-09-24,-0.7307
2004-09-27,-1.3873
2004-09-28,1.091
2004-09-29,-0.8804
2004-09-30,-1.4327
2004-10-01,1.7732999999999999
2004-10-04,2.1422
2004-10-05,0.811
2004-10-06,0.0277
2004-10-07,-1.2202
2004-10-08,-1.2353
2004-10-11,0.0853
2004-10-12,-0.7384
2004-10-13,-1.1445
2004-10-14,-1.9971
2004-10-15,-0.5021
2004-10-18,0.1781
2004-10-19,0.6222
2004-10-20,13.987
2004-10-21,0.93
2004-10-22,-0.5375
2004-10-25,-1.0808
2004-10-26,1.6129
2004-10-27,0.256
2004-10-28,0.4086
2004-10-29,-0.5086
2004-11-01,0.7157
2004-11-02,-1.2690000000000001
2004-11-03,1.3625
2004-11-04,2.9673
2004-11-05,2.3399
2004-11-08,-1.059
2004-11-09,-0.8514
2004-11-10,1.2511999999999999
2004-11-11,1.1388
2004-11-12,1.1021
2004-11-15,0.3555
2004-11-16,-0.7084
2004-11-17,-0.4281
2004-11-18,0.5493
2004-11-19,-1.4252
2004-11-22,-0.3614
2004-11-23,1.6928999999999998
2004-11-24,0.4518
2004-11-26,0.5682
2004-11-29,-0.1412
2004-11-30,-2.7346
2004-12-01,1.7934999999999999
2004-12-02,0.4762
2004-12-03,-0.4265
2004-12-06,-0.6426
2004-12-07,-0.1677
2004-12-08,0.024
2004-12-09,-0.0959
2004-12-10,-0.2401
2004-12-13,1.1793
2004-12-14,0.3806
2004-12-15,-0.3555
2004-12-16,0.8323
2004-12-17,-0.4245
2004-12-20,-1.8712
2004-12-21,-0.4103
2004-12-22,1.5511
2004-12-23,-0.3819
2004-12-27,0.3115
2004-12-28,2.054
2004-12-29,1.3808
2004-12-30,0.2078
2004-12-31,0.622
2005-01-03,-0.2976
2005-01-04,-0.6659
2005-01-05,0.1849
2005-01-06,-0.0923
2005-01-07,-0.5774
2005-01-10,0.3484
2005-01-11,0.6019
2005-01-12,-0.3682
2005-01-13,-0.2079
2005-01-14,0.5786
2005-01-18,2.5541
2005-01-19,-2.2885
2005-01-20,-1.4007
2005-01-21,-0.2795
2005-01-24,-1.3078
2005-01-25,-0.0237
2005-01-26,0.2604
2005-01-27,1.1095
2005-01-28,-0.6537
2005-01-31,1.2926
2005-02-01,0.348
2005-02-02,0.2312
2005-02-03,0.9227
2005-02-04,2.3314
2005-02-07,0.7818
2005-02-08,0.0443
2005-02-09,-1.3957
2005-02-10,0.6291
2005-02-11,0.6475
2005-02-14,0.4437
2005-02-15,-1.1705
2005-02-16,-0.5363
2005-02-17,16.3783
2005-02-18,-2.0656
2005-02-22,-1.3207
2005-02-23,0.7791
2005-02-24,-0.1189
2005-02-25,0.7144
2005-02-28,-0.7291
2005-03-01,1.0719
2005-03-02,2.1013
2005-03-03,-0.1731
2005-03-04,0.6936
2005-03-07,-0.1722
2005-03-08,-1.9743
2005-03-09,-1.1146
2005-03-10,-0.4548
2005-03-11,1.1124
2005-03-14,-2.4951
2005-03-15,0.1612
2005-03-16,0.4225
2005-03-17,-0.2404
2005-03-18,0.1807
2005-03-21,-2.3852
2005-03-22,0.7598
