,ticker,field,value,exchange,stock
344,CR UN Equity,INDUSTRY_SECTOR,Industrial,UN,CR
345,CRM UN Equity,INDUSTRY_SECTOR,Technology,UN,CRM
346,CSC UN Equity,INDUSTRY_SECTOR,Technology,UN,CSC
347,CSCO UQ Equity,INDUSTRY_SECTOR,Communications,UQ,CSCO
348,CSCO UW Equity,INDUSTRY_SECTOR,Communications,UW,CSCO
349,CSRA UN Equity,INDUSTRY_SECTOR,Technology,UN,CSRA
350,CSX UN Equity,INDUSTRY_SECTOR,Industrial,UN,CSX
351,CSX UW Equity,INDUSTRY_SECTOR,Industrial,UW,CSX
352,CTAS UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UQ,CTAS
353,CTAS UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,CTAS
354,CTB UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,CTB
355,CTLT UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CTLT
356,CTSH UW Equity,INDUSTRY_SECTOR,Technology,UW,CTSH
357,CTVA UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CTVA
358,CTXS UQ Equity,INDUSTRY_SECTOR,Technology,UQ,CTXS
359,CTXS UW Equity,INDUSTRY_SECTOR,Technology,UW,CTXS
360,CVC UN Equity,INDUSTRY_SECTOR,Communications,UN,CVC
361,CVET UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,CVET
362,CVG UN Equity,INDUSTRY_SECTOR,Technology,UN,CVG
363,CVH UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CVH
364,CVH US Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",US,CVH
365,CVS UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CVS
366,CVX UN Equity,INDUSTRY_SECTOR,Energy,UN,CVX
367,CXO UN Equity,INDUSTRY_SECTOR,Energy,UN,CXO
368,D UN Equity,INDUSTRY_SECTOR,Utilities,UN,D
369,DAL UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,DAL
370,DALRQ UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,DALRQ
371,DCNAQ UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,DCNAQ
372,DD UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,DD
373,DDS UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,DDS
374,DE UN Equity,INDUSTRY_SECTOR,Industrial,UN,DE
375,DFODQ UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,DFODQ
376,DFS UN Equity,INDUSTRY_SECTOR,Financial,UN,DFS
377,DG UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,DG
378,DGX UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,DGX
379,DHI UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,DHI
380,DHR UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,DHR
381,DIS UN Equity,INDUSTRY_SECTOR,Communications,UN,DIS
382,DISCA UW Equity,INDUSTRY_SECTOR,Communications,UW,DISCA
383,DISCK UW Equity,INDUSTRY_SECTOR,Communications,UW,DISCK
384,DISH UW Equity,INDUSTRY_SECTOR,Communications,UW,DISH
385,DJ UN Equity,INDUSTRY_SECTOR,Communications,UN,DJ
386,DLPH UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,DLPH
387,DLR UN Equity,INDUSTRY_SECTOR,Financial,UN,DLR
388,DLTR UW Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UW,DLTR
389,DLX UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,DLX
390,DNRCQ UN Equity,INDUSTRY_SECTOR,Energy,UN,DNRCQ
391,DOFSQ UN Equity,INDUSTRY_SECTOR,Energy,UN,DOFSQ
392,DOV UN Equity,INDUSTRY_SECTOR,Industrial,UN,DOV
393,DOW UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,DOW
394,DPHIQ UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,DPHIQ
395,DPZ UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,DPZ
396,DRE UN Equity,INDUSTRY_SECTOR,Financial,UN,DRE
397,DRI UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,DRI
398,DTE UN Equity,INDUSTRY_SECTOR,Utilities,UN,DTE
399,DUK UN Equity,INDUSTRY_SECTOR,Utilities,UN,DUK
400,DVA UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,DVA
401,DVMT UN Equity,INDUSTRY_SECTOR,Technology,UN,DVMT
402,DVN UA Equity,INDUSTRY_SECTOR,Energy,UA,DVN
403,DVN UN Equity,INDUSTRY_SECTOR,Energy,UN,DVN
404,DXC UN Equity,INDUSTRY_SECTOR,Technology,UN,DXC
405,DXCM UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,DXCM
406,DYNIQ UN Equity,INDUSTRY_SECTOR,Utilities,UN,DYNIQ
407,EA UQ Equity,INDUSTRY_SECTOR,Technology,UQ,EA
408,EA UW Equity,INDUSTRY_SECTOR,Technology,UW,EA
409,EBAY UQ Equity,INDUSTRY_SECTOR,Communications,UQ,EBAY
410,EBAY UW Equity,INDUSTRY_SECTOR,Communications,UW,EBAY
411,ECL UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,ECL
412,ED UN Equity,INDUSTRY_SECTOR,Utilities,UN,ED
413,EFX UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,EFX
414,EHC UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,EHC
415,EIX UN Equity,INDUSTRY_SECTOR,Utilities,UN,EIX
416,EKDKQ UN Equity,INDUSTRY_SECTOR,Industrial,UN,EKDKQ
417,EL UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,EL
418,EMC UN Equity,INDUSTRY_SECTOR,Technology,UN,EMC
419,EMN UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,EMN
420,EMR UN Equity,INDUSTRY_SECTOR,Industrial,UN,EMR
421,ENDP UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,ENDP
422,EOG UN Equity,INDUSTRY_SECTOR,Energy,UN,EOG
423,EOP UN Equity,INDUSTRY_SECTOR,Financial,UN,EOP
424,EP UN Equity,INDUSTRY_SECTOR,Energy,UN,EP
425,EQIX UW Equity,INDUSTRY_SECTOR,Financial,UW,EQIX
426,EQR UN Equity,INDUSTRY_SECTOR,Financial,UN,EQR
427,EQT UN Equity,INDUSTRY_SECTOR,Energy,UN,EQT
428,ES UN Equity,INDUSTRY_SECTOR,Utilities,UN,ES
429,ESRX UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UQ,ESRX
430,ESRX UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,ESRX
431,ESS UN Equity,INDUSTRY_SECTOR,Financial,UN,ESS
432,ETFC UN Equity,INDUSTRY_SECTOR,Communications,UN,ETFC
433,ETFC US Equity,INDUSTRY_SECTOR,Communications,US,ETFC
434,ETFC UW Equity,INDUSTRY_SECTOR,Communications,UW,ETFC
435,ETN UN Equity,INDUSTRY_SECTOR,Industrial,UN,ETN
436,ETR UN Equity,INDUSTRY_SECTOR,Utilities,UN,ETR
437,ETSY UW Equity,INDUSTRY_SECTOR,Communications,UW,ETSY
438,EVHC UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,EVHC
439,EVRG UN Equity,INDUSTRY_SECTOR,Utilities,UN,EVRG
440,EW UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,EW
441,EXC UN Equity,INDUSTRY_SECTOR,Utilities,UN,EXC
442,EXC UW Equity,INDUSTRY_SECTOR,Utilities,UW,EXC
443,EXPD UW Equity,INDUSTRY_SECTOR,Industrial,UW,EXPD
444,EXPE UW Equity,INDUSTRY_SECTOR,Communications,UW,EXPE
445,EXR UN Equity,INDUSTRY_SECTOR,Financial,UN,EXR
446,F UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,F
447,FANG UW Equity,INDUSTRY_SECTOR,Energy,UW,FANG
448,FAST UW Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UW,FAST
449,FB UW Equity,INDUSTRY_SECTOR,Communications,UW,FB
450,FBF UN Equity,INDUSTRY_SECTOR,Financial,UN,FBF
451,FBHS UN Equity,INDUSTRY_SECTOR,Industrial,UN,FBHS
452,FCX UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,FCX
453,FDO UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,FDO
454,FDX UN Equity,INDUSTRY_SECTOR,Industrial,UN,FDX
455,FE UN Equity,INDUSTRY_SECTOR,Utilities,UN,FE
456,FFIV UW Equity,INDUSTRY_SECTOR,Communications,UW,FFIV
457,FHI UN Equity,INDUSTRY_SECTOR,Financial,UN,FHI
458,FHN UN Equity,INDUSTRY_SECTOR,Financial,UN,FHN
459,FIS UN Equity,INDUSTRY_SECTOR,Technology,UN,FIS
460,FISV UQ Equity,INDUSTRY_SECTOR,Technology,UQ,FISV
461,FISV UW Equity,INDUSTRY_SECTOR,Technology,UW,FISV
462,FITB UQ Equity,INDUSTRY_SECTOR,Financial,UQ,FITB
463,FITB UW Equity,INDUSTRY_SECTOR,Financial,UW,FITB
464,FL UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,FL
465,FLIR UW Equity,INDUSTRY_SECTOR,Industrial,UW,FLIR
466,FLR UN Equity,INDUSTRY_SECTOR,Industrial,UN,FLR
467,FLS UN Equity,INDUSTRY_SECTOR,Industrial,UN,FLS
468,FLT UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,FLT
469,FMC UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,FMC
470,FMCC UN Equity,INDUSTRY_SECTOR,Financial,UN,FMCC
471,FNMA UN Equity,INDUSTRY_SECTOR,Financial,UN,FNMA
472,FOSL UW Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UW,FOSL
473,FOX UW Equity,INDUSTRY_SECTOR,Communications,UW,FOX
474,FOXA UW Equity,INDUSTRY_SECTOR,Communications,UW,FOXA
475,FRC UN Equity,INDUSTRY_SECTOR,Financial,UN,FRC
476,FRT UN Equity,INDUSTRY_SECTOR,Financial,UN,FRT
477,FSH UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,FSH
478,FSLR UW Equity,INDUSTRY_SECTOR,Energy,UW,FSLR
479,FTI UN Equity,INDUSTRY_SECTOR,Energy,UN,FTI
480,FTNT UW Equity,INDUSTRY_SECTOR,Technology,UW,FTNT
481,FTRCQ UN Equity,INDUSTRY_SECTOR,Communications,UN,FTRCQ
482,FTRCQ UW Equity,INDUSTRY_SECTOR,Communications,UW,FTRCQ
483,FTV UN Equity,INDUSTRY_SECTOR,Industrial,UN,FTV
484,GAS UN Equity,INDUSTRY_SECTOR,Utilities,UN,GAS
485,GD UN Equity,INDUSTRY_SECTOR,Industrial,UN,GD
486,GDT UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,GDT
487,GDW UN Equity,INDUSTRY_SECTOR,Financial,UN,GDW
488,GE UN Equity,INDUSTRY_SECTOR,Industrial,UN,GE
489,GENZ UA Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UA,GENZ
490,GENZ UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UQ,GENZ
491,GENZ UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,GENZ
492,GGP UN Equity,INDUSTRY_SECTOR,Financial,UN,GGP
493,GGP UP Equity,INDUSTRY_SECTOR,Financial,UP,GGP
494,GHC UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,GHC
495,GILD UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UQ,GILD
496,GILD UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,GILD
497,GIS UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,GIS
498,GL UN Equity,INDUSTRY_SECTOR,Financial,UN,GL
499,GLW UN Equity,INDUSTRY_SECTOR,Communications,UN,GLW
500,GM UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,GM
501,GMCR UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,GMCR
502,GME UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,GME
503,GNW UN Equity,INDUSTRY_SECTOR,Financial,UN,GNW
504,GNW UP Equity,INDUSTRY_SECTOR,Financial,UP,GNW
505,GOOG UW Equity,INDUSTRY_SECTOR,Communications,UW,GOOG
506,GOOGL UQ Equity,INDUSTRY_SECTOR,Communications,UQ,GOOGL
507,GOOGL UW Equity,INDUSTRY_SECTOR,Communications,UW,GOOGL
508,GPC UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,GPC
509,GPN UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,GPN
510,GPS UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,GPS
511,GR UN Equity,INDUSTRY_SECTOR,Industrial,UN,GR
512,GR US Equity,INDUSTRY_SECTOR,Industrial,US,GR
513,GRMN UW Equity,INDUSTRY_SECTOR,Industrial,UW,GRMN
514,GS UN Equity,INDUSTRY_SECTOR,Financial,UN,GS
515,GT UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,GT
516,GT UW Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UW,GT
517,GTGOF US Equity,INDUSTRY_SECTOR,Industrial,US,GTGOF
518,GTW UN Equity,INDUSTRY_SECTOR,Technology,UN,GTW
519,GTXMQ UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,GTXMQ
520,GWW UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,GWW
521,HAL UN Equity,INDUSTRY_SECTOR,Energy,UN,HAL
522,HAR UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,HAR
523,HAR US Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",US,HAR
524,HAS US Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",US,HAS
525,HAS UW Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UW,HAS
526,HBAN UA Equity,INDUSTRY_SECTOR,Financial,UA,HBAN
527,HBAN UQ Equity,INDUSTRY_SECTOR,Financial,UQ,HBAN
528,HBAN UW Equity,INDUSTRY_SECTOR,Financial,UW,HBAN
529,HBI UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,HBI
530,HCA UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,HCA
531,HCBK UW Equity,INDUSTRY_SECTOR,Financial,UW,HCBK
532,HD UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,HD
533,HES UN Equity,INDUSTRY_SECTOR,Energy,UN,HES
534,HET UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,HET
535,HFC UN Equity,INDUSTRY_SECTOR,Energy,UN,HFC
536,HIG UN Equity,INDUSTRY_SECTOR,Financial,UN,HIG
537,HII UN Equity,INDUSTRY_SECTOR,Industrial,UN,HII
538,HLT UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,HLT
539,HMA UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,HMA
540,HNZ UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,HNZ
541,HOG UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,HOG
542,HOLX UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,HOLX
543,HON UN Equity,INDUSTRY_SECTOR,Industrial,UN,HON
544,HOT UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,HOT
545,HP UN Equity,INDUSTRY_SECTOR,Energy,UN,HP
546,HPC US Equity,INDUSTRY_SECTOR,Basic Materials,US,HPC
547,HPE UN Equity,INDUSTRY_SECTOR,Technology,UN,HPE
548,HPQ UN Equity,INDUSTRY_SECTOR,Technology,UN,HPQ
549,HRB UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,HRB
550,HRL UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,HRL
551,HSH UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,HSH
552,HSIC UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,HSIC
553,HSP UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,HSP
554,HST UN Equity,INDUSTRY_SECTOR,Financial,UN,HST
555,HST UW Equity,INDUSTRY_SECTOR,Financial,UW,HST
556,HSY UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,HSY
557,HUM UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,HUM
558,HWM UN Equity,INDUSTRY_SECTOR,Industrial,UN,HWM
559,IBM UN Equity,INDUSTRY_SECTOR,Technology,UN,IBM
560,ICE UN Equity,INDUSTRY_SECTOR,Financial,UN,ICE
561,IDXX UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,IDXX
562,IEX UN Equity,INDUSTRY_SECTOR,Industrial,UN,IEX
563,IFF UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,IFF
564,IILGV UQ Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UQ,IILGV
565,ILMN UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,ILMN
566,INCY UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,INCY
567,INFO UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,INFO
568,INFO UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,INFO
569,INTC UQ Equity,INDUSTRY_SECTOR,Technology,UQ,INTC
570,INTC UW Equity,INDUSTRY_SECTOR,Technology,UW,INTC
571,INTU UQ Equity,INDUSTRY_SECTOR,Technology,UQ,INTU
572,INTU UW Equity,INDUSTRY_SECTOR,Technology,UW,INTU
573,IP UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,IP
574,IPG UN Equity,INDUSTRY_SECTOR,Communications,UN,IPG
575,IPGP UW Equity,INDUSTRY_SECTOR,Technology,UW,IPGP
576,IQV UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,IQV
577,IR UN Equity,INDUSTRY_SECTOR,Industrial,UN,IR
578,IRM UN Equity,INDUSTRY_SECTOR,Financial,UN,IRM
579,ISRG UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,ISRG
580,IT UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,IT
581,ITT UN Equity,INDUSTRY_SECTOR,Industrial,UN,ITT
582,ITW UN Equity,INDUSTRY_SECTOR,Industrial,UN,ITW
583,IVZ UN Equity,INDUSTRY_SECTOR,Financial,UN,IVZ
584,J UN Equity,INDUSTRY_SECTOR,Industrial,UN,J
585,JAVA UQ Equity,INDUSTRY_SECTOR,Technology,UQ,JAVA
586,JAVA UW Equity,INDUSTRY_SECTOR,Technology,UW,JAVA
587,JBGS UN Equity,INDUSTRY_SECTOR,Financial,UN,JBGS
588,JBHT UW Equity,INDUSTRY_SECTOR,Industrial,UW,JBHT
589,JBL UN Equity,INDUSTRY_SECTOR,Industrial,UN,JBL
590,JCI UN Equity,INDUSTRY_SECTOR,Industrial,UN,JCI
591,JEF UN Equity,INDUSTRY_SECTOR,Financial,UN,JEF
592,JHF UN Equity,INDUSTRY_SECTOR,Financial,UN,JHF
593,JKHY UW Equity,INDUSTRY_SECTOR,Technology,UW,JKHY
594,JNJ UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,JNJ
595,JNPR UN Equity,INDUSTRY_SECTOR,Communications,UN,JNPR
596,JNPR UQ Equity,INDUSTRY_SECTOR,Communications,UQ,JNPR
597,JNPR UW Equity,INDUSTRY_SECTOR,Communications,UW,JNPR
598,JNS UN Equity,INDUSTRY_SECTOR,Financial,UN,JNS
599,JNY UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,JNY
600,JOY UN Equity,INDUSTRY_SECTOR,Industrial,UN,JOY
601,JOY UW Equity,INDUSTRY_SECTOR,Industrial,UW,JOY
602,JPM UN Equity,INDUSTRY_SECTOR,Financial,UN,JPM
603,JWN UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,JWN
604,K UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,K
605,KATE UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,KATE
606,KBH UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,KBH
607,KDP UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,KDP
608,KEY UN Equity,INDUSTRY_SECTOR,Financial,UN,KEY
609,KEYS UN Equity,INDUSTRY_SECTOR,Industrial,UN,KEYS
610,KG UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,KG
611,KHC UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,KHC
612,KIM UN Equity,INDUSTRY_SECTOR,Financial,UN,KIM
613,KLAC UQ Equity,INDUSTRY_SECTOR,Technology,UQ,KLAC
614,KLAC UW Equity,INDUSTRY_SECTOR,Technology,UW,KLAC
615,KMB UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,KMB
616,KMI UN Equity,INDUSTRY_SECTOR,Energy,UN,KMI
617,KMX UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,KMX
618,KO UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,KO
619,KR UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,KR
620,KRB UN Equity,INDUSTRY_SECTOR,Financial,UN,KRB
621,KRFT UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,KRFT
622,KRI UN Equity,INDUSTRY_SECTOR,Communications,UN,KRI
623,KSE UN Equity,INDUSTRY_SECTOR,Utilities,UN,KSE
624,KSS UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,KSS
625,KSU UN Equity,INDUSTRY_SECTOR,Industrial,UN,KSU
626,KTB UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,KTB
627,L UN Equity,INDUSTRY_SECTOR,Financial,UN,L
628,LB UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,LB
629,LDOS UN Equity,INDUSTRY_SECTOR,Technology,UN,LDOS
630,LEG UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,LEG
631,LEHMQ UN Equity,INDUSTRY_SECTOR,Financial,UN,LEHMQ
632,LEHMQ UP Equity,INDUSTRY_SECTOR,Financial,UP,LEHMQ
633,LEN UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,LEN
634,LH UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,LH
635,LHX UN Equity,INDUSTRY_SECTOR,Industrial,UN,LHX
636,LIN UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,LIN
637,LKQ UW Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UW,LKQ
638,LLL UN Equity,INDUSTRY_SECTOR,Industrial,UN,LLL
639,LLTC UQ Equity,INDUSTRY_SECTOR,Technology,UQ,LLTC
640,LLTC UW Equity,INDUSTRY_SECTOR,Technology,UW,LLTC
641,LLY UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,LLY
642,LM UN Equity,INDUSTRY_SECTOR,Financial,UN,LM
643,LMT UN Equity,INDUSTRY_SECTOR,Industrial,UN,LMT
644,LNC UN Equity,INDUSTRY_SECTOR,Financial,UN,LNC
645,LNT UN Equity,INDUSTRY_SECTOR,Utilities,UN,LNT
646,LNT UW Equity,INDUSTRY_SECTOR,Utilities,UW,LNT
647,LO UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,LO
648,LOW UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,LOW
649,LPX UN Equity,INDUSTRY_SECTOR,Industrial,UN,LPX
650,LRCX UW Equity,INDUSTRY_SECTOR,Technology,UW,LRCX
651,LUMN UN Equity,INDUSTRY_SECTOR,Communications,UN,LUMN
652,LUV UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,LUV
653,LVLT UN Equity,INDUSTRY_SECTOR,Communications,UN,LVLT
654,LVS UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,LVS
655,LW UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,LW
656,LXK UN Equity,INDUSTRY_SECTOR,Technology,UN,LXK
657,LYB UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,LYB
658,LYV UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,LYV
659,M UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,M
660,MA UN Equity,INDUSTRY_SECTOR,Financial,UN,MA
661,MAA UN Equity,INDUSTRY_SECTOR,Financial,UN,MAA
662,MAC UN Equity,INDUSTRY_SECTOR,Financial,UN,MAC
663,MAR UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,MAR
664,MAR UW Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UW,MAR
665,MAS UN Equity,INDUSTRY_SECTOR,Industrial,UN,MAS
666,MAT UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,MAT
667,MAT US Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",US,MAT
668,MAT UW Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UW,MAT
669,MBI UN Equity,INDUSTRY_SECTOR,Financial,UN,MBI
670,MCD UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,MCD
671,MCHP UW Equity,INDUSTRY_SECTOR,Technology,UW,MCHP
672,MCK UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,MCK
673,MCO UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,MCO
674,MDLZ UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,MDLZ
675,MDLZ UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,MDLZ
676,MDP UN Equity,INDUSTRY_SECTOR,Communications,UN,MDP
677,MDRIQ UN Equity,INDUSTRY_SECTOR,Energy,UN,MDRIQ
678,MDT UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,MDT
679,MEDI UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UQ,MEDI
680,MEDI UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,MEDI
681,MEE UN Equity,INDUSTRY_SECTOR,Energy,UN,MEE
682,MEL UN Equity,INDUSTRY_SECTOR,Financial,UN,MEL
683,MER UN Equity,INDUSTRY_SECTOR,Financial,UN,MER
684,MERQ UQ Equity,INDUSTRY_SECTOR,Technology,UQ,MERQ
685,MET UN Equity,INDUSTRY_SECTOR,Financial,UN,MET
686,MFE UN Equity,INDUSTRY_SECTOR,Communications,UN,MFE
687,MGM UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,MGM
688,MHK UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,MHK
689,MHS UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,MHS
