ticker,AQQSQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-08,-1.5931
2008-02-11,5.2221
2008-02-12,9.6191
2008-02-13,-5.405
2008-02-15,-4.4531
2008-02-22,1.5529
2008-02-25,-0.5731
2008-02-27,0.5769
2008-02-28,-2.4469
2008-03-03,-1.9997
2008-03-04,-0.08
2008-03-07,2.0817
2008-03-10,-3.3333
2008-03-12,-1.6221999999999999
2008-03-13,2.0613
2008-03-17,-1.0101
2008-03-18,0.0
2008-03-19,0.8163
2008-03-20,1.0931
2008-03-25,0.4806
2008-03-31,-2.3515
2008-04-01,0.0
2008-04-04,0.0
2008-04-07,0.0
2008-04-08,2.2449
2008-04-09,-0.1996
2008-04-14,-1.6
2008-04-17,0.4065
2008-04-22,1.8218999999999999
2008-04-28,1.3917
2008-05-05,-1.7647
2008-05-07,-1.1976
2008-05-08,2.7960000000000003
2008-05-09,-1.7372999999999998
2008-05-14,1.4
2008-05-20,-0.3945
2008-05-21,0.7921
2008-05-22,0.1965
2008-05-23,5.6863
2008-05-27,1.6698
2008-05-28,21.4964
2008-05-29,-0.1202
2008-05-30,0.7218
2008-06-02,3.0158
2008-06-03,0.0
2008-06-04,9.4203
2008-06-05,14.4371
2008-06-06,2.7315
2008-06-09,1.397
2008-06-10,-1.1111
2008-06-11,3.4831
2008-06-12,3.3876
2008-06-13,-6.5322
2008-06-16,-4.0449
2008-06-17,-5.9953
2008-06-18,-0.4584
2008-06-19,-2.8430999999999997
2008-06-20,2.576
2008-06-23,0.452
2008-06-24,0.2505
2008-06-25,12.2189
2008-06-26,-7.5644
2008-06-27,-1.1684
2008-06-30,-0.0005
2008-07-07,-5.1321
2008-07-09,0.3846
2008-07-10,2.166
2008-07-11,-4.4452
2008-07-14,2.6164
2008-07-15,1.9888
2008-07-16,8.125
2008-07-17,2.3121
2008-07-18,-2.8249
2008-07-21,-2.2093
2008-07-22,-0.1189
2008-07-23,0.0
2008-07-24,-2.3810000000000002
2008-07-25,2.4387
2008-07-29,-2.3810000000000002
2008-07-30,-4.8778
2008-07-31,-8.9744
2008-08-01,2.8169
2008-08-04,-8.9041
2008-08-08,10.526299999999999
2008-08-11,4.2177
2008-08-12,0.1044
2008-08-13,-4.5383
2008-08-14,-1.3660999999999999
2008-08-15,-0.277
2008-08-18,0.75
2008-08-19,-2.0954
2008-08-20,11.2363
2008-08-21,-6.3291
2008-08-22,2.7027
2008-08-25,-2.6316
2008-08-26,8.1081
2008-08-27,-5.0
2008-08-28,-5.2632
2008-08-29,-4.1667
2008-09-02,5.6522
2008-09-03,1.5089000000000001
2008-09-04,2.7027
2008-09-05,-5.2895
2008-09-08,2.8063000000000002
2008-09-09,0.0
2008-09-11,-8.1081
2008-09-15,0.0
2008-09-16,0.0
2008-09-17,-5.8824
2008-09-18,3.125
2008-09-19,5.9545
2008-09-22,-5.6199
2008-09-23,2.5763
2008-09-24,0.2949
2008-09-25,0.1473
2008-09-26,0.0
2008-09-29,-8.2353
2008-09-30,4.1987
2008-10-02,1.5072
2008-10-03,-3.0303
2008-10-06,0.0
2008-10-08,-2.4063
2008-10-09,-7.1406
2008-10-13,6.8966
2008-10-14,-3.2258
2008-10-15,-0.8333
2008-10-16,-0.6727
2008-10-20,-1.827
2008-10-21,2.544
2008-10-22,0.0067
2008-10-23,-1.6806999999999999
2008-10-28,1.7094
2008-10-30,-1.513
2008-10-31,-0.1702
2008-11-05,0.0
2008-11-10,-6.8376
2008-11-12,-0.0005
2008-11-13,3.6702
2008-11-14,-3.5398
2008-11-19,-2.2018
2008-11-20,4.3152
2008-11-21,-10.0719
2008-11-24,5.4
2008-11-28,7.2106
2008-12-01,-2.6549
2008-12-02,-0.5455
2008-12-03,-1.2797
2008-12-04,2.3704
2008-12-05,-2.3155
2008-12-08,3.7037
2008-12-09,-0.8929
2008-12-10,-2.7027
2008-12-11,0.9259
2008-12-12,-1.8349
2008-12-15,-0.9346
2008-12-16,-1.5849
2008-12-17,0.556
2008-12-18,-0.858
2008-12-19,-3.8462
2008-12-22,0.9995
2008-12-30,-0.9896
2008-12-31,-1.2
2009-01-07,-5.2632
2009-01-08,-2.141
2009-01-09,0.4411
2009-01-12,-9.6174
2009-01-16,-3.7906
2009-01-20,-3.45
2009-01-23,0.0006
2009-01-26,6.1619
2009-01-29,0.0
2009-01-30,1.2195
2009-02-02,1.2048
2009-02-03,-4.7619
2009-02-04,0.0
2009-02-05,-0.1
2009-02-06,3.7538
2009-02-09,-9.6479
2009-02-10,1.4409
2009-02-12,2.4744
2009-02-13,6.9337
2009-02-18,-2.7378
2009-02-24,0.0
2009-02-25,1.2346
2009-02-26,-6.0976
2009-03-03,-2.5974
2009-03-06,1.12
2009-03-09,-4.7996
2009-03-11,0.0
2009-03-23,0.0
2009-03-24,-5.8172
2009-03-26,9.6471
2009-03-30,-0.7511
2009-03-31,12.2703
2009-04-01,-2.7443
2009-04-02,-0.9901
2009-04-03,-2.5
2009-04-08,-7.6923
2009-04-09,5.5
2009-04-15,-2.5803000000000003
2009-04-16,-2.7027
2009-04-17,0.0
2009-04-20,-2.7222
2009-04-21,-2.9126
2009-04-22,16.0588
2009-04-23,-4.2068
2009-04-24,1.5873
2009-04-27,-1.3542
2009-04-29,5.8606
2009-04-30,2.3441
2009-05-04,3.5575
