ticker,DWIS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-08-16,0.0
2011-08-17,0.0
2011-08-18,20.0
2011-08-19,5.5556
2011-08-22,-5.2632
2011-08-23,-11.1111
2011-08-29,0.0
2011-09-12,-6.25
2011-09-14,-6.6667
2011-09-26,0.0
2011-09-27,35.7143
2011-09-28,-10.526299999999999
2011-09-29,11.7647
2011-09-30,15.7895
2011-10-03,-13.6364
2011-10-05,-15.7895
2011-10-14,-2.5
2011-10-20,2.5641
2011-10-21,-6.25
2011-10-27,-18.6667
2011-11-01,14.7541
2011-11-04,21.4286
2011-11-09,-5.8824
2011-11-11,0.0
2011-11-15,-30.0
2011-11-18,25.0
2011-11-21,0.0
2011-11-23,-14.2857
2011-12-06,8.3333
2011-12-12,0.0
2011-12-13,0.0
2011-12-15,0.0
2011-12-19,0.0
2011-12-23,23.0769
2011-12-28,0.0
2012-01-03,-12.5
2012-01-19,-7.1429
2012-01-26,7.6923
2012-02-03,0.0
2012-02-07,0.0
2012-02-08,-7.1429
2012-02-14,0.0
2012-03-06,-29.2308
2012-03-09,0.0
2012-03-29,-2.1739
2012-03-30,100.0
2012-04-02,33.3333
2012-04-03,-8.3333
2012-04-05,0.0
2012-04-12,-9.0909
2012-04-13,-10.0
2012-04-19,-11.1111
2012-04-20,0.0
2012-07-19,-23.75
2012-07-23,0.0
2012-07-26,-1.6393
2012-08-06,8.3333
2012-08-20,-7.6923
2012-08-27,0.0
2012-08-28,-41.6667
2012-09-12,-11.0714
2012-09-18,0.0
2012-09-21,60.6426
2012-09-25,-37.75
2012-10-22,2.8112
2012-11-14,56.25
2012-12-07,-40.0
2012-12-27,-20.0
2013-02-15,25.0
2013-04-01,-20.0
2013-04-17,45.8333
2013-07-16,-31.4286
2013-08-05,0.0
2013-08-19,0.0
2013-10-15,0.0
2013-10-30,-16.6667
2014-02-24,-25.0
2014-03-17,3.3333
2014-03-20,-3.2258
2014-08-27,10.0
2015-01-23,-9.0909
2015-02-20,-26.6667
2015-02-25,-9.0909
