ticker,INN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-29,-0.3319
2014-04-30,0.5549
2014-05-01,0.4415
2014-05-02,0.4396
2014-05-05,-0.2188
2014-05-06,0.0
2014-05-07,0.1096
2014-05-08,-0.2191
2014-05-09,1.427
2014-05-12,2.5974
2014-05-13,-0.3165
2014-05-14,1.7196
2014-05-15,-2.1053
2014-05-16,1.3978
2014-05-19,1.3786
2014-05-20,-1.3598
2014-05-21,-0.4242
2014-05-22,1.4909
2014-05-23,1.2591999999999999
2014-05-27,3.3161
2014-05-28,-1.5045
2014-05-29,0.5092
2014-05-30,1.7224
2014-06-02,0.996
2014-06-03,-0.0986
2014-06-04,0.2962
2014-06-05,3.248
2014-06-06,1.1439
2014-06-09,-2.4505
2014-06-10,-0.1932
2014-06-11,-0.6776
2014-06-12,0.5848
2014-06-13,0.4845
2014-06-16,-0.2893
2014-06-17,0.677
2014-06-18,0.7685
2014-06-19,0.572
2014-06-20,-0.3791
2014-06-23,0.5709
2014-06-24,0.0
2014-06-25,-0.3784
2014-06-26,0.2849
2014-06-27,0.3788
2014-06-30,0.0
2014-07-01,0.8491
2014-07-02,-0.6548
2014-07-03,0.3766
2014-07-07,-1.0319
2014-07-08,0.9479
2014-07-09,0.1878
2014-07-10,-0.2812
2014-07-11,-0.282
2014-07-14,0.9425
2014-07-15,-0.9337
2014-07-16,0.5655
2014-07-17,-1.4058
2014-07-18,1.5209000000000001
2014-07-21,0.0
2014-07-22,0.2809
2014-07-23,-0.5602
2014-07-24,-1.5023
2014-07-25,-1.1439
2014-07-28,0.0
2014-07-29,0.0
2014-07-30,-0.5786
2014-07-31,-0.388
2014-08-01,0.3895
2014-08-04,2.2308
2014-08-05,-1.8027
2014-08-06,1.256
2014-08-07,2.2901
2014-08-08,0.9328
2014-08-11,-0.4621
2014-08-12,-0.8357
2014-08-13,1.5684
2014-08-14,1.3979
2014-08-15,-0.1838
2014-08-18,1.2891
2014-08-19,0.1818
2014-08-20,-0.2722
2014-08-21,0.7279
2014-08-22,-0.9033
2014-08-25,0.0
2014-08-26,0.7293
2014-08-27,-0.4525
2014-08-28,-0.2727
2014-08-29,-0.1823
2014-09-02,-0.4566
2014-09-03,-0.367
2014-09-04,-0.5525
2014-09-05,0.3704
2014-09-08,-0.8303
2014-09-09,-1.6743999999999999
2014-09-10,-0.5676
2014-09-11,1.0466
2014-09-12,-2.919
2014-09-15,1.3578999999999999
2014-09-16,2.9665
2014-09-17,0.1859
2014-09-18,1.3915
2014-09-19,0.9149
2014-09-22,-0.7253
2014-09-23,-1.0959
2014-09-24,-0.3693
2014-09-25,-0.5561
2014-09-26,1.8639000000000001
2014-09-29,0.183
2014-09-30,-1.5525
2014-10-01,-0.6494
2014-10-02,0.8403
2014-10-03,1.7593
2014-10-06,-0.182
2014-10-07,-1.5497
2014-10-08,4.0741
2014-10-09,-2.669
2014-10-10,-1.0969
2014-10-13,-1.5712000000000002
2014-10-14,0.5634
2014-10-15,0.5602
2014-10-16,1.4856
2014-10-17,0.0915
2014-10-20,2.6508000000000003
2014-10-21,2.1371
2014-10-22,-0.0872
2014-10-23,1.0471
2014-10-24,-0.2591
2014-10-27,0.4329
2014-10-28,0.8621
2014-10-29,-0.5983
2014-10-30,0.086
2014-10-31,0.0
2014-11-03,1.0309
2014-11-04,-0.1701
2014-11-05,-0.8518
2014-11-06,0.6873
2014-11-07,-0.4266
2014-11-10,0.5998
2014-11-11,-1.2777
2014-11-12,1.1864
2014-11-13,-0.3445
2014-11-14,-0.2593
2014-11-17,-0.4333
2014-11-18,-0.1741
2014-11-19,-0.5231
2014-11-20,-0.4382
2014-11-21,0.4401
2014-11-24,0.9641
2014-11-25,-0.3472
2014-11-26,0.3484
2014-11-28,0.6944
2014-12-01,-0.7759
2014-12-02,1.5638999999999998
2014-12-03,0.941
2014-12-04,-0.0847
2014-12-05,0.933
2014-12-08,0.1681
2014-12-09,1.0067
2014-12-10,-0.9967
2014-12-11,0.5872
2014-12-12,-2.3353
2014-12-15,-0.7686
2014-12-16,0.7745
2014-12-17,4.0991
2014-12-18,1.8868
2014-12-19,-1.8519
2014-12-22,0.6563
2014-12-23,1.3855
2014-12-24,0.2412
2014-12-26,0.9623
2014-12-29,0.8737
2014-12-30,-0.4724
2014-12-31,-1.5823
2015-01-02,0.1608
2015-01-05,0.4013
2015-01-06,-1.279
2015-01-07,1.4575
2015-01-08,2.4741
2015-01-09,-1.4019
2015-01-12,-0.158
