ticker,DGLT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-15,4.2254
2015-09-16,-2.7027
2015-09-17,4.1667
2015-09-18,-1.3333
2015-09-21,5.4054
2015-09-22,-3.8462
2015-09-23,9.3333
2015-09-24,1.2195
2015-09-25,19.2771
2015-09-28,-13.1313
2015-09-29,-9.3169
2015-09-30,6.4273
2015-10-01,-3.6145
2015-10-02,-6.25
2015-10-05,6.6667
2015-10-06,7.5
2015-10-07,0.0
2015-10-08,-2.3256
2015-10-09,1.1905000000000001
2015-10-12,-2.3529
2015-10-13,-7.2289
2015-10-14,-18.1818
2015-10-15,-1.5873
2015-10-16,0.0
2015-10-19,-0.0504
2015-10-20,-0.0303
2015-10-21,11.2692
2015-10-22,-0.5259
2015-10-23,-12.5148
2015-10-26,-14.9823
2015-10-27,5.8578
2015-10-28,4.9085
2015-10-29,-8.2432
2015-10-30,9.6572
2015-11-02,1.7767
2015-11-03,3.4483
2015-11-04,-1.6875
2015-11-05,-1.6741000000000001
2015-11-06,1.6056
2015-11-09,-5.8013
2015-11-10,-9.9302
2015-11-11,-2.0
2015-11-12,0.0
2015-11-13,0.0
2015-11-16,10.2041
2015-11-17,0.0
2015-11-18,-5.5208
2015-11-19,-3.9569
2015-11-20,2.0408
2015-11-23,0.0
2015-11-24,0.0
2015-11-25,-1.0
2015-11-27,1.0101
2015-11-30,-16.0
2015-12-01,9.5238
2015-12-02,-6.5217
2015-12-03,8.6047
2015-12-04,2.7168
2015-12-07,2.1498
2015-12-08,-8.1633
2015-12-09,-4.4444
2015-12-10,-5.7849
2015-12-11,-6.2326
2015-12-14,-5.232
2015-12-15,19.4097
2015-12-16,-8.2582
2015-12-17,0.6339
2015-12-18,-11.6378
2015-12-21,-8.7863
2015-12-22,3.1653000000000002
2015-12-23,27.2727
2015-12-24,2.3064999999999998
2015-12-28,-6.9091000000000005
2015-12-29,5.0
2015-12-30,-21.3839
2015-12-31,21.1433
2016-01-04,7.5
2016-01-05,0.0
2016-01-06,-2.3256
2016-01-07,2.3810000000000002
2016-01-08,-7.0349
2016-01-11,-0.1876
2016-01-12,2.7256
2016-01-13,4.8795
2016-01-14,-2.2972
2016-01-15,-2.3810000000000002
2016-01-19,-2.439
2016-01-20,-2.5
2016-01-21,2.5641
2016-01-22,0.0
2016-01-25,-0.0312
2016-01-26,2.532
2016-01-27,-2.439
2016-01-28,-7.5
2016-01-29,0.0
2016-02-01,0.9459
2016-02-02,1.7067999999999999
2016-02-03,0.0
2016-02-04,5.2649
2016-02-05,-7.5023
2016-02-08,0.0338
2016-02-09,-5.4054
2016-02-10,0.0
2016-02-11,14.2857
2016-02-12,-15.0312
2016-02-16,-2.9606
2016-02-17,0.019
2016-02-18,-0.6063
2016-02-19,0.61
2016-02-22,3.1072
2016-02-23,8.1404
2016-02-24,-4.8768
2016-02-25,2.8939
2016-02-26,-0.2778
2016-02-29,0.2263
2016-03-01,-0.5037
2016-03-02,0.227
2016-03-03,5.0688
2016-03-04,2.122
2016-03-07,14.5779
2016-03-08,11.0796
2016-03-09,-0.102
2016-03-10,-2.5919
2016-03-11,11.1548
2016-03-14,-5.6604
2016-03-15,0.0
2016-03-16,2.0
2016-03-17,-1.9607999999999999
2016-03-18,-1.0
2016-03-21,-11.5152
2016-03-22,-8.6758
2016-03-23,3.2813
2016-03-24,4.3268
2016-03-29,9.0487
2016-03-30,5.9574
2016-03-31,0.4016
2016-04-01,50.025
2016-04-04,-20.0133
2016-04-06,0.0
2016-04-07,-1.9167
2016-04-08,-4.5879
2016-04-11,-28.7622
2016-04-12,-5.0
2016-04-13,-5.2632
2016-04-14,5.5556
2016-04-15,-2.6316
