ticker,BUSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-07-02,5.6338
2008-07-03,6.6667
2008-07-07,-1.25
2008-07-08,-11.3924
2008-07-10,-2.8571
2008-07-14,14.7059
2008-07-15,2.5641
2008-07-16,0.0
2008-07-17,0.0
2008-07-18,-11.25
2008-07-21,-5.6338
2008-07-24,4.4776
2008-07-25,0.0
2008-07-30,-18.5714
2008-07-31,1.7544
2008-08-01,0.0
2008-08-04,-1.7241
2008-08-06,0.0
2008-08-12,8.7719
2008-08-15,11.2903
2008-08-28,-21.7391
2008-09-03,0.0
2008-09-04,29.6296
2008-09-05,-27.1429
2008-09-11,-11.7647
2008-09-12,0.0
2008-09-15,0.0
2008-09-16,0.0
2008-09-18,0.0
2008-09-19,0.0
2008-09-22,-8.8889
2008-09-23,0.0
2008-09-24,-43.9024
2008-09-25,-26.087
2008-09-26,5.8824
2008-09-29,0.0
2008-10-01,-22.2222
2008-10-02,-14.2857
2008-10-03,0.0
2008-10-06,-8.3333
2008-10-07,0.0
2008-10-08,-27.2727
2008-10-09,12.5
2008-10-10,-66.6667
2008-10-13,66.6667
2008-10-14,-70.0
2008-10-15,100.0
2008-10-16,0.0
2008-10-17,-63.3333
2008-10-28,-83.004
2008-11-06,4.6512
2008-11-28,0.0
2008-12-04,0.0
2008-12-10,-11.1111
2008-12-11,0.0
2008-12-16,0.0
2008-12-24,25.0
2008-12-31,0.0
2009-01-14,2700.0
2009-01-23,-96.4286
2009-01-26,100.0
2009-03-10,0.0
2009-03-19,402.5
2009-03-23,-2.4876
2009-04-01,2.551
2009-04-03,0.0
2009-04-06,-0.398
2009-04-07,0.0
2009-04-09,0.0
2009-04-13,-90.2098
2009-04-16,2.0408
2009-05-14,20.0
2009-06-01,16.6667
2009-06-03,6685.7143
2009-06-04,-6.3158
2009-06-05,-43.8202
2009-06-11,0.0
2009-06-12,0.0
2009-06-19,40.0
2009-06-29,0.0
2009-07-16,-14.2857
2009-07-29,0.0
2009-08-21,-94.4448
2009-08-31,-36.9961
2009-09-14,2280.9524
2009-09-15,-95.0
2009-09-16,84.0
2009-09-18,226.087
2009-09-21,96.6667
2009-09-22,49.1525
2009-09-23,1.1364
2009-09-24,-32.5843
2009-09-25,66.6667
2009-09-28,-20.0
2009-09-29,-24.75
2009-09-30,1.3289
2009-10-01,0.3279
2009-10-02,-0.3268
2009-10-05,47.2131
2009-10-07,-38.7528
2009-10-08,-1.8182
2009-10-09,0.3704
2009-10-12,0.0
2009-10-13,0.0
2009-10-15,0.0
2009-10-16,-42.0664
2009-10-19,27.3885
2009-10-21,0.0
2009-10-23,-21.5
2009-10-26,0.6369
2009-10-27,0.0
2009-10-28,58.2278
2009-10-29,0.0
