ticker,STON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-08,-0.125
2014-07-09,-0.2086
2014-07-10,-0.0418
2014-07-11,0.4601
2014-07-14,0.6661
2014-07-15,-0.2068
2014-07-16,-0.5802
2014-07-17,-0.3335
2014-07-18,0.8783
2014-07-21,0.4146
2014-07-22,0.9083
2014-07-23,-0.1227
2014-07-24,0.2868
2014-07-25,0.2859
2014-07-28,0.1222
2014-07-29,-0.1627
2014-07-30,-0.4075
2014-07-31,-0.4092
2014-08-01,-0.2465
2014-08-04,0.8872
2014-08-05,-0.1256
2014-08-06,1.174
2014-08-07,-1.4919
2014-08-08,1.178
2014-08-11,1.4137
2014-08-12,-0.697
2014-08-13,1.9405000000000001
2014-08-14,-0.405
2014-08-15,-0.2033
2014-08-18,0.6112
2014-08-19,0.4455
2014-08-20,-0.121
2014-08-21,0.0807
2014-08-22,0.0
2014-08-25,3.3078
2014-08-26,-0.6638
2014-08-27,-0.7469
2014-08-28,-0.1188
2014-08-29,0.6344
2014-09-02,1.0244
2014-09-03,0.429
2014-09-04,-0.1553
2014-09-05,0.6223
2014-09-08,1.0823
2014-09-09,-0.3442
2014-09-10,0.307
2014-09-11,0.5738
2014-09-12,-2.2442
2014-09-15,-0.9728
2014-09-16,0.3536
2014-09-17,1.4096
2014-09-18,1.1583
2014-09-19,-0.0382
2014-09-22,-0.6873
2014-09-23,-1.4224999999999999
2014-09-24,1.014
2014-09-25,-0.4633
2014-09-26,0.2715
2014-09-29,0.5029
2014-09-30,-0.7313
2014-10-01,-0.7755
2014-10-02,0.5471
2014-10-03,1.1271
2014-10-06,-1.0377
2014-10-07,-0.233
2014-10-08,1.596
2014-10-09,-0.8429
2014-10-10,-1.1592
2014-10-13,-4.222
2014-10-14,0.1224
2014-10-15,0.0815
2014-10-16,2.8513
2014-10-17,1.5842
2014-10-20,-1.1696
2014-10-21,1.6174
2014-10-22,0.5823
2014-10-23,0.8877
2014-10-24,0.4973
2014-10-27,0.8755
2014-10-28,0.8302
2014-10-29,-0.5988
2014-10-30,0.1506
2014-10-31,0.3008
2014-11-03,0.075
2014-11-04,0.1917
2014-11-05,-0.9185
2014-11-06,-0.1545
2014-11-07,0.3868
2014-11-10,1.2331
2014-11-11,-2.284
2014-11-12,1.792
2014-11-13,-0.2296
2014-11-14,-0.5754
2014-11-17,-0.5401
2014-11-18,0.5043
2014-11-19,-0.4354
2014-11-20,0.0884
2014-11-21,-0.3098
2014-11-24,1.7094
2014-11-25,0.2674
2014-11-26,0.5333
2014-11-28,0.0758
2014-12-01,-0.6437
2014-12-02,1.5244
2014-12-03,0.8634
2014-12-04,-0.7443
2014-12-05,0.4499
2014-12-08,-2.7249
2014-12-09,-0.3454
