ticker,WLDN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-04-09,-2.4966
2012-04-10,0.7977
2012-04-11,0.0601
2012-04-12,0.8439
2012-04-13,1.1204
2012-04-16,-1.662
2012-04-17,1.1268
2012-04-19,1.3893
2012-04-23,-3.8429
2012-04-24,-0.0036
2012-04-27,-2.5679
2012-04-30,3.5191
2012-05-01,1.6997
2012-05-03,-2.507
2012-05-04,-2.5714
2012-05-07,-0.8798
2012-05-08,-4.4379
2012-05-10,4.0248
2012-05-11,-23.8095
2012-05-14,-1.5625
2012-05-15,-9.127
2012-05-16,1.31
2012-05-17,-2.5862
2012-05-18,-6.6372
2012-05-21,-7.5829
2012-05-22,-11.7949
2012-05-23,9.3023
2012-05-24,-8.5106
2012-05-29,5.2326
2012-05-30,4.9724
2012-05-31,-4.2105
2012-06-01,-3.2967
2012-06-04,2.2727
2012-06-05,-2.7778
2012-06-06,0.0
2012-06-07,-1.1429
2012-06-08,-0.578
2012-06-11,4.6512
2012-06-13,-7.7778
2012-06-15,6.0241
2012-06-19,-10.7955
2012-06-20,-0.6369
2012-06-21,-3.8381
2012-06-22,1.3249
2012-06-25,-6.6447
2012-06-26,7.1177
2012-06-27,-3.9474
2012-06-29,3.4247
2012-07-02,1.3245
2012-07-03,-1.9607999999999999
2012-07-05,-4.4
2012-07-06,-3.0683
2012-07-09,11.5108
2012-07-10,-9.0323
2012-07-13,26.9504
2012-07-16,-2.7933
2012-07-17,-4.5977
2012-07-19,-9.6386
2012-07-20,3.3333
2012-07-23,-3.871
2012-07-24,4.0268
2012-07-25,-7.7419
2012-07-26,2.0979
2012-07-27,-6.8493
2012-07-30,0.0
2012-07-31,3.6765
2012-08-01,-3.5461
2012-08-02,0.0
2012-08-06,-3.6765
2012-08-07,-3.8167999999999997
2012-08-08,-0.7937
2012-08-09,3.2
2012-08-10,-6.9767
2012-08-13,-3.3333
2012-08-14,16.3793
2012-08-15,0.7407
2012-08-16,0.0
2012-08-17,-2.2059
2012-08-20,0.0
2012-08-21,3.7594
2012-08-22,-12.3188
2012-08-23,12.3967
2012-08-24,-7.3529
2012-08-27,-3.9683
2012-08-28,0.0
2012-08-29,-0.8264
2012-08-30,0.8333
2012-08-31,0.8264
2012-09-04,3.2787
2012-09-06,0.0
2012-09-07,-4.7619
2012-09-10,-1.6667
2012-09-11,14.4068
2012-09-12,-8.1481
2012-09-13,-0.8065
2012-09-14,-2.439
2012-09-17,0.8333
2012-09-19,-0.8264
2012-09-20,6.6667
2012-09-21,9.375
2012-09-24,-2.1429
