ticker,AIPG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-02-16,10.0
2011-03-14,0.0
2011-03-15,0.0
2011-05-02,-18.1818
2011-05-03,0.0
2011-05-04,0.0
2011-05-05,-4.4444
2011-05-10,4.6512
2011-05-12,0.0
2011-05-13,-2.2222
2011-05-16,-2.2727
2011-06-03,-69.7674
2011-06-07,223.0769
2011-06-17,-76.1905
2011-06-20,295.0
2011-07-26,-2.5316
2011-07-29,0.0
2011-08-01,0.0
2011-09-26,-9.0909
2011-09-28,0.0
2011-10-13,-14.2857
2011-10-14,0.0
2011-10-19,0.0
2011-11-17,0.0
2011-12-14,13.3333
2011-12-15,0.0
2011-12-20,0.0
2012-01-12,0.0
2012-01-20,0.0
2012-01-25,0.0
2012-01-26,0.0
2012-01-31,0.0
2012-02-03,0.0
2012-02-07,0.0
2012-02-09,0.0
2012-02-15,-88.2353
2012-02-16,750.0
2012-02-17,0.0
2012-03-02,0.0
2012-03-08,-5.8824
2012-03-16,0.0
2012-03-22,0.0
2012-03-23,-6.25
2012-03-26,13.3333
2012-04-05,-11.7647
2012-04-12,13.3333
2012-06-05,0.0
2012-06-13,-52.9412
2012-06-14,112.5
2012-07-03,0.0
2012-07-06,-2.9412000000000003
2012-07-12,3.0303
2012-08-02,-26.4706
2012-08-03,0.0
2012-08-06,40.0
2012-08-16,0.0
2012-08-17,0.0
2012-08-31,-14.2857
2012-09-04,0.0
2012-09-05,0.0
2012-09-06,0.0
2012-09-14,0.0
2012-09-19,0.0
2012-10-18,-76.6667
2012-10-19,314.2857
2012-11-12,-13.7931
2012-12-10,0.0
2012-12-12,20.0
2012-12-19,0.0
2012-12-26,0.0
2013-01-18,-80.0
2013-01-22,400.0
2013-01-30,0.0
2013-02-06,-3.3333
2013-03-27,-31.0345
2013-03-28,45.0
2013-04-02,-3.4483
2013-05-07,25.0
2013-06-04,0.0
2013-06-06,-62.8571
2013-06-07,169.2308
2013-07-08,-62.2857
2013-07-09,-24.2424
2013-07-10,1.0
2013-07-11,246.5347
2013-10-17,-28.5714
2013-10-18,0.0
2013-10-21,0.0
2013-10-25,0.0
2013-10-29,0.0
2013-11-04,-68.0
2013-11-05,212.5
2013-11-29,-80.0
2013-12-02,400.0
2013-12-03,-7.6
2013-12-04,51.5152
2013-12-19,0.0
2013-12-26,0.0
2014-01-31,-71.4286
2014-02-03,0.0
2014-02-05,0.0
2014-02-13,-80.0
2014-02-14,400.0
2014-02-18,0.0
2014-02-19,0.0
2014-02-20,-80.0
2014-02-25,400.0
2014-02-26,-80.0
2014-02-28,400.0
2014-03-12,100.0
2014-03-13,62.5
2014-03-17,7.6923
2014-04-01,-71.4286
2014-04-03,0.0
2014-04-11,0.0
2014-04-17,0.0
2014-04-25,0.0
2014-05-09,0.0
2014-05-23,0.0
2014-05-29,0.0
2014-06-02,0.0
2014-06-03,0.0
2014-06-06,0.0
2014-06-13,0.0
2014-06-17,0.0
2014-06-23,0.0
2014-07-03,0.0
2014-07-07,0.0
2014-07-28,0.0
2014-08-21,0.0
2014-08-25,0.0
2014-09-05,-50.0
2014-09-08,100.0
2014-09-12,0.0
2014-09-19,0.0
2014-09-26,0.0
2014-10-01,-50.0
2014-10-03,80.0
2014-10-08,0.0
2014-10-09,11.1111
2014-10-17,0.0
2014-12-29,0.0
2014-12-31,0.0
2015-01-12,-10.0
2015-01-13,0.0
2015-01-14,0.0
2015-04-07,0.0
2015-05-27,11.1111
2015-10-02,-50.0
2015-10-15,-40.0
2015-10-16,66.6667
2015-10-21,-40.0
2015-10-26,-93.3333
2015-10-27,1400.0
2015-11-02,0.0
2015-11-12,0.0
2015-11-20,0.0
2015-12-09,-83.3333
2015-12-11,100.0
2015-12-14,50.0
2015-12-28,33.3333
2015-12-30,100.0
2016-03-14,-50.0
2016-04-04,37.1875
2016-04-05,-2.0501
2016-04-20,-44.186
2016-05-04,-33.3333
2016-06-28,0.0
2016-07-07,-20.625
2016-07-08,25.9843
2016-07-11,-15.625
2016-09-15,-90.3704
2016-10-17,1792.3077
2016-10-21,158.1301
2016-10-25,13.3858
2016-10-27,-87.7778
2016-11-08,634.0909
2016-11-09,0.6192
2016-12-13,-1.5385
2017-03-27,0.0
2017-08-31,-26.95
2017-09-11,-19.1992
2017-10-24,-3.8543
2017-10-25,4.0088
2018-01-17,1.6518000000000002
2018-03-07,66.25
2018-03-08,65.4135
2018-03-09,245.4697
2018-03-13,31.5732
2018-03-15,-86.6333
2018-03-26,74.5636
2018-04-04,-14.2857
2018-04-05,-15.8333
2018-05-04,177.5248
2018-05-29,-14.3775
2018-05-30,66.6667
2018-05-31,-45.0
2018-06-05,45.4545
2018-06-11,-25.0
2018-06-12,-16.5833
2018-06-14,99.8002
2018-06-15,-25.0
2018-06-18,-34.4167
2018-06-19,-18.6785
2018-06-20,-25.0
2018-06-21,21.6667
2018-06-26,132.8767
2018-07-09,-35.2941
2018-08-13,-45.4545
2018-09-07,-16.6667
2018-09-19,0.0
2018-10-02,100.0
2018-10-08,-20.0
2018-10-10,-37.5
2018-10-11,0.0
2018-10-16,-35.8
2018-10-26,-31.4642
2018-11-01,36.3636
2018-11-02,-16.6667
2018-11-07,0.0
2018-11-08,22.0
2018-11-29,31.1475
2019-01-04,-14.6625
2019-01-10,2.5341
2019-01-11,42.8571
2019-01-14,0.0
2019-03-15,-20.0
2019-04-01,18.75
2019-05-30,-28.947400000000002
2019-06-11,-30.3704
2019-08-06,0.0
2019-09-09,-61.1915
2019-09-30,10.7456
2019-10-01,157.4257
2019-10-02,19.2308
2019-10-03,-35.4839
2019-10-04,-22.5
2019-10-10,0.0
2019-10-15,0.0
2019-10-18,3.2258
2019-10-22,0.0
2019-10-28,125.0
2019-10-29,152.7778
2019-10-30,-23.0769
2019-10-31,242.8571
2019-11-01,4.1667
2019-11-04,-20.0
2019-11-05,-26.0
2019-11-06,19.0676
2019-11-07,-0.1248
2019-11-12,-26.7045
2019-11-13,-3.4884
2019-11-14,-19.6787
2019-11-18,-41.0
2019-11-19,-18.2203
2019-11-21,34.715
2019-11-26,-52.3077
2019-12-20,25.8065
2019-12-27,-23.0769
2019-12-31,0.0
2020-01-06,0.0
2020-01-15,0.0
2020-01-17,0.0
2020-02-06,-3.0
2020-02-07,3.0928
2020-02-24,-30.0
2020-03-05,42.8571
2020-03-12,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-04-02,0.3333
2020-04-29,282.0598
2020-05-05,-73.913
2020-05-12,0.0
2020-05-13,-33.3333
2020-06-02,50.0
2020-06-25,-50.0
