ticker,FBIP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-08,-2.1176
2015-09-16,0.7252
2015-09-21,-1.3733
2015-09-25,1.3925
2015-09-28,-2.8333
2015-10-14,0.8576
2015-10-19,0.1701
2015-10-20,3.5654
2016-01-11,-2.5996
2016-01-22,0.1698
2016-03-15,1.2546
2016-03-16,1.0101
2016-03-21,0.5
2016-07-06,6.0636
2016-07-28,0.3145
2016-10-07,0.8446
2016-10-12,0.0
2016-10-18,0.0
2016-11-14,0.0
2016-12-16,1.147
2017-01-17,1.0903
2017-02-03,0.1541
2017-03-27,3.9411
2017-04-17,0.0
2017-04-18,-3.5
2017-05-09,0.2406
2017-05-10,-0.1538
2017-05-11,-0.0863
2017-05-12,-0.074
2017-05-15,0.0
2017-05-16,0.0
2017-05-18,0.0
2017-05-19,4.9383
2017-05-25,-2.9412000000000003
2017-06-09,3.0606
2017-06-19,-3.9189
2017-07-17,3.968
2017-07-26,-3.8166
2017-07-27,0.0
2017-07-31,0.0012
2017-08-23,-0.3396
2017-08-24,0.0
2017-08-28,0.0
2017-08-29,-0.537
2017-08-30,0.5399
2017-09-20,0.5399
2017-09-29,0.0
2017-10-24,-1.7715999999999998
2017-10-25,-1.9668999999999999
2017-11-02,-0.0321
2017-11-03,0.0321
2017-11-10,-3.2051
2017-11-17,-1.9868000000000001
2017-11-20,2.027
2017-12-04,-1.3245
2017-12-06,-3.3544
2017-12-07,-0.0014
2017-12-08,4.8611
2017-12-11,-3.6424
2017-12-15,-2.5321
2017-12-22,-4.6263
2018-01-02,2.9851
2018-01-03,-4.6739
2018-01-04,4.9031
2018-01-05,-0.6884
2018-01-08,2.1525
2018-01-12,-7.1429
2018-01-17,2.3077
2018-01-19,-0.7519
2018-01-22,-1.5152
2018-01-24,0.5769
2018-01-26,-0.5736
2018-01-29,3.8462
2018-02-05,-2.9615
2018-02-20,-0.7649
2018-03-07,0.0
2018-03-14,0.0
2018-03-20,0.6737
2018-04-17,0.3846
2018-04-18,0.3908
2018-04-25,4.418
2018-04-30,0.1477
2018-05-01,-0.5474
2018-05-03,6.055
2018-05-15,0.692
2018-05-29,6.5292
2018-06-05,12.9032
2018-06-15,-16.7289
2018-06-21,5.5172
2018-07-11,-6.5359
2018-07-12,4.1958
2018-07-26,-2.6846
2018-08-24,0.6897
2018-09-05,2.7397
2018-09-21,-1.9312
2018-10-09,-4.2735
2018-10-23,0.0
2018-10-30,3.5714
2018-11-19,0.0
2018-12-03,0.0
2018-12-07,-6.8966
2019-01-11,0.0
2019-01-14,4.7512
2019-01-15,0.0
2019-01-28,0.0
2019-03-11,2.1429
2019-04-10,11.1893
2019-04-11,-0.6329
2019-05-06,4.4586
2019-05-08,-0.3049
2019-05-14,0.0
2019-05-17,0.3058
2019-05-22,-0.6098
2019-06-14,2.4059
2019-06-28,0.6024
2019-07-01,0.0
2019-07-19,-0.5988
2019-07-23,0.0
2019-07-29,1.2048
2019-07-30,0.5952
2019-08-12,0.5917
2019-09-05,-2.3529
2019-09-20,5.9963999999999995
2019-10-01,0.0
2019-10-10,-1.7143000000000002
2019-10-17,-0.5814
2019-10-28,0.0
2019-10-30,2.3392
2019-11-12,-2.2857
2019-11-22,2.3392
2019-12-03,-2.8571
2019-12-05,-3.8235
2019-12-06,0.3058
2019-12-09,3.0488
2019-12-10,-2.3669000000000002
2019-12-16,3.2881
2020-01-09,-0.0237
2020-01-16,-2.8587
2020-02-03,2.3518
2020-02-04,-2.3750999999999998
2020-02-06,0.0
2020-02-18,-1.2195
2020-03-18,-12.4604
2020-04-24,4.6099
2020-04-28,-1.6949
2020-05-01,0.0
2020-05-15,-6.8966
2020-05-18,22.2222
2020-06-03,0.0
2020-06-05,-18.1818
2020-06-24,4.4231
2020-07-16,-3.5714
