ticker,EYE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-01-29,-0.4726
2019-01-30,-0.6964
2019-01-31,1.2432
2019-02-01,0.3149
2019-02-04,-0.973
2019-02-05,3.0428
2019-02-06,-3.4759
2019-02-07,1.0835
2019-02-08,0.1576
2019-02-11,0.0315
2019-02-12,3.6501
2019-02-13,1.4572
2019-02-14,-0.3291
2019-02-15,2.0715
2019-02-19,-1.5293999999999999
2019-02-20,2.0908
2019-02-21,-2.2528
2019-02-22,0.8381
2019-02-25,-2.1371
2019-02-26,3.306
2019-02-27,-3.259
2019-02-28,1.9727000000000001
2019-03-01,4.7321
2019-03-04,-6.1949
2019-03-05,-2.7567
2019-03-06,-2.1495
2019-03-07,-0.7323
2019-03-08,-2.3733
2019-03-11,2.8252
2019-03-12,-1.853
2019-03-13,2.9297
2019-03-14,-1.6762000000000001
2019-03-15,-1.8977
2019-03-18,-1.082
2019-03-19,-1.1269
2019-03-20,-3.0171
2019-03-21,2.8344
2019-03-22,-2.2857
2019-03-25,1.0664
2019-03-26,2.2805
2019-03-27,4.0932
2019-03-28,-0.1279
2019-03-29,0.6082
2019-04-01,1.7499
2019-04-02,-4.7842
2019-04-03,-0.9195
2019-04-04,1.1269
2019-04-05,-0.3605
2019-04-08,-1.5461
2019-04-09,-1.4701
2019-04-10,0.3052
2019-04-11,-0.0676
2019-04-12,-1.4885
2019-04-15,0.4464
2019-04-16,-0.1709
2019-04-17,-1.9521
2019-04-18,-0.8732
2019-04-22,0.599
2019-04-23,1.9264000000000001
2019-04-24,0.378
2019-04-25,-0.1712
2019-04-26,-3.4979
2019-04-29,-1.2793
2019-04-30,-2.8078
2019-05-01,-0.7407
2019-05-02,0.9328
2019-05-03,2.4769
2019-05-06,-0.974
2019-05-07,-4.408
2019-05-08,1.3338
2019-05-09,3.3847
2019-05-10,-0.1091
2019-05-13,-3.496
2019-05-14,2.6414999999999997
2019-05-15,1.8382
2019-05-16,-0.5054
2019-05-17,-1.6328
2019-05-20,-1.7706
2019-05-21,3.1168
2019-05-22,1.3838
2019-05-23,1.796
2019-05-24,1.8349
2019-05-28,-5.1975
2019-05-29,1.2792
2019-05-30,-0.7578
2019-05-31,-0.9818
2019-06-03,-5.3985
2019-06-04,5.2019
2019-06-05,0.6642
2019-06-06,-3.1525
2019-06-07,-0.8706
2019-06-10,5.231
2019-06-11,3.3382
2019-06-12,-0.5618
2019-06-13,6.8503
2019-06-14,-0.727
2019-06-17,1.4647000000000001
2019-06-18,1.0827
2019-06-19,0.4544
2019-06-20,2.4556
2019-06-21,0.7569
2019-06-24,-1.9718
2019-06-25,-1.5006
2019-06-26,0.6159
2019-06-27,1.3853
2019-06-28,-2.3514
2019-07-01,-2.9938000000000002
2019-07-02,0.0335
2019-07-03,0.503
2019-07-05,0.2669
2019-07-08,1.9301
2019-07-09,-0.9468
2019-07-10,1.5491000000000001
2019-07-11,1.0386
2019-07-12,0.9316
2019-07-15,-1.5276999999999998
2019-07-16,1.616
2019-07-17,0.7952
2019-07-18,1.1360000000000001
2019-07-19,-1.092
2019-07-22,-1.4196
2019-07-23,-0.32
2019-07-24,3.0498
2019-07-25,0.3115
2019-07-26,0.4348
2019-07-29,-1.8862
2019-07-30,-1.7019
2019-07-31,1.2825
2019-08-01,-3.8303000000000003
2019-08-02,-1.8761999999999999
2019-08-05,-2.8178
2019-08-06,2.8305
2019-08-07,5.2702
2019-08-08,1.4031
2019-08-09,-1.7296
2019-08-12,-1.76
2019-08-13,-2.215
2019-08-14,-4.1639
2019-08-15,0.0348
2019-08-16,-3.6831
2019-08-19,-0.7937
2019-08-20,1.2
2019-08-21,1.617
2019-08-22,1.6266
2019-08-23,-6.2978
2019-08-26,1.2254
2019-08-27,-0.9905
2019-08-28,2.6677
2019-08-29,4.0419
2019-08-30,-1.6301999999999999
2019-09-03,-2.6093
2019-09-04,0.9776
2019-09-05,-1.1115
2019-09-06,-1.2328000000000001
2019-09-09,2.4229
2019-09-10,8.7814
2019-09-11,6.1614
2019-09-12,-2.545
2019-09-13,-2.3885
2019-09-16,-9.3964
2019-09-17,-2.9888
2019-09-18,-1.3734
2019-09-19,-3.4249
2019-09-20,-2.8449
2019-09-23,-0.6017
2019-09-24,-0.2018
2019-09-25,0.93
2019-09-26,-3.2452
2019-09-27,-0.911
2019-09-30,0.585
2019-10-01,4.0715
2019-10-02,-1.8761999999999999
2019-10-03,-6.1839
2019-10-04,3.7077
2019-10-07,-3.9515000000000002
2019-10-08,-0.9578
2019-10-09,0.4835
2019-10-10,1.7934999999999999
2019-10-11,2.8363
2019-10-14,-0.4179
2019-10-15,2.5598
2019-10-16,-2.0867
2019-10-17,-0.1254
2019-10-18,-3.8075
2019-10-21,0.696
2019-10-22,0.7343
2019-10-23,1.3293
2019-10-24,0.6771
2019-10-25,0.2942
2019-10-28,1.1735
2019-10-29,-0.0829
2019-10-30,-0.3731
2019-10-31,-0.9571
2019-11-01,-0.7773
2019-11-04,1.6515
2019-11-05,4.7698
2019-11-06,-1.2724
2019-11-07,19.6536
2019-11-08,-6.5971
2019-11-11,-3.4775
2019-11-12,0.896
2019-11-13,-1.3876
2019-11-14,1.4259
2019-11-15,2.0718
2019-11-18,-0.9424
2019-11-19,-0.3293
2019-11-20,2.6065
2019-11-21,1.7889
2019-11-22,1.5466
2019-11-25,3.2537
2019-11-26,1.2404
2019-11-27,0.4305
2019-11-29,-0.4286
2019-12-02,0.1325
2019-12-03,-2.0503
2019-12-04,1.0128
2019-12-05,1.0027
2019-12-06,1.7207
2019-12-09,-1.1711
2019-12-10,-0.9217
2019-12-11,1.7608000000000001
2019-12-12,3.6892
2019-12-13,-0.7242
2019-12-16,0.1903
2019-12-17,1.2029
2019-12-18,1.8768
2019-12-19,1.1053
2019-12-20,0.2126
2019-12-23,-0.2121
2019-12-24,0.6073
2019-12-26,-0.8753
2019-12-27,0.7917
2019-12-30,-2.6888
2019-12-31,0.683
2020-01-02,0.0
2020-01-03,0.3084
2020-01-06,1.2911000000000001
2020-01-07,-1.305
2020-01-08,0.9533
2020-01-09,0.4874
2020-01-10,-1.0912
2020-01-13,1.1339
2020-01-14,-0.0303
2020-01-15,-0.7578
2020-01-16,-0.0305
2020-01-17,0.3055
2020-01-21,2.8937
2020-01-22,3.73
2020-01-23,1.5126
2020-01-24,3.3455
2020-01-27,-1.9042
2020-01-28,-0.5269
2020-01-29,-0.92
2020-01-30,-0.9285
2020-01-31,-3.0957
2020-02-03,0.5569
2020-02-04,-1.8944999999999999
2020-02-05,1.7528000000000001
2020-02-06,0.6715
2020-02-07,-2.9872
2020-02-10,-1.5546
2020-02-11,-0.7896
2020-02-12,-0.2449
2020-02-13,1.5342
2020-02-14,1.9946000000000002
2020-02-18,4.9481
2020-02-19,0.2823
2020-02-20,1.6329
2020-02-21,-0.4155
2020-02-24,-4.1168
2020-02-25,-1.8567
2020-02-26,14.0999
2020-02-27,-8.8601
2020-02-28,-1.0233
2020-03-02,4.3366
2020-03-03,-1.4038
2020-03-04,2.708
2020-03-05,-3.5879
2020-03-06,-1.4942
2020-03-09,-1.2021
2020-03-10,0.5214
2020-03-11,-8.7608
2020-03-12,-12.6342
2020-03-13,9.7975
2020-03-16,-23.4442
2020-03-17,-11.6989
2020-03-18,-18.8018
2020-03-19,4.799
2020-03-20,-19.5192
2020-03-23,-2.5605
2020-03-24,32.0438
2020-03-25,17.1365
2020-03-26,4.5304
2020-03-27,-10.0226
2020-03-30,-1.7561
2020-03-31,-0.8172
2020-04-01,-15.139
2020-04-02,0.2427
2020-04-03,0.908
2020-04-06,10.3779
2020-04-07,8.3696
2020-04-08,10.331
2020-04-09,10.7727
2020-04-13,-0.4924
2020-04-14,3.4227
2020-04-15,-3.4689
2020-04-16,-0.7435
2020-04-17,1.9559
2020-04-20,-1.2652999999999999
2020-04-21,-2.067
2020-04-22,2.7016
2020-04-23,-0.3288
2020-04-24,5.8557
2020-04-27,9.778
2020-04-28,-1.9517
2020-04-29,3.8002000000000002
2020-04-30,-7.6011
2020-05-01,-6.4151
2020-05-04,-0.4839
2020-05-05,-1.1345
2020-05-06,-1.6393
2020-05-07,1.875
2020-05-08,8.0164
2020-05-11,-0.4165
2020-05-12,-6.7681000000000004
2020-05-13,-2.0799
2020-05-14,-0.7913
2020-05-15,2.4769
2020-05-18,7.9885
2020-05-19,-5.6904
2020-05-20,-2.0917
2020-05-21,6.6968
2020-05-22,-2.3104
2020-05-26,8.1198
2020-05-27,3.9373
2020-05-28,-7.0502
2020-05-29,1.0566
2020-06-01,-3.6968
2020-06-02,6.0489
2020-06-03,9.4333
2020-06-04,-0.8353
2020-06-05,7.1092
