ticker,AMH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-01-28,-0.6044
2016-01-29,1.2838
2016-02-01,0.2001
2016-02-02,-1.9308
2016-02-03,1.5614
2016-02-04,-0.4679
2016-02-05,-2.1491
2016-02-08,-3.6376
2016-02-09,-3.5613
2016-02-10,0.8124
2016-02-11,-3.2234
2016-02-12,2.271
2016-02-16,1.2583
2016-02-17,0.731
2016-02-18,-0.2903
2016-02-19,0.5095
2016-02-22,-0.2172
2016-02-23,-0.9434
2016-02-24,-0.4396
2016-02-25,3.0169
2016-02-26,1.5
2016-02-29,-1.4778
2016-03-01,7.5
2016-03-02,0.2658
2016-03-03,1.7229999999999999
2016-03-04,1.3029
2016-03-07,-0.6431
2016-03-08,0.712
2016-03-09,-0.5784
2016-03-10,-0.905
2016-03-11,2.9354
2016-03-14,0.3814
2016-03-15,-1.2033
2016-03-16,1.1538
2016-03-17,-0.3169
2016-03-18,-0.1271
2016-03-21,-0.191
2016-03-22,-0.3189
2016-03-23,-2.3672
2016-03-24,0.7864
2016-03-28,1.4304000000000001
2016-03-29,0.8974
2016-03-30,-0.1906
2016-03-31,1.2094
2016-04-01,-0.2516
2016-04-04,-1.2610000000000001
2016-04-05,0.0639
2016-04-06,0.8934
2016-04-07,-0.506
2016-04-08,-0.3814
2016-04-11,-0.1914
2016-04-12,0.1918
2016-04-13,-0.2553
2016-04-14,-0.064
2016-04-15,0.8963
2016-04-18,1.0152
2016-04-19,0.5025
2016-04-20,-0.125
2016-04-21,-2.2528
2016-04-22,0.7042
2016-04-25,0.1271
2016-04-26,0.5714
2016-04-27,-0.1894
2016-04-28,0.8855
2016-04-29,-0.815
2016-05-02,1.4539
2016-05-03,-0.4361
2016-05-04,1.1264
2016-05-05,0.4332
2016-05-06,5.4221
2016-05-09,2.2209
2016-05-10,0.1144
2016-05-11,-0.5711
2016-05-12,1.838
2016-05-13,0.0564
2016-05-16,1.4092
2016-05-17,-1.4452
2016-05-18,-1.5792000000000002
2016-05-19,0.2292
2016-05-20,1.6009
2016-05-23,-0.7316
2016-05-24,1.8707
2016-05-25,1.7807
2016-05-26,1.3122
2016-05-27,0.2698
2016-05-31,-1.2917
2016-06-01,0.5453
2016-06-02,-0.2169
2016-06-03,-0.7609
2016-06-06,-2.2453
2016-06-07,0.0
2016-06-08,0.8964
2016-06-09,0.3887
2016-06-10,-0.2212
2016-06-13,-0.5543
2016-06-14,-1.9564
2016-06-15,2.1665
2016-06-16,0.558
2016-06-17,1.8868
2016-06-20,1.5251000000000001
2016-06-21,0.8584
2016-06-22,0.0532
2016-06-23,0.9569
2016-06-24,0.6846
2016-06-27,0.2092
2016-06-28,4.2797
2016-06-29,1.4014
2016-06-30,1.0859
2016-07-01,0.8301
2016-07-05,0.8717
2016-07-06,-0.288
2016-07-07,-1.637
2016-07-08,2.4474
2016-07-11,0.7645
2016-07-12,-0.4742
2016-07-13,-0.3335
2016-07-14,-0.478
2016-07-15,0.1441
2016-07-18,0.6715
2016-07-19,0.667
2016-07-20,0.5679
2016-07-21,-0.9412
2016-07-22,1.0451
2016-07-25,0.4701
2016-07-26,-0.4212
2016-07-27,-0.6109
2016-07-28,1.3239
2016-07-29,1.2599
2016-08-01,0.1382
2016-08-02,-0.7363
2016-08-03,-0.3245
2016-08-04,0.3721
2016-08-05,4.0315
2016-08-08,1.7372
2016-08-09,-0.9632
2016-08-10,0.0
2016-08-11,-1.4147
2016-08-12,-0.1345
2016-08-15,0.6736
2016-08-16,-0.1338
2016-08-17,0.3573
2016-08-18,0.1335
2016-08-19,-1.3333
2016-08-22,-1.0811
2016-08-23,0.3188
2016-08-24,-0.7263
2016-08-25,0.7316
2016-08-26,0.1816
2016-08-29,0.0906
2016-08-30,-1.2223
2016-08-31,0.2291
2016-09-01,0.2286
2016-09-02,1.8248
2016-09-06,1.6129
2016-09-07,0.3968
2016-09-08,-3.3816
2016-09-09,-2.2727
2016-09-12,2.0
2016-09-13,-3.2376
2016-09-14,-0.9447
2016-09-15,0.6199
2016-09-16,-0.1422
2016-09-19,1.851
2016-09-20,0.3728
2016-09-21,0.0
2016-09-22,0.8357
2016-09-23,0.3683
2016-09-26,-0.6422
2016-09-27,-0.1847
2016-09-28,-0.555
2016-09-29,0.4651
2016-09-30,0.1852
2016-10-03,-1.6174
2016-10-04,-3.4288
2016-10-05,-1.8481999999999998
2016-10-06,0.8424
