ticker,NVFY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-15,-4.5738
2014-09-16,1.5251000000000001
2014-09-17,-4.2918
2014-09-18,0.8969
2014-09-19,-2.0
2014-09-22,-0.6803
2014-09-23,-2.5114
2014-09-24,3.7471
2014-09-25,0.2257
2014-09-26,-2.027
2014-09-29,-0.2299
2014-09-30,-0.9217
2014-10-01,-1.1628
2014-10-02,-0.7059
2014-10-03,2.6066000000000003
2014-10-06,-1.3857
2014-10-07,-3.7471
2014-10-08,1.2165
2014-10-09,2.6442
2014-10-10,-3.2787
2014-10-13,1.937
2014-10-14,0.4751
2014-10-15,-1.4184
2014-10-16,-0.7194
2014-10-17,-0.4831
2014-10-20,0.2427
2014-10-21,0.0
2014-10-22,2.6634
2014-10-23,1.25
2014-10-24,0.396
2014-10-27,-0.0464
2014-10-28,1.9034
2014-10-29,-0.4556
2014-10-30,-0.9153
2014-10-31,-1.6166
2014-11-03,-0.0235
2014-11-04,-1.3853
2014-11-05,-1.6667
2014-11-06,-0.2421
2014-11-07,0.7282
2014-11-10,0.0
2014-11-11,0.241
2014-11-12,0.7212
2014-11-13,-0.2387
2014-11-14,-0.4785
2014-11-17,-0.4808
2014-11-18,-0.9662
2014-11-19,0.0
2014-11-20,-2.6829
2014-11-21,-1.0025
2014-11-24,0.5063
2014-11-25,0.0
2014-11-26,0.5038
2014-11-28,-0.2506
2014-12-01,-6.0302
2014-12-02,-3.7433
2014-12-03,-0.8333
2014-12-04,-2.2409
2014-12-05,-1.7191999999999998
2014-12-08,-9.3294
2014-12-09,-6.1093
2014-12-10,-1.7123
2014-12-11,6.9686
2014-12-12,3.5831
2014-12-15,4.0881
2014-12-16,0.9063
2014-12-17,-0.8982
2014-12-18,-1.8127
2014-12-19,-4.6154
2014-12-22,-5.1613
2014-12-23,-2.0408
2014-12-24,1.3889
2014-12-26,1.0274
2014-12-29,-1.6949
2014-12-30,-2.4138
2014-12-31,-0.7067
2015-01-02,7.8292
2015-01-05,0.0
2015-01-06,-3.3003
2015-01-07,1.0239
2015-01-08,-0.3378
2015-01-09,-0.339
2015-01-12,-2.3810000000000002
2015-01-13,-3.1359
2015-01-14,-2.1583
2015-01-15,-6.6222
2015-01-16,-4.7197
2015-01-20,0.0
2015-01-21,-7.0248
2015-01-22,-8.0
2015-01-23,-3.3816
2015-01-26,-3.0
2015-01-27,-4.6392
2015-01-28,-1.6216
2015-01-29,-1.0989
2015-01-30,2.7708
2015-02-02,-2.7975
2015-02-03,7.334
2015-02-04,12.9534
2015-02-05,7.3394
2015-02-06,2.9915000000000003
2015-02-09,-6.639
2015-02-10,-4.4444
2015-02-11,-1.4012
2015-02-12,2.3174
2015-02-13,1.8902999999999999
2015-02-17,15.2941
2015-02-18,1.6484
2015-02-19,1.9304999999999999
2015-02-20,-1.5270000000000001
2015-02-23,1.5507
2015-02-24,-1.1364
2015-02-25,1.9157
2015-02-26,0.0
2015-02-27,-0.3806
2015-03-02,1.1368
2015-03-03,0.7463
2015-03-04,-0.3032
2015-03-05,0.3042
2015-03-06,-1.4815
2015-03-09,-2.2556
2015-03-10,-1.9231
2015-03-11,-2.7451
2015-03-12,-6.1693999999999996
2015-03-13,0.1289
2015-03-16,-2.1513
2015-03-17,18.4275
2015-03-18,7.4074
2015-03-19,5.5172
2015-03-20,-0.3268
2015-03-23,2.9508
2015-03-24,4.4586
2015-03-25,-3.0488
2015-03-26,-17.2956
2015-03-27,-6.0837
2015-03-30,5.2632
2015-03-31,-3.8462
2015-04-01,-2.0
2015-04-02,4.898
2015-04-06,-3.8911
2015-04-07,-2.0243
2015-04-08,0.4132
2015-04-09,1.2346
2015-04-10,1.2195
2015-04-13,-1.6465999999999998
2015-04-14,-4.0425
2015-04-15,2.5532
2015-04-16,-2.0747
2015-04-17,0.8475
2015-04-20,0.4202
2015-04-21,0.0
2015-04-22,9.205
2015-04-23,8.4291
2015-04-24,0.7067
2015-04-27,1.0526
2015-04-28,0.0
2015-04-29,-2.7778
2015-04-30,-4.6429
2015-05-01,0.3745
2015-05-04,-4.4776
2015-05-05,-3.5156
2015-05-06,5.668
2015-05-07,3.0651
2015-05-08,-5.2045
2015-05-11,0.7843
2015-05-12,-1.1673
2015-05-13,-1.1171
2015-05-14,6.7038
2015-05-15,4.1045
2015-05-18,7.5269
2015-05-19,4.6667
2015-05-20,7.0064
2015-05-21,0.5952
2015-05-22,-1.1834
2015-05-26,-15.0262
2015-05-27,-4.5144
2015-05-28,-14.3865
2015-05-29,-3.4535
2015-06-01,-6.25
2015-06-02,15.7143
2015-06-03,0.7562
2015-06-04,0.8832
2015-06-05,-2.4291
2015-06-08,-1.6598000000000002
2015-06-09,-2.9536
2015-06-10,-6.5217
2015-06-11,3.2558
2015-06-12,-2.7027
2015-06-15,2.3148
2015-06-16,0.4525
