ticker,QTNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-10,-0.8065
2017-01-11,-3.252
2017-01-12,-5.8824
2017-01-13,7.5
2017-01-17,-3.8205999999999998
2017-01-18,3.2815
2017-01-19,-0.1672
2017-01-20,5.5276
2017-01-23,-0.3175
2017-01-24,-0.3185
2017-01-25,6.1502
2017-01-26,-3.8375
2017-01-27,1.4085
2017-01-30,1.3889
2017-01-31,-1.2177
2017-02-01,1.2327
2017-02-02,0.1522
2017-02-03,2.1277
2017-02-06,-1.0417
2017-02-07,4.5113
2017-02-08,-4.8921
2017-02-09,-3.0257
2017-02-10,-0.156
2017-02-13,-0.9375
2017-02-14,-0.6309
2017-02-15,3.3333
2017-02-16,2.1505
2017-02-17,-0.7519
2017-02-21,-0.6061
2017-02-22,-2.439
2017-02-23,-0.7813
2017-02-24,-0.1575
2017-02-27,4.8896
2017-02-28,3.0075
2017-03-01,-2.6277
2017-03-02,1.1994
2017-03-03,-0.1481
2017-03-06,-0.8902
2017-03-07,-3.7425
2017-03-08,-0.7776
2017-03-09,-1.4107
2017-03-10,3.1797
2017-03-13,-0.9245
2017-03-14,1.7107
2017-03-15,1.5291000000000001
2017-03-16,-2.1084
2017-03-17,2.0
2017-03-20,-0.3017
2017-03-21,-2.4206
2017-03-22,2.7907
2017-03-23,-1.9607999999999999
2017-03-24,-2.3077
2017-03-27,-1.4173
2017-03-28,5.9105
2017-03-29,-0.905
2017-03-30,-0.1522
2017-03-31,6.5549
2017-04-03,-1.4306
2017-04-04,-2.7576
2017-04-05,-10.7463
2017-04-06,5.3512
2017-04-07,1.9048
2017-04-10,1.2461
2017-04-11,0.4615
2017-04-12,-0.3063
2017-04-13,-1.0753
2017-04-17,-2.795
2017-04-18,5.1118
2017-04-19,-0.152
2017-04-20,-0.761
2017-04-21,-1.6871
2017-04-24,-0.936
2017-04-25,1.2598
2017-04-26,0.9331
2017-04-27,1.0786
2017-04-28,3.811
2017-05-01,-0.8811
2017-05-02,1.037
2017-05-03,-1.173
2017-05-04,2.9674
2017-05-05,1.7290999999999999
2017-05-08,0.1416
2017-05-09,2.9703
2017-05-10,0.9615
2017-05-11,-0.4082
2017-05-12,2.459
2017-05-15,-0.2667
2017-05-16,-0.4011
2017-05-17,-3.3557
2017-05-18,1.8056
2017-05-19,4.2292
2017-05-22,0.2618
2017-05-23,-1.0444
2017-05-24,-1.5831
2017-05-25,0.134
2017-05-26,1.2048
2017-05-30,-2.3810000000000002
2017-05-31,0.6775
2017-06-01,2.288
2017-06-02,1.0526
2017-06-05,-2.3438
2017-06-06,-0.8
2017-06-07,-0.8065
2017-06-08,1.355
2017-06-09,1.6042999999999998
2017-06-12,-2.5
2017-06-13,0.9447
2017-06-14,0.8021
2017-06-15,-2.2546
2017-06-16,-0.2714
2017-06-19,0.0
2017-06-20,-3.6734999999999998
2017-06-21,2.4011
2017-06-22,-4.1379
2017-06-23,-3.3094
2017-06-26,0.1488
2017-06-27,2.2288
2017-06-28,3.0523
2017-06-29,1.4104
2017-06-30,2.3644
2017-07-03,-0.4076
2017-07-05,0.8186
2017-07-06,0.6766
2017-07-07,0.0
2017-07-10,-5.1075
2017-07-11,0.5666
2017-07-12,0.5634
2017-07-13,-1.9607999999999999
2017-07-14,-1.5714000000000001
2017-07-17,-5.8055
2017-07-18,-3.8521
2017-07-19,0.1603
2017-07-20,-1.44
2017-07-21,-4.8701
