ticker,RETO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-08-27,1.0
2019-08-28,-4.4752
2019-08-29,-1.0365
2019-08-30,-0.5027
2019-09-04,18.7789
2019-09-05,-4.1563
2019-09-06,-4.7619
2019-09-09,2.9126
2019-09-10,1.8868
2019-09-11,0.9259
2019-09-12,-7.3394
2019-09-13,-3.1881
2019-09-16,-0.7977
2019-09-17,1.9897
2019-09-18,4.9328
2019-09-19,5.539
2019-09-20,-0.5111
2019-09-24,0.9174
2019-09-26,-0.9091
2019-09-27,1.8349
2019-09-30,1.8018
2019-10-01,-4.9204
2019-10-02,0.5212
2019-10-03,4.6296
2019-10-04,0.0
2019-10-07,-1.7699
2019-10-08,8.1081
2019-10-09,-8.3333
2019-10-10,-4.5455
2019-10-11,1.9048
2019-10-15,-4.6729
2019-10-16,11.7647
2019-10-17,-3.2018
2019-10-18,-3.942
2019-10-21,-5.6604
2019-10-22,-10.0
2019-10-30,1.4444
2019-11-01,4.1621
2019-11-04,0.0
2019-11-05,18.8223
2019-11-07,-13.2743
2019-11-08,-2.0408
2019-11-12,-1.0521
2019-11-13,-6.0892
2019-11-19,-4.7036
2019-11-25,0.0
2019-11-27,14.0925
2019-12-02,9.1143
2019-12-03,-14.013
2019-12-04,1.0989
2019-12-05,-2.1739
2019-12-10,2.6111
2019-12-11,5.36
2019-12-12,4.8304
2019-12-16,-11.7647
2019-12-17,2.2222
2019-12-18,9.7826
2019-12-19,-5.4653
2019-12-20,0.5027
2019-12-26,3.6578
2019-12-27,-7.7812
2019-12-31,-4.2952
2020-01-06,-6.5042
2020-01-07,0.0609
2020-01-08,21.7582
2020-01-09,-2.99
2020-01-10,-3.1028000000000002
2020-01-13,16.4894
2020-01-14,-12.3288
2020-01-15,12.1042
2020-01-16,-8.4743
2020-01-17,5.5939
2020-01-21,-3.8458
2020-01-22,-5.0095
2020-01-23,-11.5789
2020-01-24,0.0
2020-01-27,11.2857
2020-01-28,-1.0484
2020-01-29,24.3243
2020-01-30,16.5217
2020-01-31,-16.4179
2020-02-03,2.6786
2020-02-04,-11.3043
2020-02-05,-10.2745
2020-02-06,3.8024
2020-02-07,6.3158
2020-02-10,-8.9109
2020-02-11,-0.0543
2020-02-12,4.633
2020-02-13,0.8211
2020-02-14,-0.3093
2020-02-18,-1.2606
2020-02-19,-10.9771
2020-02-20,1.0941
2020-02-21,-2.5719
2020-02-24,0.9329
2020-02-25,6.5076
2020-02-26,-2.6778
2020-02-27,-6.9757
2020-02-28,-14.0771
2020-03-02,5.4135
2020-03-03,5.2981
2020-03-04,-6.061
2020-03-05,0.0
2020-03-06,-0.0137
2020-03-09,0.0137
2020-03-10,-3.3407999999999998
2020-03-12,1.7273
2020-03-13,-15.0042
2020-03-16,11.4571
2020-03-18,-11.6763
2020-03-19,-0.1001
2020-03-20,-3.3333
2020-03-23,-4.6897
2020-03-24,0.0
2020-03-25,1.5013999999999998
2020-03-26,0.0064
2020-03-27,-2.4301
2020-03-30,-8.6758
2020-03-31,0.0
2020-04-01,4.0
2020-04-02,-3.7883
2020-04-03,0.4395
2020-04-06,-0.4975
