ticker,UMBF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-03,0.1306
2008-03-04,-0.5479
2008-03-05,-1.0231
2008-03-06,-1.5636999999999999
2008-03-07,-0.0269
2008-03-10,-0.1082
2008-03-11,7.4174
2008-03-12,-1.1089
2008-03-13,0.6116
2008-03-14,-0.7852
2008-03-17,-0.6893
2008-03-18,3.8817
2008-03-19,0.2227
2008-03-20,5.7778
2008-03-24,0.3035
2008-03-25,0.512
2008-03-26,-1.8291
2008-03-27,-1.9340000000000002
2008-03-28,-0.9861
2008-03-31,0.0729
2008-04-01,2.7184
2008-04-02,0.2127
2008-04-03,0.7781
2008-04-04,-0.0468
2008-04-07,0.2575
2008-04-08,-1.0974
2008-04-09,-2.4079
2008-04-10,1.1611
2008-04-11,-2.439
2008-04-14,-0.8333
2008-04-15,1.6560000000000001
2008-04-16,3.3066
2008-04-17,-0.9649
2008-04-18,1.1644
2008-04-21,-2.3961
2008-04-22,6.5945
2008-04-23,0.7225
2008-04-24,4.4833
2008-04-25,3.1753
2008-04-28,3.4519
2008-04-29,-0.9045
2008-04-30,0.6897
2008-05-01,1.7325
2008-05-02,0.4158
2008-05-05,-0.631
2008-05-06,1.5479
2008-05-07,-5.1593
2008-05-08,1.9369
2008-05-09,0.283
2008-05-12,1.8746
2008-05-13,2.4733
2008-05-14,-2.1626
2008-05-15,0.5526
2008-05-16,-1.9627
2008-05-19,0.6206
2008-05-20,-0.1791
2008-05-21,0.8571
2008-05-22,3.5968
2008-05-23,-1.0874
2008-05-27,1.0029
2008-05-28,-1.9095
2008-05-29,2.0635
2008-05-30,-0.4959
2008-06-02,-0.5942
2008-06-03,-1.1762
2008-06-04,1.1707
2008-06-05,1.8322
2008-06-06,-3.1629
2008-06-09,-0.6943
2008-06-10,2.1734999999999998
2008-06-11,-1.7985
2008-06-12,1.8708
2008-06-13,1.3725
2008-06-16,3.2227
2008-06-17,0.2402
2008-06-18,1.3638
2008-06-19,1.0
2008-06-20,0.7561
2008-06-23,-3.8056
2008-06-24,0.3158
2008-06-25,0.7406
2008-06-26,-3.8411999999999997
2008-06-27,1.0512
2008-06-30,-3.0263
2008-07-01,0.7607
2008-07-02,-2.0132
2008-07-03,-4.8795
2008-07-07,-1.8069
2008-07-08,5.9222
2008-07-09,-1.3179
2008-07-10,0.1416
2008-07-11,0.8285
2008-07-14,-5.5511
2008-07-15,-0.3607
2008-07-16,7.6235
2008-07-17,7.3407
2008-07-18,-1.8986
2008-07-21,0.1691
2008-07-22,5.74
2008-07-23,-0.1597
2008-07-24,-1.4748
