ticker,AXGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-07-12,-1.3178
2016-07-13,-3.9276999999999997
2016-07-14,1.2265
2016-07-15,5.0081
2016-07-18,0.3077
2016-07-19,-0.3067
2016-07-20,1.9231
2016-07-21,0.3774
2016-07-22,6.391
2016-07-25,1.7668
2016-07-26,-1.6667
2016-07-27,2.4718
2016-07-28,0.6203
2016-07-29,1.3699
2016-08-01,2.7027
2016-08-02,-0.0658
2016-08-03,1.975
2016-08-04,-0.3873
2016-08-05,-0.0648
2016-08-08,-0.454
2016-08-09,-0.0651
2016-08-10,-3.7157999999999998
2016-08-11,1.5572
2016-08-12,0.8667
2016-08-15,1.3219
2016-08-16,0.7175
2016-08-17,1.8135
2016-08-18,1.6539000000000001
2016-08-19,-2.4406
2016-08-22,4.2335
2016-08-23,1.5385
2016-08-24,-0.3636
2016-08-25,-2.1898
2016-08-26,3.7935
2016-08-29,-0.4793
2016-08-30,0.1806
2016-08-31,-1.3822
2016-09-01,-0.8531
2016-09-02,-1.3522
2016-09-06,0.6854
2016-09-07,-0.3713
2016-09-08,-0.4348
2016-09-09,-5.9888
2016-09-12,4.0478
2016-09-13,1.0842
2016-09-14,4.2902000000000005
2016-09-15,2.7828
2016-09-16,-1.4715
2016-09-19,0.1792
2016-09-20,1.4311
2016-09-21,1.7048999999999999
2016-09-22,-12.4855
2016-09-23,0.9247
2016-09-26,-3.7304
2016-09-27,-0.8158
2016-09-28,-3.7012
2016-09-29,1.7793999999999999
2016-09-30,-2.0979
2016-10-03,-0.4286
2016-10-04,-1.0043
2016-10-05,1.5217
2016-10-06,-3.9257999999999997
2016-10-07,0.0743
2016-10-10,2.5984
2016-10-11,-3.0391
2016-10-12,-2.3134
2016-10-13,1.6806999999999999
2016-10-14,-2.3291
2016-10-17,-0.1538
2016-10-18,1.1556
2016-10-19,-0.2285
2016-10-20,3.2824
2016-10-21,1.7738
2016-10-24,0.2905
2016-10-25,-0.8689
2016-10-26,-0.7305
2016-10-27,-4.9301
2016-10-28,-1.548
2016-10-31,-3.2233
2016-11-01,1.6247
2016-11-02,-3.8369
2016-11-03,-6.4007
2016-11-04,0.0888
2016-11-07,6.6548
2016-11-08,-7.2379
2016-11-09,11.0314
2016-11-10,9.6931
2016-11-11,-2.43
2016-11-14,0.9811
2016-11-15,0.0
2016-11-16,1.7936999999999999
2016-11-17,1.0279
2016-11-18,-2.3256
2016-11-21,0.2976
2016-11-22,-0.2226
2016-11-23,4.9814
2016-11-25,0.4958
2016-11-28,-1.2685
2016-11-29,-2.2127
2016-11-30,-1.2409
2016-12-01,-0.813
2016-12-02,0.7452
2016-12-05,3.5503
2016-12-06,2.2143
2016-12-07,0.0699
2016-12-08,0.0698
2016-12-09,-0.5583
2016-12-12,-4.2807
2016-12-13,-3.9589
2016-12-14,-4.1985
2016-12-15,1.1155
2016-12-16,1.4184
2016-12-19,-1.9425
2016-12-20,0.7924
2016-12-21,-3.5377
2016-12-22,-0.978
2016-12-23,4.6914
2016-12-27,-2.3585
2016-12-28,-1.2882
2016-12-29,0.4894
2016-12-30,0.8117
2017-01-03,-0.9662
2017-01-04,4.878
2017-01-05,1.0078
2017-01-06,1.2279
2017-01-09,1.1372
2017-01-10,-2.6987
2017-01-11,-2.6193999999999997
2017-01-12,0.7911
2017-01-13,1.7268
2017-01-17,-5.0154
2017-01-18,1.4622
2017-01-19,-0.2402
2017-01-20,0.321
2017-01-23,-2.24
2017-01-24,0.3273
2017-01-25,1.9576
2017-01-26,-2.56
2017-01-27,-1.3136
2017-01-30,-1.6639
2017-01-31,3.6379
2017-02-01,0.0816
2017-02-02,-2.447
2017-02-03,14.3813
2017-02-06,-5.1901
2017-02-07,-0.4626
2017-02-08,-0.1549
2017-02-09,-0.4655
2017-02-10,-1.2471
2017-02-13,-6.4719999999999995
2017-02-14,-0.9283
2017-02-15,0.3407
2017-02-16,2.6316
2017-02-17,0.4136
2017-02-21,-0.2471
2017-02-22,-0.0826
2017-02-23,-2.1488
2017-02-24,-1.0135
2017-02-27,7.5939
2017-02-28,0.793
2017-03-01,2.2817
2017-03-02,1.0769
2017-03-03,-0.6088
2017-03-06,-1.5314
2017-03-07,0.311
2017-03-08,2.7132
2017-03-09,1.283
2017-03-10,0.8942
2017-03-13,1.1817
2017-03-14,2.1168
2017-03-15,8.5061
2017-03-16,-0.5929
2017-03-17,3.3797
2017-03-20,-3.4615
2017-03-21,-4.9801
2017-03-22,-0.559
2017-03-23,3.6543
2017-03-24,1.0847
2017-03-27,-0.4695
2017-03-28,-1.0108
2017-03-29,1.7699
2017-03-30,-0.0669
2017-03-31,0.0
2017-04-03,0.8032
