ticker,PTOP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-03,26.3158
2014-02-04,-25.0
2014-02-05,-2.7778
2014-02-06,2.8571
2014-02-07,-13.8889
2014-02-10,48.3871
2014-02-12,-13.0435
2014-02-13,-0.625
2014-02-14,0.6289
2014-02-18,-0.625
2014-02-20,-5.0314
2014-02-21,-1.9868000000000001
2014-02-25,-9.7973
2014-02-26,-4.1199
2014-02-27,3.125
2014-03-03,-8.3333
2014-03-04,45.4545
2014-03-05,19.8864
2014-03-06,6.1611
2014-03-07,-21.4286
2014-03-10,-15.3409
2014-03-11,-3.3557
2014-03-13,22.2222
2014-03-14,-28.9773
2014-03-17,52.4
2014-03-18,-16.0105
2014-03-20,19.375
2014-03-21,0.0
2014-03-24,0.0
2014-03-25,0.0
2014-03-27,0.0
2014-03-31,0.0
2014-04-01,0.0
2014-04-03,0.0
2014-04-08,0.0
2014-04-09,-14.1361
2014-04-10,-21.9512
2014-04-14,3.125
2014-04-15,0.0
2014-04-17,9.0909
2014-04-23,-8.3333
2014-04-28,-3.0303
2014-05-01,-6.25
2014-05-02,1.25
2014-05-05,-4.5267
2014-05-08,17.2414
2014-05-09,47.0588
2014-05-12,-32.75
2014-05-13,7.0632
2014-05-14,-13.8889
2014-05-15,0.8065
2014-05-16,-0.8
2014-05-19,0.0
2014-05-21,-2.4194
2014-05-22,0.0
2014-05-23,-4.1322
2014-05-27,0.0
2014-05-28,0.0
2014-05-29,-3.4483
2014-05-30,0.0
2014-06-02,0.0
2014-06-04,0.0
2014-06-05,-13.392900000000001
2014-06-09,15.4639
2014-06-10,-10.7143
2014-06-12,16.0
2014-06-17,-28.8793
2014-06-18,0.0
2014-06-19,40.6061
2014-06-25,0.0
2014-07-03,-5.6034
2014-07-08,-8.6758
2014-07-09,-4.0
2014-07-10,-8.3333
2014-07-11,0.0
2014-07-14,-7.9545
2014-07-15,18.5185
2014-07-16,8.3333
2014-07-17,-3.8462
2014-07-21,4.0
2014-07-22,23.0769
2014-07-23,17.9687
2014-07-24,-1.9868000000000001
2014-07-25,-18.9189
2014-07-28,6.6667
2014-07-29,5.4688
2014-07-30,-10.3704
2014-07-31,1.2397
2014-08-01,10.2041
2014-08-04,11.8519
2014-08-06,32.4503
2014-08-07,0.0
2014-08-08,-6.0
2014-08-11,0.0
2014-08-13,0.0
2014-08-15,0.0
2014-08-18,0.5319
2014-08-19,4.4974
2014-08-20,-5.3165
2014-08-21,-23.5294
2014-08-22,0.0
2014-08-26,-2.0979
2014-08-28,1.7856999999999998
2014-09-02,1.0526
2014-09-03,-4.8611
2014-09-04,1.4599
2014-09-05,-7.9137
2014-09-10,10.5469
2014-09-11,-2.1201
2014-09-12,-18.0505
2014-09-15,-15.4185
2014-09-16,1.0417
2014-09-17,16.4948
2014-09-18,-18.5841
2014-09-19,13.0435
2014-09-22,3.8462
2014-09-25,-7.4074
2014-09-29,9.0
2014-09-30,2.7523
2014-10-01,-7.1429
2014-10-02,73.0769
2014-10-06,-11.9444
2014-10-07,0.0
2014-10-09,0.0
2014-10-10,-24.2902
2014-10-13,32.0833
2014-10-15,-10.0946
2014-10-17,-21.4035
2014-10-20,7.1429
2014-10-22,-26.6667
2014-10-23,36.3636
2014-10-24,0.0
2014-10-28,-26.6667
2014-10-29,0.0
2014-10-30,5.6818
2014-10-31,-9.6774
2014-11-03,-4.7619
2014-11-04,0.0
2014-11-06,10.0
2014-11-07,0.0
2014-11-12,0.0
2014-11-13,-18.1818
2014-11-18,11.1111
2014-11-19,10.0
2014-11-25,-18.1818
2014-11-26,-11.1111
2014-11-28,31.25
2014-12-01,1.7856999999999998
2014-12-02,-32.7485
2014-12-03,0.0
2014-12-04,-0.8696
2014-12-08,-8.7719
2014-12-09,10.5769
2014-12-10,32.1739
2014-12-15,5.2632
2014-12-16,0.0
2014-12-18,0.0
2014-12-22,-5.0
2014-12-31,-15.7895
2015-01-05,10.9375
2015-01-08,-30.2817
2015-01-09,2.0202
2015-01-12,26.7327
2015-01-13,-25.0
2015-01-14,-5.2083
2015-01-15,5.4945
2015-01-16,-8.3333
2015-01-20,21.5909
2015-01-23,-10.2804
2015-01-26,-8.3333
2015-01-27,-9.0909
2015-01-28,-27.5
2015-01-29,-3.4483
2015-01-30,14.2857
2015-02-05,-20.3125
2015-02-06,25.4902
2015-02-09,-12.5
2015-02-10,0.0
2015-02-12,-5.3571
2015-02-13,9.434
2015-02-17,-3.4483
2015-02-19,-5.3571
2015-02-25,-13.2075
2015-02-27,21.7391
2015-03-02,-17.8571
2015-03-03,-6.5217
2015-03-05,0.0
2015-03-06,23.2558
2015-03-17,-18.8679
2015-03-18,0.0
2015-03-30,0.0
2015-04-01,-37.2093
2015-04-02,-11.1111
2015-04-08,54.1667
2015-04-09,-18.9189
2015-04-10,-16.6667
2015-04-13,4.0
2015-04-16,-7.6923
2015-04-17,0.0
2015-04-20,12.5
2015-04-21,-3.7037
2015-04-29,-15.3846
2015-05-01,0.0
2015-05-04,-13.6364
2015-05-05,15.7895
2015-05-12,18.1818
2015-05-13,-19.2308
2015-05-14,-9.5238
2015-05-19,0.0
2015-05-20,15.7895
2015-05-21,-13.6364
2015-05-22,15.7895
2015-05-26,0.0
2015-05-28,-27.2727
2015-05-29,0.0
2015-06-02,18.75
2015-06-03,15.7895
2015-06-04,-4.5455
2015-06-05,38.0952
2015-06-08,-34.4828
2015-06-09,10.526299999999999
2015-06-10,-14.2857
2015-06-11,-11.1111
2015-06-12,37.5
2015-06-15,-13.6364
2015-06-16,-15.7895
2015-06-17,0.0
2015-06-18,18.75
2015-06-19,-26.3158
2015-06-22,28.5714
2015-06-23,-22.2222
2015-06-24,-7.1429
2015-06-29,23.0769
2015-06-30,0.0
2015-07-07,0.0
2015-07-08,18.75
2015-07-09,-26.3158
2015-07-13,28.5714
2015-07-14,-11.1111
2015-07-15,125.0
2015-07-16,-25.0
2015-07-17,-22.2222
2015-07-20,42.8571
2015-07-21,-30.0
2015-07-22,-14.2857
2015-07-23,-11.1111
2015-07-27,-12.5
2015-07-28,28.5714
2015-07-29,22.2222
2015-07-30,0.0
2015-07-31,22.7273
2015-08-03,40.7407
2015-08-04,-36.8421
2015-08-05,-8.3333
2015-08-06,0.0
2015-08-07,-18.1818
2015-08-10,5.5556
2015-08-11,-31.5789
2015-08-12,7.6923
2015-08-13,-21.4286
2015-08-14,0.0
2015-08-17,27.2727
2015-08-18,-7.1429
2015-08-20,0.0
2015-08-21,-15.3846
2015-08-26,18.1818
2015-08-27,7.6923
2015-08-28,-7.1429
2015-09-02,0.0
2015-09-03,-15.3846
2015-09-10,-9.0909
2015-09-11,10.0
2015-09-14,27.2727
2015-09-15,0.0
2015-09-17,-7.1429
2015-09-18,23.0769
2015-09-21,0.0
2015-09-22,-18.75
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,-15.3846
2015-10-01,18.1818
2015-10-02,7.6923
2015-10-09,-21.4286
2015-10-12,18.1818
2015-10-14,0.0
2015-10-16,0.0
2015-10-22,0.0
2015-10-26,-15.3846
2015-11-03,0.0
2015-11-10,45.4545
2015-11-12,-18.75
2015-11-13,7.6923
2015-11-17,0.0
2015-11-20,0.0
2015-11-30,-7.1429
2015-12-01,0.0
2015-12-02,-15.3846
2015-12-07,27.2727
2015-12-10,-7.1429
2015-12-16,0.0
2015-12-17,-15.3846
2015-12-21,0.0
2015-12-22,0.0
2015-12-28,-27.2727
2015-12-29,0.0
2015-12-30,0.0
2015-12-31,0.0
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-08,0.0
2016-01-14,0.0
2016-01-15,-62.5
2016-01-29,0.0
2016-02-01,66.6667
2016-02-04,0.0
2016-02-05,0.0
2016-02-08,0.0
2016-02-09,-40.0
2016-02-24,0.0
2016-03-03,100.0
2016-03-04,-16.6667
2016-03-07,0.0
2016-03-08,20.0
2016-03-09,0.0
2016-03-10,33.3333
2016-03-11,0.0
2016-03-14,0.0
2016-03-23,-25.0
2016-03-24,0.0
2016-03-30,0.0
2016-04-08,-50.0
2016-04-20,0.0
