ticker,POAI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-28,-6.4516
2014-05-29,10.3448
2014-05-30,-0.1172
2014-06-02,-6.14
2014-06-03,3.3333
2014-06-04,6.4516
2014-06-05,9.0909
2014-06-06,2.7778
2014-06-09,-2.7027
2014-06-10,-12.2222
2014-06-11,4.4304
2014-06-12,-7.2727
2014-06-13,4.5752
2014-06-16,3.125
2014-06-17,-0.6061
2014-06-18,-2.439
2014-06-19,3.125
2014-06-20,0.0
2014-06-23,-6.0606
2014-06-24,-3.1452
2014-06-26,13.239
2014-06-27,-2.9412000000000003
2014-06-30,-9.0909
2014-07-01,0.6667
2014-07-02,2.649
2014-07-03,-3.2258
2014-07-07,-0.75
2014-07-08,-12.6784
2014-07-09,1.5385
2014-07-10,5.9658999999999995
2014-07-11,-1.3405
2014-07-14,-5.8877
2014-07-15,0.0962
2014-07-16,16.1538
2014-07-17,2.649
2014-07-18,-11.6129
2014-07-21,2.1898
2014-07-22,-7.1429
2014-07-23,0.0
2014-07-24,-1.9231
2014-07-25,1.9607999999999999
2014-07-28,15.3846
2014-07-29,6.6667
2014-07-30,-15.625
2014-07-31,18.5185
2014-08-01,-12.5
2014-08-04,0.0
2014-08-05,-7.1429
2014-08-06,7.6923
2014-08-07,-4.375
2014-08-08,-2.8945
2014-08-11,-3.8462
2014-08-12,3.9
2014-08-13,-0.1444
2014-08-14,11.8072
2014-08-15,-13.7931
2014-08-18,8.8
2014-08-19,-11.0294
2014-08-20,7.438
2014-08-21,11.1538
2014-08-22,-10.1211
2014-08-25,7.411
2014-08-26,3.4946
2014-08-27,-3.0303
2014-08-28,-3.6607
2014-08-29,3.7071
2014-09-02,-0.134
2014-09-03,-10.5145
2014-09-04,1.2
2014-09-05,-3.4585
2014-09-08,0.7165
2014-09-09,-0.813
2014-09-10,1.6393
2014-09-11,4.8387
2014-09-12,3.8462
2014-09-15,-9.6296
2014-09-16,2.0492
2014-09-17,-3.7149
2014-09-18,-4.171
2014-09-19,0.1088
2014-09-22,-5.2174
2014-09-23,0.0
2014-09-25,-8.2569
2014-09-26,15.0
2014-09-29,-4.3478
2014-09-30,0.0
2014-10-01,0.0
2014-10-02,4.5455
2014-10-03,-4.3478
2014-10-06,-0.1136
2014-10-07,9.1013
2014-10-08,-8.342
2014-10-09,0.1138
2014-10-10,-9.2614
2014-10-13,5.1972
2014-10-14,12.381
2014-10-15,-6.7797
2014-10-16,18.1818
2014-10-17,11.538499999999999
2014-10-20,-5.6034
2014-10-21,-5.1142
2014-10-22,-7.6997
2014-10-23,8.4463
2014-10-24,-2.3077
2014-10-27,2.3622
2014-10-31,-7.6923
2014-11-04,-11.1111
2014-11-05,-12.5
2014-11-06,0.2857
2014-11-07,24.6439
2014-11-10,-11.4286
2014-11-12,16.129
2014-11-13,5.0
2014-11-14,0.5291
2014-11-17,0.0
2014-11-19,-3.6842
2014-11-20,-5.4645
2014-11-21,4.0462
2014-11-24,1.0
2014-11-25,-0.9901
2014-11-26,-11.1111
2014-12-01,-34.375
2014-12-02,42.8571
2014-12-03,0.0
2014-12-05,-6.8
2014-12-08,-3.4335
2014-12-09,0.0
2014-12-10,-5.1852
2014-12-11,-13.2813
2014-12-12,26.1261
2014-12-16,-10.7143
2014-12-17,-9.92
2014-12-22,0.0
2014-12-23,-9.2362
2014-12-24,-0.1957
2014-12-26,-11.5686
2014-12-29,-11.3082
2014-12-30,23.75
2014-12-31,31.3131
2015-01-02,-7.6923
2015-01-06,11.6667
2015-01-07,-10.4478
2015-01-08,-8.3333
2015-01-09,10.0
2015-01-12,12.3967
2015-01-13,-8.9706
2015-01-20,-2.7464
2015-01-21,-8.6379
2015-01-22,9.0909
2015-01-23,-29.0
2015-01-26,5.6338
2015-01-27,0.2222
2015-01-28,0.2217
2015-01-29,10.177
2015-01-30,0.0
2015-02-02,2.4096
2015-02-03,-5.8824
2015-02-04,3.75
2015-02-05,8.0321
2015-02-06,-4.6468
2015-02-09,-0.1267
2015-02-10,-12.1694
2015-02-11,0.0
2015-02-12,-2.2222
2015-02-13,7.5
2015-02-18,-0.6342
2015-02-19,-10.1596
2015-02-20,0.6513
2015-02-23,0.0
2015-02-24,5.8824
2015-02-25,-17.4444
2015-02-26,34.3203
2015-02-27,2.2044
2015-03-02,0.0
2015-03-03,-1.9607999999999999
2015-03-04,-10.0
2015-03-05,5.1111
2015-03-06,7.8224
2015-03-09,-10.598
2015-03-10,-12.2711
2015-03-11,3.75
