ticker,BBW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-08-18,-1.2363
2008-08-19,-2.9207
2008-08-20,0.2865
2008-08-21,-1.7143000000000002
2008-08-22,2.7616
2008-08-25,-3.3946
2008-08-26,1.0249
2008-08-27,8.6957
2008-08-28,-0.1333
2008-08-29,-0.9346
2008-09-02,-2.4259
2008-09-03,3.7293
2008-09-04,0.3995
2008-09-05,-0.6631
2008-09-08,4.8064
2008-09-09,-2.9299
2008-09-10,5.7743
2008-09-11,-0.7444
2008-09-12,-1.75
2008-09-15,-5.9796
2008-09-16,-0.6766
2008-09-17,-3.951
2008-09-18,4.8227
2008-09-19,12.5846
2008-09-22,-1.2019
2008-09-23,-4.3796
2008-09-24,-2.1628
2008-09-25,0.2601
2008-09-26,4.1505
2008-09-29,-7.0984
2008-09-30,-2.4129
2008-10-01,-3.4341
2008-10-02,-6.5434
2008-10-03,-3.8052
2008-10-06,-3.3228
2008-10-07,-4.419
2008-10-08,-2.911
2008-10-09,-12.522
2008-10-10,3.629
2008-10-13,7.0039
2008-10-14,-3.0909
2008-10-15,-10.3189
2008-10-16,0.8368
2008-10-17,1.2448
2008-10-20,8.4016
2008-10-21,-6.9943
2008-10-22,-4.065
2008-10-23,3.8136
2008-10-24,-5.3061
2008-10-27,-14.8707
2008-10-28,7.5949
2008-10-29,3.7647
2008-10-30,10.8844
2008-10-31,6.3395
2008-11-03,-4.2308
2008-11-04,-5.2209
2008-11-05,-8.6864
2008-11-06,-4.4084
2008-11-07,-3.6408
2008-11-10,-2.267
2008-11-11,2.0619
2008-11-12,-6.8182
2008-11-13,12.4661
2008-11-14,-5.5422
2008-11-17,-6.1224
2008-11-18,-4.6196
2008-11-19,-10.8262
2008-11-20,6.3898
2008-11-21,10.8108
2008-11-24,8.9431
2008-11-25,3.7313
2008-11-26,5.5156
2008-11-28,1.1364
2008-12-01,-19.5506
2008-12-02,10.0559
2008-12-03,-4.0609
2008-12-04,1.5873
2008-12-05,8.5938
2008-12-08,17.7458
2008-12-09,-16.4969
2008-12-10,5.8537
2008-12-11,-6.2212
2008-12-12,5.6511
2008-12-15,-6.9767
2008-12-16,0.0
2008-12-17,1.25
2008-12-18,3.4568
2008-12-19,3.8186
2008-12-22,-6.8966
2008-12-23,-10.1235
2008-12-24,-1.9231
2008-12-26,1.6806999999999999
2008-12-29,4.9587
2008-12-30,12.5984
2008-12-31,13.2867
2009-01-02,-4.1152
2009-01-05,5.3648
2009-01-06,5.7026
2009-01-07,-6.7437000000000005
2009-01-08,5.5785
2009-01-09,-2.9354
2009-01-12,-9.879
2009-01-13,-5.3690999999999995
2009-01-14,-6.383
2009-01-15,-5.0505
2009-01-16,-3.7234
2009-01-20,-1.6575
2009-01-21,14.3258
2009-01-22,-7.371
2009-01-23,1.061
2009-01-26,19.4226
2009-01-27,-2.4176
2009-01-28,0.2252
2009-01-29,-7.4157
2009-01-30,1.9417
2009-02-02,3.3333
2009-02-03,9.6774
2009-02-04,-9.2437
2009-02-05,3.0093
2009-02-06,4.0449
2009-02-09,2.5918
2009-02-10,-8.0
2009-02-11,2.0595
2009-02-12,1.1211
2009-02-13,-1.5521
2009-02-17,-6.3063
2009-02-18,2.6442
2009-02-19,-3.5129
2009-02-20,-4.3689
2009-02-23,-13.9594
2009-02-24,13.2743
2009-02-25,-2.8646000000000003
2009-02-26,-3.4853
2009-02-27,0.5556
2009-03-02,-2.2099
2009-03-03,4.5198
2009-03-04,5.1350999999999996
2009-03-05,-10.0257
2009-03-06,7.4286
2009-03-09,-2.1277
2009-03-10,13.3152
2009-03-11,-1.4388
2009-03-12,11.6788
2009-03-13,4.1394
2009-03-16,-7.7406
2009-03-17,15.873
2009-03-18,3.7182
2009-03-19,2.6414999999999997
2009-03-20,-3.4926
2009-03-23,12.9524
2009-03-24,-3.0354
2009-03-25,6.2609
2009-03-26,3.1097
2009-03-27,-4.2857
2009-03-30,-7.131
2009-03-31,8.392900000000001
2009-04-01,-5.4366
2009-04-02,10.6272
2009-04-03,3.7795
2009-04-06,-3.1866
2009-04-07,-4.3887
2009-04-08,5.2459
2009-04-09,5.6075
2009-04-13,-5.0147
2009-04-14,1.5528
2009-04-15,1.0703
2009-04-16,1.8154
2009-04-17,0.2972
2009-04-20,-5.7778
2009-04-21,6.761
2009-04-22,3.6818999999999997
2009-04-23,-0.2841
2009-04-24,0.1425
2009-04-27,-6.9701
2009-04-28,2.7523
2009-04-29,2.3810000000000002
2009-04-30,-20.639499999999998
2009-05-01,-6.044
2009-05-04,-0.7797
2009-05-05,-8.8409
2009-05-06,0.0
2009-05-07,-7.1121
2009-05-08,3.0162
2009-05-11,-2.7027
2009-05-12,4.6296
2009-05-13,-5.3097
2009-05-14,-0.7009
2009-05-15,-2.1176
2009-05-18,9.1346
2009-05-19,1.5419
2009-05-20,-2.1692
2009-05-21,-0.4435
2009-05-22,-2.4499
2009-05-26,6.8493
2009-05-27,-5.5556
2009-05-28,1.81
2009-05-29,-0.4444
2009-06-01,6.4732
2009-06-02,-2.0964
2009-06-03,1.7130999999999998
2009-06-04,0.4211
2009-06-05,-2.0964
2009-06-08,-1.4989
2009-06-09,-1.087
2009-06-10,8.3516
2009-06-11,0.4057
2009-06-12,3.2323
2009-06-15,-7.8278
2009-06-16,-0.8493
2009-06-17,-2.1413
2009-06-18,2.1882
2009-06-19,0.2141
2009-06-22,-3.8462
2009-06-23,0.0
2009-06-24,0.0
2009-06-25,4.2222
2009-06-26,-5.9701
2009-06-29,1.8141
2009-06-30,-0.4454
2009-07-01,4.0268
2009-07-02,-7.957
2009-07-06,3.972
2009-07-07,-1.1236
2009-07-08,-3.8636
2009-07-09,-1.182
2009-07-10,-0.4785
2009-07-13,4.0865
2009-07-14,0.4619
2009-07-15,13.3333
2009-07-16,-1.0142
2009-07-17,-4.3033
2009-07-20,-0.4283
2009-07-21,0.0
2009-07-22,3.871
2009-07-23,4.5549
2009-07-24,0.198
2009-07-27,-1.1858
2009-07-28,-0.8
2009-07-29,2.0161
2009-07-30,-7.7075
2009-07-31,1.7130999999999998
2009-08-03,-1.0526
2009-08-04,4.0426
2009-08-05,-5.9305
2009-08-06,-2.3913
2009-08-07,4.4543
2009-08-10,1.0661
2009-08-11,-4.8523
2009-08-12,2.8825
2009-08-13,-0.431
2009-08-14,1.2987
2009-08-17,-4.0598
2009-08-18,1.3363
2009-08-19,4.1758
2009-08-20,0.8439
2009-08-21,1.046
2009-08-24,0.8282
2009-08-25,-5.5441
2009-08-26,5.6522
2009-08-27,-1.2346
2009-08-28,-1.6667
2009-08-31,-1.0593
2009-09-01,-2.3555
2009-09-02,0.0
2009-09-03,-0.8772
2009-09-04,2.8761
2009-09-08,-1.2903
2009-09-09,3.0501
2009-09-10,0.4228
2009-09-11,-1.0526
2009-09-14,0.6383
2009-09-15,1.6913
2009-09-16,6.8607
2009-09-17,4.6693
2009-09-18,3.1599
2009-09-21,-8.4685
2009-09-22,1.1811
2009-09-23,-5.8366
2009-09-24,3.3058
2009-09-25,-0.4
2009-09-28,3.012
2009-09-29,-2.729
2009-09-30,-2.4048
2009-10-01,-4.5175
2009-10-02,3.871
2009-10-05,-3.7267
2009-10-06,2.3656
2009-10-07,1.0504
2009-10-08,0.6237
2009-10-09,1.2397
2009-10-12,18.5714
2009-10-13,-1.5491000000000001
2009-10-14,8.5664
2009-10-15,5.153
2009-10-16,-1.072
2009-10-19,2.322
2009-10-20,-0.1513
2009-10-21,-3.1818
2009-10-22,5.3208
2009-10-23,-11.8871
2009-10-26,-3.204
2009-10-27,2.7875
2009-10-28,-5.2542
2009-10-29,-5.0089
2009-10-30,-2.4482
2009-11-02,0.0
2009-11-03,-0.5792
2009-11-04,-1.9417
2009-11-05,1.7822
2009-11-06,-1.9455
2009-11-09,0.1984
2009-11-10,-1.3860999999999999
2009-11-11,-1.6064
2009-11-12,-7.551
2009-11-13,7.947
2009-11-16,1.227
2009-11-17,-3.2323
2009-11-18,1.4614
2009-11-19,-2.8807
2009-11-20,-3.6017
2009-11-23,2.1978
2009-11-24,3.2258
2009-11-25,-3.75
2009-11-27,1.7316
2009-11-30,0.8511
2009-12-01,-0.8439
2009-12-02,-0.8511
2009-12-03,-1.7167
2009-12-04,3.7118
2009-12-07,2.1053
2009-12-08,-3.299
2009-12-09,-1.2793
2009-12-10,0.216
2009-12-11,-1.2931
2009-12-14,0.8734
2009-12-15,-1.2987
2009-12-16,-0.2193
2009-12-17,0.2198
2009-12-18,1.9737
2009-12-21,1.9355
2009-12-22,0.211
2009-12-23,0.8421
2009-12-24,1.0438
2009-12-28,2.686
2009-12-29,0.2012
2009-12-30,-0.6024
2009-12-31,-1.2121
2010-01-04,-0.818
2010-01-05,2.6804
2010-01-06,-0.2008
2010-01-07,3.4205
2010-01-08,-0.5837
2010-01-11,-3.7182
2010-01-12,2.6423
2010-01-13,0.0
2010-01-14,0.9901
2010-01-15,-0.1961
2010-01-19,1.7682
2010-01-20,-1.5444
2010-01-21,-1.9607999999999999
2010-01-22,-2.4
2010-01-25,-1.0246
2010-01-26,-1.6562999999999999
2010-01-27,1.6842000000000001
2010-01-28,-1.6562999999999999
2010-01-29,0.4211
2010-02-01,-0.4193
2010-02-02,0.0
2010-02-03,-1.4737
2010-02-04,-2.5641
2010-02-05,8.3333
2010-02-08,-8.502
2010-02-09,7.3009
2010-02-10,1.6495
2010-02-11,2.4341
2010-02-12,1.3860999999999999
2010-02-16,4.8828
2010-02-17,0.1862
2010-02-18,-5.3903
2010-02-19,7.0727
2010-02-22,6.2385
2010-02-23,3.9724
2010-02-24,0.4983
2010-02-25,1.3223
2010-02-26,-1.3051
2010-03-01,-3.9669
2010-03-02,4.3029
2010-03-03,-2.4752
2010-03-04,3.3841
2010-03-05,5.7283
2010-03-08,2.322
2010-03-09,-0.1513
2010-03-10,-3.4848
2010-03-11,-0.157
2010-03-12,2.673
2010-03-15,2.144
2010-03-16,1.0495
2010-03-17,0.0
2010-03-18,-0.7418
2010-03-19,-1.1958
2010-03-22,0.1513
2010-03-23,-0.4532
2010-03-24,0.4552
2010-03-25,3.9275
2010-03-26,1.1628
2010-03-29,3.1609
2010-03-30,-0.1393
2010-03-31,-0.6974
2010-04-01,0.7022
2010-04-05,2.2315
2010-04-06,-0.4093
2010-04-07,0.5479
2010-04-08,1.3624
2010-04-09,-1.3441
2010-04-12,-0.545
2010-04-13,0.137
2010-04-14,2.4624
2010-04-15,-0.1335
2010-04-16,-1.6042999999999998
