ticker,WRTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-08-09,5.041
2019-08-12,-0.6696
2019-08-13,1.1236
2019-08-14,-3.1111
2019-08-15,-4.0138
2019-08-16,1.0753
2019-08-19,4.9645
2019-08-20,-1.3514
2019-08-21,1.5981999999999998
2019-08-22,-5.1685
2019-08-23,-1.8957000000000002
2019-08-26,-1.2077
2019-08-27,-5.379
2019-08-28,-1.0336
2019-08-29,4.4386
2019-08-30,3.75
2019-09-03,-3.3735
2019-09-04,-0.4988
2019-09-05,6.5163
2019-09-06,2.1176
2019-09-09,-5.53
2019-09-10,1.7073
2019-09-11,5.9952
2019-09-12,-2.9412000000000003
2019-09-13,-3.2634
2019-09-16,0.241
2019-09-17,2.4038
2019-09-18,1.6432
2019-09-19,0.2309
2019-09-20,-2.3041
2019-09-23,1.1792
2019-09-24,-2.331
2019-09-25,-0.4773
2019-09-26,-2.8777
2019-09-27,-1.7284000000000002
2019-09-30,2.5126
2019-10-01,-3.4314
2019-10-02,-1.0152
2019-10-03,1.2821
2019-10-04,1.5190000000000001
2019-10-07,-6.2344
2019-10-08,-2.6596
2019-10-09,0.2732
2019-10-10,-1.6349
2019-10-11,-6.0942
2019-10-14,2.3599
2019-10-15,11.5274
2019-10-16,-9.0439
2019-10-17,-1.9886
2019-10-18,4.058
2019-10-21,4.4568
2019-10-22,-4.0
2019-10-23,-1.1111
2019-10-24,-0.9831
2019-10-25,-2.4112999999999998
2019-10-28,0.5814
2019-10-29,6.9364
2019-10-30,-0.2703
2019-10-31,6.5041
2019-11-01,-10.4326
2019-11-04,-0.5682
2019-11-05,-2.2857
2019-11-06,-5.848
2019-11-07,5.2795
2019-11-08,6.1947
2019-11-11,-1.1111
2019-11-12,6.1798
2019-11-13,1.8519
2019-11-14,11.9481
2019-11-15,0.9281
2019-11-18,-8.2759
2019-11-19,-4.5113
2019-11-20,8.9239
2019-11-21,1.6867
2019-11-22,4.5024
2019-11-25,9.6372
2019-11-26,-0.9307
2019-11-27,-3.3403
2019-11-29,-1.2959
2019-12-02,-5.6893
2019-12-03,17.1694
2019-12-04,4.9505
2019-12-05,8.1132
2019-12-06,-0.5236
2019-12-09,3.3333
2019-12-10,8.6587
2019-12-11,1.4062999999999999
2019-12-12,-6.0092
2019-12-13,8.1967
2019-12-16,-1.0606
2019-12-17,-3.6753
2019-12-18,2.7027
2019-12-19,-1.2384
2019-12-20,1.7241
2019-12-23,3.2357
2019-12-24,0.8955
2019-12-26,0.0
2019-12-27,-5.3254
2019-12-30,1.0937000000000001
2019-12-31,-1.2365
2020-01-02,-0.4695
2020-01-03,-1.5723
2020-01-06,-7.7476
