ticker,DAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-05,-0.468
2007-07-06,-0.627
2007-07-09,0.9148
2007-07-10,0.3439
2007-07-11,0.3427
2007-07-12,0.4967
2007-07-13,5.3136
2007-07-16,-2.1707
2007-07-17,4.9475
2007-07-18,4.3714
2007-07-19,6.4331
2007-07-20,-0.9774
2007-07-23,1.9481000000000002
2007-07-24,-4.7134
2007-07-25,2.9412000000000003
2007-07-26,0.6494
2007-07-27,-1.5484
2007-07-30,1.1796
2007-07-31,1.4249
2007-08-01,0.3831
2007-08-02,-6.9223
2007-08-03,0.8294
2007-08-06,-6.5808
2007-08-07,0.6457
2007-08-08,-1.1374
2007-08-09,0.4425
2007-08-10,-0.1468
2007-08-13,2.2059
2007-08-14,-3.4245
2007-08-15,-7.3596
2007-08-16,-1.8981
2007-08-17,7.2131
2007-08-20,1.1927
2007-08-21,1.2389999999999999
2007-08-22,1.4925
2007-08-23,-1.0588
2007-08-24,-1.3377
2007-08-27,3.8867000000000003
2007-08-28,-0.377
2007-08-29,1.4556
2007-08-30,0.0
2007-08-31,0.0
2007-09-04,0.1722
2007-09-05,1.8906
2007-09-06,-2.4459
2007-09-07,-0.5764
2007-09-10,-0.6377
2007-09-11,-2.9463
2007-09-12,5.6808
2007-09-13,-2.6451000000000002
2007-09-14,-0.8764
2007-09-17,-0.4421
2007-09-18,1.9834
2007-09-19,1.3062
2007-09-20,-0.8883
2007-09-21,5.3773
2007-09-24,0.0
2007-09-25,0.823
2007-09-26,-0.6803
2007-09-27,0.3836
2007-09-28,-1.4738
2007-10-01,1.3573
2007-10-02,-0.8199
2007-10-03,-3.0587
2007-10-04,-0.5969
2007-10-05,1.4298
2007-10-08,-1.466
2007-10-09,0.2861
2007-10-10,-0.9986
2007-10-11,-0.0576
2007-10-12,0.4902
2007-10-15,-0.6887
2007-10-16,-0.1734
2007-10-17,0.6946
2007-10-18,2.1845
2007-10-19,-0.3094
2007-10-22,-0.8465
2007-10-23,1.7359
2007-10-24,-1.2587
2007-10-25,2.8045
2007-10-26,3.3343
2007-10-29,-0.2933
2007-10-30,-2.6745
2007-10-31,-0.0412
2007-11-01,2.2835
2007-11-02,-2.3142
2007-11-05,-3.3166
2007-11-06,-1.6720000000000002
2007-11-07,-2.961
2007-11-08,-1.2689
2007-11-09,-1.377
2007-11-12,-8.532399999999999
2007-11-13,5.6649
2007-11-14,-0.4815
2007-11-15,-1.7742
2007-11-16,-0.5255
2007-11-19,-2.9052
2007-11-20,0.9181
2007-11-21,-1.2466
2007-11-23,4.06
2007-11-26,-5.8361
2007-11-27,-1.0446
2007-11-28,5.5243
2007-11-29,1.2004
2007-11-30,0.8237
2007-12-03,-1.8627
2007-12-04,-2.8305
2007-12-05,0.5826
2007-12-06,2.3509
2007-12-07,-0.466
2007-12-10,1.1371
2007-12-11,-0.9921
2007-12-12,0.9352
2007-12-13,-3.0774
2007-12-14,-0.3756
