ticker,EFOT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-12-21,-15.7895
2009-12-22,6.25
2009-12-23,-11.7647
2009-12-28,0.0
2009-12-29,6.6667
2009-12-30,25.0
2009-12-31,20.0
2010-01-04,25.0
2010-01-05,10.0
2010-01-06,13.6364
2010-01-07,-20.0
2010-01-08,23.3333
2010-01-11,-40.5405
2010-01-12,18.1818
2010-01-13,-11.538499999999999
2010-01-14,-4.3478
2010-01-15,18.1818
2010-01-19,3.8462
2010-01-20,11.1111
2010-01-21,10.0
2010-01-25,-9.0909
2010-01-26,0.0
2010-01-28,10.0
2010-01-29,3.0303
2010-02-01,1.4706000000000001
2010-02-02,4.3478
2010-02-05,0.0
2010-02-08,-2.7778
2010-02-09,-2.8571
2010-02-10,-17.647100000000002
2010-02-11,10.7143
2010-02-12,-6.4516
2010-02-17,3.4483
2010-02-18,-23.3333
2010-02-22,8.6957
2010-02-23,20.0
2010-02-24,-23.3333
2010-02-26,0.0
2010-03-01,4.3478
2010-03-02,0.0
2010-03-03,4.1667
2010-03-04,-8.0
2010-03-05,0.0
2010-03-09,0.0
2010-03-11,8.6957
2010-03-12,0.0
2010-03-15,0.0
2010-03-17,-14.8
2010-03-18,7.9812
2010-03-19,-8.6957
2010-03-23,-4.7619
2010-03-25,0.0
2010-03-29,0.0
2010-03-30,-2.5
2010-03-31,-7.6923
2010-04-01,11.1111
2010-04-05,0.0
2010-04-08,10.0
2010-04-12,4.5455
2010-04-13,4.3478
2010-04-14,-16.6667
2010-04-15,15.0
2010-04-19,2.1739
2010-04-20,0.0
2010-04-21,-2.1277
2010-04-26,-13.0435
2010-04-27,25.0
2010-04-30,0.0
2010-05-03,-4.0
2010-05-04,-8.3333
2010-05-05,0.0
2010-05-06,-18.1818
2010-05-10,5.5556
2010-05-11,10.526299999999999
2010-05-12,23.8095
2010-05-13,7.6923
2010-05-14,-7.1429
2010-05-17,0.0
2010-05-18,0.0
2010-05-19,0.0
2010-05-20,0.0
2010-05-21,0.0
2010-05-24,0.0
2010-05-25,0.0
2010-05-26,0.0
2010-05-27,11.538499999999999
2010-05-28,-10.3448
2010-06-01,-23.0769
2010-06-02,-10.0
2010-06-03,-44.4444
2010-06-04,70.0
2010-06-07,58.8235
2010-06-08,0.0
2010-06-09,-44.3287
2010-06-10,-0.2079
2010-06-22,0.0
2010-06-23,0.0
2010-06-24,20.0
2010-06-28,0.0
2010-06-29,-72.2222
2010-06-30,260.0
2010-07-06,-61.1111
2010-07-07,42.8571
2010-07-09,-15.0
2010-07-13,5.8824
2010-07-14,11.1111
2010-07-19,-20.0
2010-07-22,12.5
2010-07-26,11.1111
2010-07-27,0.0
2010-08-03,-28.0
2010-08-05,11.1111
2010-08-09,12.5
2010-08-10,11.1111
2010-08-16,-10.0
2010-08-23,-22.2222
2010-08-25,2.8571
2010-08-27,25.0
2010-08-30,-94.4444
2010-08-31,0.0
2010-09-02,0.0
2010-09-07,1100.0
2010-09-09,0.0
2010-09-13,0.0
2010-09-16,66.6667
2010-09-17,-50.0
2010-09-21,100.0
2010-09-22,0.0
2010-09-23,-40.0
2010-09-27,66.6667
2010-09-30,-30.0
2010-10-01,-12.5893
2010-10-04,-91.8284
2010-10-05,0.0
2010-10-06,0.0
2010-10-07,900.0
2010-10-08,20.0
2010-10-11,-16.6667
2010-10-12,0.0
2010-10-14,20.0
2010-10-18,-16.6667
2010-11-02,40.0
2010-11-03,-71.4286
2010-11-05,10.0
2010-11-10,172.7273
2010-11-11,-41.6667
2010-11-15,42.8571
2010-11-17,20.0
2010-11-18,16.6667
2010-11-19,-71.4286
2010-11-22,-75.0
2010-11-23,0.0
2010-11-24,700.0
2010-11-29,-87.5
2010-11-30,0.0
2010-12-06,1300.0
2010-12-07,-71.4286
2010-12-08,160.0
2010-12-14,-42.3077
2010-12-20,0.0
2010-12-22,-83.3333
2010-12-23,300.0
2010-12-28,0.0
2010-12-29,25.0
2010-12-30,-20.0
2011-01-03,25.0
2011-01-06,-20.0
2011-01-07,350.0
