ticker,OPTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-10-25,-66.6667
2011-10-27,200.0
2011-11-04,-66.6667
2011-11-07,200.0
2011-11-10,0.0
2011-11-15,-50.0
2011-11-16,166.6667
2011-11-23,0.0
2011-12-05,-62.5
2011-12-06,0.0
2011-12-12,-33.3333
2011-12-13,50.0
2011-12-19,0.0
2011-12-28,166.6667
2011-12-30,0.0
2012-01-05,0.0
2012-01-12,0.0
2012-01-17,0.0
2012-01-18,0.0
2012-01-26,0.0
2012-01-31,0.0
2012-02-07,75.0
2012-02-16,0.0
2012-02-17,-42.8571
2012-02-21,0.0
2012-02-23,0.0
2012-02-24,0.0
2012-03-01,0.0
2012-03-15,0.0
2012-03-19,-37.5
2012-03-20,-40.0
2012-03-26,-33.3333
2012-04-05,0.0
2012-04-09,0.0
2012-04-12,0.0
2012-04-25,0.0
2012-04-30,0.0
2012-05-04,0.0
2012-05-07,0.0
2012-05-10,0.0
2012-05-11,0.0
2012-05-15,0.0
2012-05-29,0.0
2012-05-30,0.0
2012-06-15,0.0
2012-06-18,950.0
2012-06-19,-90.4762
2012-06-21,0.0
2012-06-22,0.0
2012-06-26,600.0
2012-06-28,-21.4286
2012-07-05,-27.2727
2012-07-10,-25.0
2012-07-11,0.0
2012-07-19,0.0
2012-08-16,-16.6667
2012-08-20,-40.0
2012-08-23,0.0
2012-08-24,0.0
2012-09-18,0.0
2012-09-20,66.6667
2012-09-25,-40.0
2012-09-26,0.0
2012-10-01,0.0
2012-10-08,0.0
2012-10-16,333.3333
2012-10-24,-84.6154
2012-12-31,0.0
2013-05-22,0.0
2013-07-12,0.0
2013-07-23,0.0
2013-08-01,0.0
2013-08-13,0.0
2013-08-26,0.0
2013-09-03,0.0
2013-09-17,0.0
2013-09-24,0.0
2013-10-02,0.0
2013-11-18,0.0
2013-12-04,0.0
2013-12-19,0.0
2013-12-23,0.0
2013-12-31,0.0
2014-01-15,0.0
2014-01-23,0.0
2014-01-24,0.0
2014-01-29,0.0
