ticker,YOGAQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-15,1.5306
2018-06-18,-6.0302
2018-06-19,-3.7433
2018-06-20,25.5556
2018-06-21,-11.0619
2018-06-22,-4.9751
2018-06-25,0.0
2018-06-26,-1.0471
2018-06-27,-1.3122
2018-06-28,1.3296000000000001
2018-06-29,-4.7619
2018-07-02,1.6667
2018-07-03,-1.6393
2018-07-05,2.2222
2018-07-06,0.5435
2018-07-09,2.7027
2018-07-10,-2.6316
2018-07-11,4.2649
2018-07-12,5.2413
2018-07-13,3.4483
2018-07-16,-8.0952
2018-07-17,6.2176
2018-07-18,1.9512
2018-07-19,-0.9569
2018-07-20,-0.9662
2018-07-23,3.3902
2018-07-24,-4.6945
2018-07-25,-0.9901
2018-07-26,-0.5
2018-07-27,-6.5327
2018-07-30,4.3548
2018-07-31,-2.1123
2018-08-01,3.8158
2018-08-02,-0.4309
2018-08-03,1.833
2018-08-06,-4.5
2018-08-07,4.712
2018-08-08,-2.5
2018-08-09,0.5538
2018-08-10,-0.5508
2018-08-13,-0.5128
2018-08-14,-4.1237
2018-08-15,-41.3978
2018-08-16,10.0917
2018-08-17,-1.6667
2018-08-20,-8.4746
2018-08-21,8.3333
2018-08-22,0.0
2018-08-23,-5.1282
2018-08-24,3.6036
2018-08-27,-0.8696
2018-08-28,0.0
2018-08-29,2.6316
2018-08-30,2.5641
2018-08-31,-0.3833
2018-09-04,0.3848
2018-09-05,-2.5
2018-09-06,-0.8547
2018-09-07,0.0
2018-09-10,-5.1724
2018-09-11,-6.3636
2018-09-12,0.9709
2018-09-13,-0.9615
2018-09-14,-1.9417
2018-09-17,-0.9901
2018-09-18,4.0
2018-09-19,-1.9231
2018-09-20,-0.9804
2018-09-21,5.9406
2018-09-24,-0.9346
2018-09-25,3.7736
2018-09-26,4.5364
2018-09-27,0.8783
2018-09-28,3.4483
2018-10-01,-5.8333
2018-10-02,0.0
2018-10-03,0.0
2018-10-04,-2.6549
2018-10-05,-2.7273
2018-10-08,-1.8692
2018-10-09,-1.9048
2018-10-10,0.9709
2018-10-11,-3.5
2018-10-12,1.6341
2018-10-15,-0.9804
2018-10-16,3.9604
2018-10-17,5.7143
2018-10-18,-8.1081
2018-10-19,6.8627
2018-10-22,0.0
2018-10-23,-5.5046
2018-10-24,-0.9806
2018-10-25,0.5
2018-10-26,-2.4195
2018-10-29,-3.0194
2018-10-30,-6.5361
2018-10-31,-0.728
2018-11-01,5.0
2018-11-02,-4.6455
2018-11-05,0.9877
2018-11-06,3.2967
2018-11-07,-3.8298
2018-11-08,5.0774
2018-11-09,-3.1582
2018-11-12,3.2612
2018-11-13,-2.3792
2018-11-14,5.8557
2018-11-15,-3.2192
2018-11-16,-5.2526
2018-11-19,-5.666
2018-11-20,-9.3146
2018-11-21,2.5831
2018-11-23,-7.8364
2018-11-26,9.8901
2018-11-27,-6.0724
2018-11-28,-6.0614
2018-11-29,-2.9572000000000003
2018-11-30,7.0657
2018-12-03,1.6808
2018-12-04,1.4312
2018-12-06,-3.1597
2018-12-07,-3.0444
2018-12-10,-2.8443
2018-12-11,-2.9130000000000003
2018-12-12,-4.4634
2018-12-13,-6.5461
2018-12-14,-1.004
2018-12-17,-3.7325
2018-12-18,1.7018
2018-12-19,-8.5734
2018-12-20,-5.4717
2018-12-21,5.7884
2018-12-24,-12.8302
2018-12-26,3.0087
2018-12-27,-5.8626000000000005
2018-12-28,4.9107
2018-12-31,8.5106
2019-01-02,11.7647
2019-01-03,-3.5088
2019-01-04,0.0
2019-01-07,-4.9091000000000005
2019-01-08,1.4992
2019-01-09,-3.8695
2019-01-10,13.0903
2019-01-11,0.0693
2019-01-14,0.2681
2019-01-15,14.2631
2019-01-16,-12.338799999999999
2019-01-17,-5.1724
2019-01-18,6.5709
2019-01-22,-9.3732
2019-01-23,-1.1672
2019-01-24,2.2857
2019-01-25,3.0726
2019-01-28,-6.9557
2019-01-29,0.9709
2019-01-30,-2.8846
2019-01-31,4.9703
2019-02-01,6.6251999999999995
2019-02-04,9.6918
2019-02-05,-3.2258
2019-02-06,3.3333
2019-02-07,-1.6129
2019-02-08,-9.8361
2019-02-11,-0.2724
2019-02-12,0.2731
2019-02-13,7.2727
2019-02-14,-1.6949
2019-02-15,0.0
2019-02-19,0.0
2019-02-20,-1.3793
2019-02-21,-0.3322
2019-02-22,-1.7715999999999998
2019-02-25,5.3393
2019-02-26,-6.5774
2019-02-27,5.2441
2019-02-28,-1.7187999999999999
2019-03-01,7.2047
2019-03-04,0.4255
2019-03-05,-2.2487
2019-03-06,-0.15
2019-03-07,6.8447
2019-03-08,-6.0
2019-03-11,0.2327
2019-03-12,9.4527
2019-03-13,18.1818
2019-03-14,28.2051
2019-03-15,-19.03
2019-03-18,1.2721
2019-03-19,6.0854
2019-03-20,29.2562
2019-03-21,-8.3956
2019-03-22,-6.3689
2019-03-25,2.3989
2019-03-26,0.2496
2019-03-27,2.697
2019-03-28,-15.4126
2019-03-29,6.9767
2019-04-01,-5.4348
2019-04-02,-3.4483
2019-04-03,-3.5595
2019-04-04,11.0974
2019-04-05,5.5556
2019-04-08,-1.0526
2019-04-09,4.2553
2019-04-10,-6.4388
2019-04-11,10.1429
2019-04-12,-0.9803
2019-04-15,-4.0
2019-04-16,3.6771000000000003
2019-04-17,-1.0349
2019-04-18,-0.5076
2019-04-22,1.0102
2019-04-23,-4.7176
2019-04-24,0.1484
2019-04-25,-5.9708
2019-04-26,0.8331
2019-04-29,3.841
2019-04-30,-3.2258
2019-05-01,1.0889
2019-05-02,12.1126
2019-05-03,4.902
2019-05-06,-7.4766
2019-05-07,-0.4747
2019-05-08,-6.1606
2019-05-09,-0.4975
2019-05-10,1.7934999999999999
2019-05-13,-3.8975
2019-05-14,-15.3111
2019-05-15,19.3912
2019-05-16,-9.6374
2019-05-17,-12.4407
2019-05-20,-10.4167
2019-05-21,-7.5349
2019-05-22,4.8927
2019-05-23,3.9036
2019-05-24,-0.3625
2019-05-28,4.1177
2019-05-29,-6.438
2019-05-30,2.7413
2019-05-31,19.8301
2019-06-03,5.3129
2019-06-04,-3.423
2019-06-05,-7.5949
2019-06-06,-2.7397
2019-06-07,7.5775
2019-06-10,1.6747999999999998
2019-06-11,-3.4112999999999998
2019-06-12,0.7866
2019-06-13,-12.7116
2019-06-14,6.6828
2019-06-17,-0.8807
2019-06-18,3.1814
2019-06-19,-0.8333
2019-06-20,1.5406
2019-06-21,-0.6897
2019-06-24,1.3889
2019-06-25,-0.6712
2019-06-26,-6.2198
2019-06-27,-2.9412000000000003
2019-06-28,-9.0909
2019-07-01,3.3333
2019-07-02,-1.5968
2019-07-03,-0.0164
2019-07-05,2.7869
2019-07-08,-0.6061
2019-07-09,-2.1181
2019-07-10,2.2131
2019-07-11,5.854
2019-07-12,-1.5152
2019-07-15,-26.1538
2019-07-16,-19.7917
2019-07-17,3.8961
2019-07-18,12.725
2019-07-19,4.9457
2019-07-22,-71.2595
2019-07-23,-14.7059
2019-07-24,330.8621
2019-07-25,-33.3713
2019-07-26,10.7174
2019-07-29,-12.4898
2019-07-30,-35.069
2019-07-31,-12.4582
2019-08-01,-12.759
2019-08-02,25.0
2019-08-05,-17.5
2019-08-06,-7.8182
2019-08-07,-4.668
2019-08-08,1.0345
2019-08-09,2.3891
2019-08-12,13.3333
2019-08-13,-12.8824
2019-08-14,-1.418
2019-08-15,1.9863
2019-08-16,2.2163
2019-08-19,1.8397000000000001
2019-08-20,0.2581
2019-08-21,-3.4749
2019-08-22,-6.6667
2019-08-23,2.1821
2019-08-26,-20.1496
2019-08-27,-19.4607
2019-08-28,8.6957
2019-08-29,17.45
2019-08-30,-10.6003
2019-09-03,-14.2857
2019-09-04,16.0
2019-09-05,0.0958
2019-09-06,-13.8756
2019-09-09,11.1111
2019-09-10,0.0
2019-09-11,35.0
2019-09-12,-7.3333
2019-09-13,-32.0544
2019-09-16,38.8235
2019-09-17,-15.2542
2019-09-18,1.8
2019-09-19,-1.7682
2019-09-20,8.0
2019-09-23,1.8519
2019-09-24,0.0
2019-09-25,9.0909
2019-09-26,-16.6667
2019-09-27,-10.0
2019-09-30,11.1111
2019-10-01,20.0
2019-10-02,16.6667
2019-10-03,2.8571
2019-10-04,-16.6667
2019-10-07,-8.3333
2019-10-08,-0.9091
2019-10-09,0.9174
2019-10-10,15.9091
2019-10-11,-9.8039
2019-10-14,0.0
2019-10-15,0.0
2019-10-16,17.3913
2019-10-18,-3.7037
2019-10-21,-19.2308
2019-10-22,23.8095
2019-10-23,-3.8462
2019-10-24,0.0
2019-10-25,4.0
2019-10-28,2.3077
2019-10-29,6.9173
2019-10-30,19.5499
2019-10-31,0.0
2019-11-01,-11.7647
2019-11-04,3.3333
2019-11-05,1.9355
2019-11-06,13.9241
2019-11-07,-3.8889
2019-11-08,7.2254
2019-11-11,-13.7466
2019-11-12,3.75
2019-11-13,-3.6145
2019-11-14,0.0
2019-11-15,12.5
2019-11-18,-11.1111
2019-11-19,0.9375
2019-11-20,17.647100000000002
2019-11-21,0.0
2019-11-22,-5.2632
2019-11-25,-8.3333
2019-11-26,21.2121
2019-11-27,-7.5
2019-11-29,8.1081
2019-12-02,-7.4
2019-12-03,0.9719
2019-12-04,1.6042999999999998
2019-12-05,-4.2105
2019-12-06,15.3846
2019-12-09,-12.857099999999999
2019-12-10,0.0
2019-12-11,4.3716
2019-12-12,2.6178
2019-12-13,0.5102
2019-12-16,8.1218
2019-12-17,-1.4085
2019-12-18,-4.7619
2019-12-19,-2.5
2019-12-20,0.0
2019-12-23,-1.0256
2019-12-24,-1.5544
2019-12-26,-5.2632
2019-12-27,-2.7778
2019-12-30,-18.6571
2019-12-31,15.9115
2020-01-02,0.0
2020-01-03,-3.0303
2020-01-06,3.125
2020-01-07,-2.7273
2020-01-08,-19.0031
2020-01-09,15.3846
2020-01-10,10.3333
2020-01-13,-21.4502
2020-01-14,-7.6923
2020-01-15,1.8333
2020-01-16,26.8412
2020-01-17,3.2258
2020-01-21,-14.6875
2020-01-22,-4.7619
2020-01-23,30.7692
2020-01-24,-2.9412000000000003
2020-01-27,7.2727
2020-01-28,0.0
2020-01-29,-6.7797
2020-01-30,0.6061
2020-01-31,6.6265
2020-02-03,-26.5537
2020-02-04,0.0
2020-02-05,11.461500000000001
2020-02-06,24.2236
2020-02-07,-5.5556
2020-02-10,-10.0
2020-02-12,-4.4118
2020-02-13,6.6667
2020-02-14,3.8462
2020-02-18,-7.3457
2020-02-19,-0.0666
2020-02-20,21.4667
2020-02-21,2.1076
2020-02-24,2.1286
2020-02-25,-5.2632
2020-02-26,3.6111
2020-02-27,-0.6971
