ticker,SM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-12-17,-7.0768
2015-12-18,-1.7422
2015-12-21,-2.8875
2015-12-22,-1.4085
2015-12-23,12.592600000000001
2015-12-24,-2.8195
2015-12-28,-7.8337
2015-12-29,-0.7345
2015-12-30,-3.6997999999999998
2015-12-31,7.9033999999999995
2016-01-04,1.5259
2016-01-05,-1.9038
2016-01-06,-16.2921
2016-01-07,-2.5015
2016-01-08,1.3141
2016-01-11,-6.2384
2016-01-12,-1.6469
2016-01-13,-13.3289
2016-01-14,5.7187
2016-01-15,-15.2047
2016-01-19,-13.8793
2016-01-20,-2.1021
2016-01-21,25.9714
2016-01-22,0.8929
2016-01-25,-12.148
2016-01-26,11.9048
2016-01-27,4.0917
2016-01-28,4.0094
2016-01-29,5.6689
2016-02-01,-5.0787
2016-02-02,-3.9939999999999998
2016-02-03,9.9686
2016-02-04,7.6373999999999995
2016-02-05,-6.2997
2016-02-08,-15.1451
2016-02-09,-1.251
2016-02-10,-6.6723
2016-02-11,-8.1448
2016-02-12,-1.5764
2016-02-16,-6.4064
2016-02-17,8.5561
2016-02-18,-12.2167
2016-02-19,-7.5196
2016-02-22,1.9417
2016-02-23,-9.4048
2016-02-24,-0.1314
2016-02-25,5.5263
2016-02-26,9.600999999999999
2016-02-29,2.8441
2016-03-01,-1.1062
2016-03-02,11.6331
2016-03-03,31.7635
2016-03-04,18.6312
2016-03-07,10.2564
2016-03-08,-14.593
2016-03-09,10.5514
2016-03-10,-4.1256
2016-03-11,8.6063
2016-03-14,-2.1289
2016-03-15,3.5045
2016-03-16,10.5079
2016-03-17,0.6867
2016-03-18,-3.7251
2016-03-21,6.376
2016-03-22,1.3832
2016-03-23,-7.6301
2016-03-24,1.6411
2016-03-28,-3.606
2016-03-29,0.5583
2016-03-30,-0.8329
2016-03-31,4.9272
2016-04-01,-2.0811
2016-04-04,-3.5422000000000002
2016-04-05,-2.1469
2016-04-06,7.7945
2016-04-07,1.339
2016-04-08,9.0909
2016-04-11,0.0
2016-04-12,23.4496
2016-04-13,-0.9027
2016-04-14,-2.9307
2016-04-15,3.9576000000000002
2016-04-18,-0.5102
2016-04-19,1.499
2016-04-20,6.6071
2016-04-21,-2.374
2016-04-22,5.4246
2016-04-25,-0.4613
2016-04-26,5.918
2016-04-27,10.2996
2016-04-28,-7.4764
2016-04-29,2.7704
2016-05-02,-3.1772
2016-05-03,-3.6792
2016-05-04,-1.8582
2016-05-05,2.805
2016-05-06,-0.955
2016-05-09,-4.6143
2016-05-10,8.9892
2016-05-11,-1.0931
2016-05-12,-2.7127
2016-05-13,-4.4406
2016-05-16,4.0706
2016-05-17,5.8152
2016-05-18,-6.248
2016-05-19,-1.0468
2016-05-20,3.2793
2016-05-23,-0.6487
2016-05-24,0.8935
2016-05-25,8.6172
2016-05-26,-3.6689
2016-05-27,-0.4883
2016-05-31,3.1076
2016-06-01,1.4277
2016-06-02,0.563
2016-06-03,-2.9859999999999998
2016-06-06,8.7528
2016-06-07,2.27
2016-06-08,-3.1421
2016-06-09,-1.0714
2016-06-10,-10.349
2016-06-13,-2.4161
2016-06-14,0.4814
2016-06-15,0.9582
2016-06-16,-10.7797
2016-06-17,11.4742
2016-06-20,0.1363
2016-06-21,-0.3744
2016-06-22,-0.5466
2016-06-23,3.6414
2016-06-24,-8.6178
2016-06-27,-8.6326
2016-06-28,7.6221
2016-06-29,2.4714
2016-06-30,-2.8078
2016-07-01,4.0
2016-07-05,-7.443
2016-07-06,1.5006
2016-07-07,-7.8088999999999995
2016-07-08,2.7138
2016-07-11,-3.9632
2016-07-12,12.7136
2016-07-13,-3.3654
2016-07-14,-0.1148
2016-07-15,1.4176
2016-07-18,1.2845
2016-07-19,-0.4849
2016-07-20,0.8621
2016-07-21,-1.1148
2016-07-22,-0.8268
2016-07-25,-5.0019
2016-07-26,4.986
2016-07-27,-3.3815
2016-07-28,1.7696
2016-07-29,4.83
2016-08-01,-7.1508
2016-08-02,4.0492
2016-08-03,14.0786
2016-08-04,-3.9465
2016-08-05,2.0195
2016-08-08,6.0068
2016-08-09,-2.2859
2016-08-10,1.8122
2016-08-11,4.7896
2016-08-12,0.7721
2016-08-15,6.7423
2016-08-16,-0.6604
2016-08-17,0.8092
2016-08-18,5.1319
2016-08-19,-0.0545
2016-08-22,-0.764
2016-08-23,4.1793
2016-08-24,-2.1378
2016-08-25,1.1597
2016-08-26,0.5065
2016-08-29,0.2387
2016-08-30,1.2437
2016-08-31,-0.9932
2016-09-01,-0.8448
2016-09-02,3.4345
2016-09-06,0.4891
2016-09-07,-2.9201
2016-09-08,1.2665
2016-09-09,-5.9666
2016-09-12,0.6927
2016-09-13,-6.3016
2016-09-14,-3.7592
2016-09-15,2.5938
2016-09-16,1.7847
2016-09-19,0.9643
2016-09-20,-3.7916
2016-09-21,6.1372
2016-09-22,2.3243
