ticker,ETRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-10-11,3.0194
2019-10-14,0.6281
2019-10-15,0.6241
2019-10-16,1.9297
2019-10-17,1.0818
2019-10-18,0.2676
2019-10-21,0.6004
2019-10-22,-1.061
2019-10-23,-0.8713
2019-10-24,-0.2705
2019-10-25,-0.339
2019-10-28,-1.9727999999999999
2019-10-29,-0.4858
2019-10-30,-1.2551999999999999
2019-10-31,-1.6949
2019-11-01,1.6522999999999999
2019-11-04,2.4735
2019-11-05,-10.8966
2019-11-06,-0.3096
2019-11-07,-4.4254999999999995
2019-11-08,-0.0812
2019-11-11,-4.4715
2019-11-12,-1.5319
2019-11-13,-1.7986
2019-11-14,-1.9231
2019-11-15,1.1204
2019-11-18,-6.1865
2019-11-19,-3.1496
2019-11-20,-1.626
2019-11-21,1.4463
2019-11-22,0.5092
2019-11-25,4.458
2019-11-26,-4.2677
2019-11-27,1.3171
2019-11-29,-0.3
2019-12-02,-4.4132
2019-12-03,-0.3148
2019-12-04,0.0
2019-12-05,-2.7368
2019-12-06,2.7056
2019-12-09,4.4257
2019-12-10,5.449
2019-12-11,3.445
2019-12-12,1.6651
2019-12-13,-1.0919
2019-12-16,4.4158
2019-12-17,3.9648
2019-12-18,3.8983
2019-12-19,-1.3051
2019-12-20,1.3223
2019-12-23,4.8124
2019-12-24,0.3891
2019-12-26,0.9302
2019-12-27,0.3072
2019-12-30,-0.2297
2019-12-31,2.5326
2020-01-02,0.4491
2020-01-03,-0.0745
2020-01-06,2.3863
2020-01-07,0.0728
2020-01-08,-5.0946
2020-01-09,-4.2945
2020-01-10,-2.6442
2020-01-13,4.3621
2020-01-14,2.3659
2020-01-15,1.2327
2020-01-16,1.8265
2020-01-17,-0.2242
2020-01-21,-7.3408
2020-01-22,-4.2846
2020-01-23,-3.8851
2020-01-24,-5.3603
2020-01-27,-4.5497
2020-01-28,-2.0428
2020-01-29,-1.7875
2020-01-30,-0.7078
2020-01-31,-1.5274999999999999
2020-02-03,2.999
2020-02-04,1.3052000000000001
2020-02-05,1.5857
2020-02-06,-6.5366
2020-02-07,-0.5219
2020-02-10,-0.7345
2020-02-11,-0.7769
2020-02-12,-0.1119
2020-02-13,-2.5756
2020-02-14,1.8391
2020-02-18,2.3702
2020-02-19,5.2922
2020-02-20,3.5602
2020-02-21,-2.4267
2020-02-24,2.2798
2020-02-25,-8.8146
2020-02-26,-3.5556
2020-02-27,-14.6313
2020-02-28,-4.7233
2020-03-02,-5.8074
2020-03-03,-4.3609
2020-03-04,0.3145
2020-03-05,-2.0376
2020-03-06,-2.24
2020-03-09,-10.4746
2020-03-10,-1.6453
2020-03-11,1.3011
2020-03-12,-22.0183
2020-03-13,22.8235
