ticker,BLKCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-02,-9.4681
2018-11-05,-0.3525
2018-11-06,-2.1226
2018-11-07,3.6145
2018-11-08,-12.6744
2018-11-09,3.8615
2018-11-12,6.4103
2018-11-13,-4.2169
2018-11-14,-6.9182
2018-11-15,-12.1622
2018-11-16,-7.6923
2018-11-19,-7.0
2018-11-20,2.1505
2018-11-21,-12.2807
2018-11-23,8.0
2018-11-26,-7.2222
2018-11-27,9.7804
2018-11-28,5.4545
2018-11-29,3.1034
2018-11-30,-2.5084
2018-12-03,-2.2298
2018-12-04,-0.7018
2018-12-06,-5.3004
2018-12-07,0.5597
2018-12-10,-0.1855
2018-12-11,-5.3903
2018-12-12,7.4656
2018-12-13,-3.1079
2018-12-14,-3.7736
2018-12-17,-8.8235
2018-12-18,-1.2903
2018-12-19,8.9325
2018-12-20,-5.0
2018-12-21,-8.4211
2018-12-24,-1.1494
2018-12-26,4.6512
2018-12-27,-11.1111
2018-12-28,7.5
2018-12-31,-0.2326
2019-01-02,7.2261
2019-01-03,15.2174
2019-01-04,-9.434
2019-01-07,-18.75
2019-01-08,0.2564
2019-01-09,-23.2737
2019-01-10,6.6667
2019-01-11,-0.9375
2019-01-14,0.9464
2019-01-15,-4.0625
2019-01-16,14.0065
2019-01-17,-13.7143
2019-01-18,12.5828
2019-01-22,-17.647100000000002
2019-01-23,-8.9286
2019-01-24,-6.2745
2019-01-25,0.4184
2019-01-28,-16.25
2019-01-29,24.3781
2019-01-30,-12.0
2019-01-31,-8.0682
2019-02-01,6.3041
2019-02-04,-1.8
2019-02-05,4.2012
2019-02-06,-7.7273
2019-02-07,-2.4631
2019-02-08,-8.5859
2019-02-11,9.9448
2019-02-12,0.5025
2019-02-13,-0.5
2019-02-14,10.5528
2019-02-15,-9.2273
2019-02-19,5.1577
2019-02-20,-4.7619
2019-02-21,3.25
2019-02-22,5.0847
2019-02-25,-0.9217
2019-02-26,0.4651
2019-02-27,-2.7778
2019-02-28,-0.9524
2019-03-01,67.7885
2019-03-04,-16.0458
2019-03-05,-2.0478
2019-03-06,-0.6969
2019-03-07,5.2632
2019-03-08,-10.0
2019-03-11,4.6296
2019-03-12,-10.4425
2019-03-13,5.1383
2019-03-14,-5.2632
2019-03-15,3.1746
2019-03-18,-15.3846
2019-03-19,-2.7273
2019-03-20,5.1402
2019-03-21,8.8889
2019-03-22,-14.2857
2019-03-25,4.2857
2019-03-26,-3.1963
2019-03-27,3.7736
2019-03-28,-10.9091
2019-03-29,0.0
2019-04-01,6.1224
2019-04-02,-12.0192
2019-04-03,-1.5901999999999998
2019-04-04,-10.8779
2019-04-05,7.1651
2019-04-08,-5.5233
2019-04-09,-3.3846
2019-04-10,-3.1847
2019-04-11,-4.6053
2019-04-12,-3.4483
2019-04-15,-2.0
2019-04-16,-5.6122
2019-04-17,-3.4749
2019-04-18,-5.6
2019-04-22,-7.7203
2019-04-23,-8.1642
2019-04-24,-5.0
2019-04-25,10.526299999999999
2019-04-26,-4.7619
2019-04-29,2.0
2019-04-30,-1.7157
2019-05-01,-5.2369
2019-05-02,-5.2632
2019-05-03,-2.7778
2019-05-06,8.5714
2019-05-07,-7.5789
2019-05-08,-2.0501
2019-05-09,3.4884
2019-05-10,-10.0
2019-05-13,-3.7453
2019-05-14,0.5188
2019-05-15,-3.2258
2019-05-16,-3.6
2019-05-17,-3.1812
2019-05-20,2.8571
2019-05-21,0.0
2019-05-22,-9.7222
2019-05-23,3.0769
2019-05-24,4.0299
2019-05-28,-15.2654
2019-05-29,-9.939
2019-05-30,-0.0188
2019-05-31,12.8244
2019-06-03,8.3333
2019-06-04,0.0
2019-06-05,1.3846
2019-06-06,-1.5175
2019-06-07,-8.4592
2019-06-10,-7.423
2019-06-11,0.0
2019-06-12,0.0
2019-06-13,9.0909
2019-06-14,3.6667
2019-06-17,-4.1801
2019-06-18,-7.7181
2019-06-19,-7.2727
2019-06-20,12.451
2019-06-21,4.6207
2019-06-24,-7.41
2019-06-25,2.6029
2019-06-26,3.5088
2019-06-27,-15.2542
2019-06-28,10.0
2019-07-01,5.2545
2019-07-02,-4.9922
2019-07-03,-9.0909
2019-07-05,5.3
2019-07-08,-5.5081
2019-07-09,-29.6482
2019-07-10,-3.1429
2019-07-11,-15.9292
2019-07-12,-12.2807
2019-07-15,0.0
2019-07-16,7.584
2019-07-17,-7.0494
2019-07-18,0.0
2019-07-19,0.0
2019-07-22,24.0
2019-07-23,-10.9677
2019-07-24,-1.087
2019-07-25,0.3663
2019-07-26,3.6861
2019-07-29,5.6494
2019-07-30,-6.7133
2019-07-31,-9.642900000000001
2019-08-01,12.5059
2019-08-02,-5.1433
2019-08-05,7.4074
2019-08-06,-13.7931
2019-08-07,-9.2
2019-08-08,25.5507
2019-08-09,5.3158
2019-08-12,-0.05
2019-08-13,-0.6667
2019-08-14,-22.8188
2019-08-15,-9.1304
2019-08-16,5.2632
2019-08-19,-8.4091
2019-08-20,-20.5955
2019-08-21,25.0
2019-08-22,-15.0
2019-08-23,17.647100000000002
2019-08-26,-25.0
2019-08-27,0.0
2019-08-28,-6.6667
2019-08-29,7.8571
2019-08-30,17.5497
2019-09-03,-14.9296
2019-09-04,29.1391
2019-09-05,-19.2308
2019-09-06,20.634900000000002
2019-09-09,0.0
2019-09-10,0.0
2019-09-11,2.6316
2019-09-12,-10.2564
2019-09-13,-2.8571
2019-09-16,15.4706
2019-09-17,1.8849
2019-09-18,0.0
2019-09-19,0.0
2019-09-20,0.0
2019-09-23,-19.5
2019-09-24,1.2422
2019-09-25,5.5215
2019-09-26,12.7907
2019-09-27,-12.3711
2019-09-30,10.8824
2019-10-01,-12.4668
2019-10-02,3.6364
2019-10-03,9.3567
2019-10-04,-12.8342
2019-10-07,0.0
2019-10-08,19.6319
2019-10-09,-22.5641
2019-10-10,0.0
2019-10-11,-3.3113
2019-10-14,10.3288
2019-10-15,-21.1572
2019-10-16,10.2362
2019-10-17,0.0
2019-10-18,-9.2857
2019-10-21,-13.3858
2019-10-22,13.6364
2019-10-23,-14.4
2019-10-24,40.1869
2019-10-25,0.0
2019-10-28,-6.6667
2019-10-29,-18.5714
2019-10-30,0.8772
2019-10-31,2.6087
2019-11-01,27.1186
2019-11-04,0.0
2019-11-05,-22.0
2019-11-06,28.2051
2019-11-07,-13.3333
2019-11-08,-16.9231
2019-11-11,0.9259
2019-11-12,0.0
2019-11-13,-4.5872
2019-11-14,5.7692
2019-11-15,9.0909
2019-11-18,-21.6667
2019-11-19,-1.0638
2019-11-20,7.5806000000000004
2019-11-21,2.9485
2019-11-22,-9.0291
2019-11-25,15.2615
2019-11-26,-7.4074
2019-11-27,6.0
2019-11-29,-5.6604
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,10.0
2019-12-05,4.5455
2019-12-06,3.4783
2019-12-09,-18.9076
2019-12-10,-3.6269
2019-12-11,0.0
2019-12-12,-3.2258
2019-12-13,-8.6667
2019-12-16,-0.2433
2019-12-17,0.0
2019-12-18,-8.5366
2019-12-19,-4.0
2019-12-20,0.0
2019-12-23,0.0
2019-12-24,-1.3889
2019-12-26,6.0845
2019-12-27,-6.2666
2019-12-30,-12.1813
2019-12-31,29.0323
2020-01-02,-1.25
2020-01-03,-14.2278
2020-01-06,-7.0248
2020-01-07,30.1587
2020-01-08,0.0
2020-01-09,35.3659
2020-01-10,-9.9099
2020-01-13,-23.0
2020-01-14,26.0779
2020-01-15,3.0078
2020-01-16,-1.0
2020-01-17,-17.1717
2020-01-21,0.0
2020-01-22,-2.439
2020-01-23,-3.0625
2020-01-24,22.5016
2020-01-27,-11.5789
2020-01-28,-13.0952
2020-01-29,36.9863
2020-01-30,-10.96
2020-01-31,1.5274
2020-02-03,-11.5044
2020-02-04,-3.125
2020-02-05,12.2581
2020-02-06,26.4368
2020-02-07,-9.1364
2020-02-10,-8.7044
2020-02-11,-3.5616
2020-02-12,15.9659
2020-02-13,22.489
2020-02-14,-4.0
2020-02-18,-24.1667
2020-02-19,11.3846
2020-02-20,7.5375
2020-02-21,10.0917
2020-02-24,-8.3333
