ticker,ALDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-08-13,3.9012000000000002
2015-08-14,0.8761
2015-08-17,-2.1092
2015-08-18,-2.2798
2015-08-19,-0.0016
2015-08-20,-1.5564
2015-08-21,-2.3699
2015-08-24,-5.5347
2015-08-25,-3.4286
2015-08-26,2.5888
2015-08-27,-4.5422
2015-08-28,6.6465
2015-08-31,2.2663
2015-09-01,-3.4626
2015-09-02,3.1564
2015-09-03,0.0
2015-09-04,-1.5299
2015-09-08,1.1299
2015-09-09,-1.9553
2015-09-10,-2.849
2015-09-11,2.346
2015-09-14,-2.0057
2015-09-15,1.9005999999999998
2015-09-16,-1.5782
2015-09-17,-1.1662
2015-09-18,2.5074
2015-09-21,-1.8705
2015-09-22,0.5865
2015-09-23,-0.1458
2015-09-24,0.292
2015-09-25,-2.0378
2015-09-28,-9.955400000000001
2015-09-29,-0.33
2015-09-30,-3.4768
2015-10-01,-3.4305
2015-10-02,2.6643
2015-10-05,-0.519
2015-10-06,-4.3478
2015-10-07,-4.3636
2015-10-08,-2.0152
2015-10-09,4.3849
2015-10-12,-0.7435
2015-10-13,11.236
2015-10-14,4.375
2015-10-15,4.3568999999999996
2015-10-16,-1.7002000000000002
2015-10-19,-0.4717
2015-10-20,1.1058
2015-10-21,1.5625
2015-10-22,0.0
2015-10-23,-3.6923
2015-10-26,2.7157
2015-10-27,1.3997
2015-10-28,7.2086
2015-10-29,-0.7153
2015-10-30,-0.8646
2015-11-02,4.9419
2015-11-03,2.2161
2015-11-04,-0.3388
2015-11-05,-0.6118
2015-11-06,2.3256
2015-11-09,-2.4064
2015-11-10,0.8219
2015-11-11,1.7646
2015-11-12,-3.0691
2015-11-13,-0.1377
2015-11-16,1.3793
2015-11-17,-2.449
2015-11-18,-0.2789
2015-11-19,-0.2701
2015-11-20,-0.2901
2015-11-23,-1.8284
2015-11-24,-1.0799
2015-11-25,1.8881999999999999
2015-11-27,-0.2248
2015-11-30,3.7157
2015-12-01,1.3049
2015-12-02,1.5551
2015-12-03,-3.8678
2015-12-04,1.9444
2015-12-07,-0.9537
2015-12-08,-4.1265
2015-12-09,0.4161
