ticker,BWVI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-02,28.75
2017-05-03,0.0
2017-05-04,-17.5364
2017-05-05,0.0736
2017-05-08,34.7059
2017-05-09,-0.4367
2017-05-10,-21.4912
2017-05-11,26.4665
2017-05-12,-2.2087
2017-05-15,-15.5844
2017-05-18,6.4883
2017-05-19,0.5025
2017-05-23,12.5
2017-05-24,2.2222
2017-05-25,0.0
2017-05-26,8.6957
2017-05-30,-11.325
2017-05-31,12.7714
2017-06-01,8.0
2017-06-02,3.4259
2017-06-05,0.2686
2017-06-06,14.2857
2017-06-07,-6.25
2017-06-08,9.8667
2017-06-09,-21.1165
2017-06-12,15.3846
2017-06-13,0.0
2017-06-14,-4.0
2017-06-15,9.3403
2017-06-16,-11.4004
2017-06-19,0.3584
2017-06-20,10.7143
2017-06-21,11.2903
2017-06-22,30.4348
2017-06-23,0.0
2017-06-26,-2.2222
2017-06-27,-11.3636
2017-06-28,-10.2564
2017-06-29,-5.7143
2017-06-30,12.1212
2017-07-05,-32.1622
2017-07-06,19.5219
2017-07-07,6.6667
2017-07-10,12.1875
2017-07-11,-16.4345
2017-07-12,5.8333
2017-07-13,-2.3622
2017-07-14,2.4194
2017-07-17,-16.0945
2017-07-18,16.3664
2017-07-19,3.2258
2017-07-20,-9.375
2017-07-21,1.931
2017-07-24,-9.5061
2017-07-25,3.4019
2017-07-27,-20.4628
2017-07-28,9.0909
2017-07-31,12.0833
2017-08-01,18.9591
2017-08-02,3.125
2017-08-03,-3.0303
2017-08-04,9.375
2017-08-07,-31.4
2017-08-08,24.9479
2017-08-09,16.6667
2017-08-10,-2.8571
2017-08-11,0.0
2017-08-14,-1.1176
2017-08-15,7.0791
2017-08-16,8.3333
2017-08-17,7.6923
2017-08-18,-2.3810000000000002
2017-08-21,9.7561
2017-08-22,-15.5556
2017-08-23,10.526299999999999
2017-08-24,-4.7619
2017-08-25,12.475
2017-08-28,0.0222
2017-08-29,9.2547
2017-08-30,11.8691
2017-08-31,0.0
2017-09-01,7.2727
2017-09-05,3.3898
2017-09-06,0.0
2017-09-07,6.5574
2017-09-08,-1.5385
2017-09-11,0.0
2017-09-12,9.375
2017-09-13,-2.8571
2017-09-14,-4.3971
2017-09-15,6.1375
2017-09-18,-2.8986
2017-09-19,-10.4478
2017-09-20,0.0
2017-09-21,-9.5002
2017-09-22,6.8142
2017-09-25,-20.6897
2017-09-26,10.8478
2017-09-27,9.5162
2017-09-28,1.1778
2017-09-29,-6.1947
2017-10-02,11.3208
2017-10-03,-4.2203
2017-10-04,4.3709
2017-10-05,0.0339
2017-10-06,0.0
