ticker,RACE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-08-05,0.4715
2016-08-08,1.2159
2016-08-09,0.0211
2016-08-10,1.0324
2016-08-11,0.2086
2016-08-12,0.7492
2016-08-15,0.5577
2016-08-16,-1.5407
2016-08-17,0.9389
2016-08-18,0.5788
2016-08-19,-0.5343
2016-08-22,0.0207
2016-08-23,1.446
2016-08-24,-1.181
2016-08-25,-0.2679
2016-08-26,0.7025
2016-08-29,-0.1436
2016-08-30,-0.2466
2016-08-31,-0.8445
2016-09-01,0.3739
2016-09-02,0.3725
2016-09-06,0.3505
2016-09-07,2.2396
2016-09-08,-0.5828
2016-09-09,-2.5672
2016-09-12,0.9129
2016-09-13,-2.1793
2016-09-14,-0.2312
2016-09-15,0.8005
2016-09-16,-2.5078
2016-09-19,2.3151
2016-09-20,-0.3352
2016-09-21,3.2163
2016-09-22,2.9124
2016-09-23,-0.6135
2016-09-26,0.2389
2016-09-27,-0.437
2016-09-28,2.7334
2016-09-29,-1.3982999999999999
2016-09-30,2.1666
2016-10-03,0.3663
2016-10-04,1.1717
2016-10-05,1.8417
2016-10-06,-0.9135
2016-10-07,0.6397
2016-10-10,0.6543
2016-10-11,-0.9658
2016-10-12,0.3563
2016-10-13,-1.8688
2016-10-14,0.3999
2016-10-17,-0.9674
2016-10-18,0.3639
2016-10-19,0.2863
2016-10-20,0.4377
2016-10-21,-0.341
2016-10-24,1.2357
2016-10-25,-0.4507
2016-10-26,0.1886
2016-10-27,-0.2071
2016-10-28,-0.2453
2016-10-31,-0.1891
2016-11-01,-2.7667
2016-11-02,0.0
2016-11-03,-1.5786
2016-11-04,1.1287
2016-11-07,7.4799
2016-11-08,-0.8563
2016-11-09,-0.3859
2016-11-10,-1.2544
2016-11-11,1.756
2016-11-14,-2.2214
2016-11-15,1.5584
2016-11-16,-1.1461999999999999
2016-11-17,-0.3366
2016-11-18,-0.9946
2016-11-21,1.2699
2016-11-22,1.647
2016-11-23,-1.1232
2016-11-25,2.0112
2016-11-28,-1.8437000000000001
2016-11-29,1.804
2016-11-30,-1.1326
2016-12-01,0.6467
2016-12-02,-0.6976
2016-12-05,2.7732
2016-12-06,0.8095
2016-12-07,1.6238000000000001
2016-12-08,-0.3161
2016-12-09,0.1938
2016-12-12,-0.0352
2016-12-13,1.6356000000000002
2016-12-14,0.1384
2016-12-15,0.4666
2016-12-16,0.3612
2016-12-19,0.5484
2016-12-20,-0.1193
2016-12-21,-0.9727
2016-12-22,-0.4997
2016-12-23,1.0218
2016-12-27,-0.0686
2016-12-28,-0.9264
2016-12-29,0.0693
2016-12-30,0.6056
2017-01-03,1.376
2017-01-04,0.7974
2017-01-05,-0.0842
2017-01-06,-0.7075
2017-01-09,-1.1198
2017-01-10,1.2011
2017-01-11,0.7291
2017-01-12,-0.2188
2017-01-13,0.9278
2017-01-17,-0.0167
2017-01-18,0.1337
2017-01-19,0.9349
2017-01-20,-0.1819
2017-01-23,1.2096
2017-01-24,2.6195
2017-01-25,-0.1914
2017-01-26,-1.1189
2017-01-27,0.2425
2017-01-30,-1.7255
2017-01-31,1.9527
2017-02-01,0.0161
2017-02-02,3.9749
2017-02-03,1.687
2017-02-06,-1.7046999999999999
2017-02-07,-0.1239
2017-02-08,1.0853
2017-02-09,-0.6595
2017-02-10,0.6948
2017-02-13,1.4566
2017-02-14,0.0302
2017-02-15,-0.2719
2017-02-16,0.0454
2017-02-17,-0.6814
2017-02-21,-0.0152
2017-02-22,0.4575
2017-02-23,-0.3188
2017-02-24,-0.8832
2017-02-27,1.1215
2017-02-28,-1.1547
2017-03-01,1.245
2017-03-02,0.1518
2017-03-03,0.4548
2017-03-06,-1.5995
2017-03-07,0.5827
2017-03-08,-0.1677
2017-03-09,-0.4734
