ticker,EXAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-11,-1.7143000000000002
2009-05-12,-6.3881
2009-05-13,-18.6399
2009-05-14,1.5267
2009-05-15,20.3008
2009-05-18,6.25
2009-05-19,1.7647
2009-05-20,2.8902
2009-05-21,-2.809
2009-05-22,-5.2023
2009-05-26,-7.3171
2009-05-27,1.3158
2009-05-28,6.7532
2009-05-29,21.6545
2009-06-01,-0.5
2009-06-02,-7.0352
2009-06-03,-4.8649000000000004
2009-06-04,-1.1364
2009-06-05,6.3218
2009-06-08,12.973
2009-06-09,0.4785
2009-06-10,-6.1964
2009-06-11,1.0216
2009-06-12,7.5377
2009-06-15,2.8037
2009-06-16,1.3636
2009-06-17,-1.7936999999999999
2009-06-18,0.9132
2009-06-19,0.4525
2009-06-22,0.4505
2009-06-23,2.6906
2009-06-24,1.31
2009-06-25,1.7241
2009-06-26,11.8644
2009-06-29,9.8485
2009-06-30,-8.6207
2009-07-01,1.1320999999999999
2009-07-02,-1.1194
2009-07-06,-4.9056999999999995
2009-07-07,-3.9683
2009-07-08,2.8926
2009-07-09,5.6225000000000005
2009-07-10,3.8023
2009-07-13,-1.0989
2009-07-14,1.4815
2009-07-15,1.0949
2009-07-16,4.6977
2009-07-17,-3.1076
2009-07-20,-0.3559
2009-07-21,-2.8571
2009-07-22,2.2059
2009-07-23,3.9523
2009-07-24,-2.7640000000000002
2009-07-27,4.2705
2009-07-28,1.7065000000000001
2009-07-29,-1.7282
2009-07-30,-3.3635
2009-07-31,-1.7668
2009-08-03,3.5971
2009-08-04,-2.0833
2009-08-05,0.7092
2009-08-06,0.3521
2009-08-07,0.7018
2009-08-10,-1.7422
2009-08-11,0.0
2009-08-12,-1.7730000000000001
2009-08-13,-1.8051
2009-08-14,-4.7794
2009-08-17,-9.6525
2009-08-18,2.5641
2009-08-19,-2.0833
2009-08-20,0.0
2009-08-21,-0.4255
2009-08-24,1.2821
2009-08-25,0.0
2009-08-26,-0.4219
2009-08-27,-1.6949
2009-08-28,-0.8621
2009-08-31,-6.5217
2009-09-01,2.3256
2009-09-02,1.8182
2009-09-03,0.8929
2009-09-04,11.5044
2009-09-08,7.1429
2009-09-09,2.963
2009-09-10,1.4388
2009-09-11,4.2553
2009-09-14,-1.7006999999999999
2009-09-15,-1.7301
2009-09-16,1.7606000000000002
2009-09-17,2.0761
2009-09-18,-1.6949
2009-09-21,1.7241
2009-09-22,-1.3559
2009-09-23,-0.6873
2009-09-24,-1.0381
2009-09-25,-5.5944
2009-09-28,5.1852
2009-09-29,-3.8731999999999998
2009-09-30,1.8315000000000001
2009-10-01,-1.4388
2009-10-02,0.365
2009-10-05,-0.7273
2009-10-06,-0.3663
2009-10-07,-0.7353
2009-10-08,0.0
2009-10-09,-0.7407
2009-10-12,0.0
2009-10-13,0.0
2009-10-14,0.3731
2009-10-15,0.0
2009-10-16,-1.1152
2009-10-19,3.0075
2009-10-20,-5.1095
2009-10-21,3.8462
2009-10-22,0.0
2009-10-23,-3.7037
2009-10-26,0.0
2009-10-27,-1.1587
2009-10-28,-4.6646
2009-10-29,0.0
2009-10-30,0.8163
2009-11-02,-0.6073
2009-11-03,0.611
2009-11-04,0.8097
2009-11-05,4.8193
2009-11-06,0.7663
2009-11-09,1.5209000000000001
2009-11-10,2.2472
2009-11-11,-0.3663
2009-11-12,-1.4706000000000001
2009-11-13,0.3731
2009-11-16,0.7435
2009-11-17,0.0
2009-11-18,0.0
2009-11-19,0.0
2009-11-20,-4.059
2009-11-23,-2.3077
2009-11-24,3.9370000000000003
2009-11-25,2.268
2009-11-27,0.375
2009-11-30,-4.059
2009-12-01,-1.1538
2009-12-02,-2.3346
2009-12-03,3.1823
2009-12-04,1.9354
2009-12-07,-3.4091
2009-12-08,-1.5686
2009-12-09,0.0
2009-12-10,-1.992
2009-12-11,0.4065
2009-12-14,0.8097
2009-12-15,6.4257
2009-12-16,1.5093999999999999
2009-12-17,13.7546
2009-12-18,6.5359
2009-12-21,-7.9755
2009-12-22,6.6667
2009-12-23,-0.3125
2009-12-24,2.1944
2009-12-28,1.227
2009-12-29,-0.0795
2009-12-30,1.2927
2009-12-31,1.4969999999999999
2010-01-04,0.295
2010-01-05,11.761
2010-01-06,8.6911
2010-01-07,0.9655
2010-01-08,-3.1175
2010-01-11,2.4752
2010-01-12,2.4154999999999998
2010-01-13,0.9434
2010-01-14,-3.271
2010-01-15,-1.9324
2010-01-19,3.6946
2010-01-20,-0.2375
2010-01-21,-4.7619
2010-01-22,-3.0031
2010-01-25,-5.7702
2010-01-26,-5.0875
2010-01-27,0.5764
2010-01-28,-0.5731
2010-01-29,0.8646
2010-02-01,10.0
2010-02-02,2.8571
2010-02-03,0.0
2010-02-04,-2.2727
2010-02-05,-2.8424
2010-02-08,5.3191
2010-02-09,-4.0404
2010-02-10,1.5789
2010-02-11,-1.2953000000000001
2010-02-12,3.1496
2010-02-16,-1.7812000000000001
2010-02-17,3.2772
2010-02-18,-2.1698
2010-02-19,0.5128
2010-02-22,1.2755
2010-02-23,1.2594
2010-02-24,0.995
2010-02-25,0.0
2010-02-26,1.2315
2010-03-01,3.4063
2010-03-02,0.0
2010-03-03,-0.4706
2010-03-04,2.3641
