ticker,TCBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-12,1.7084000000000001
2008-06-13,-2.0996
2008-06-16,2.3284000000000002
2008-06-17,-1.6766
2008-06-18,-2.0705999999999998
2008-06-19,1.2438
2008-06-20,0.1229
2008-06-23,-4.1104
2008-06-24,4.0947
2008-06-25,3.6263
2008-06-26,-1.9573
2008-06-27,-1.6939
2008-06-30,-1.5385
2008-07-01,3.375
2008-07-02,-0.786
2008-07-03,-2.8032
2008-07-07,-5.768
2008-07-08,3.4596999999999998
2008-07-09,-2.7653
2008-07-10,1.7196
2008-07-11,0.7152
2008-07-14,-8.5216
2008-07-15,-4.0226
2008-07-16,17.5
2008-07-17,-3.3792
2008-07-18,-0.9067
2008-07-21,-0.2614
2008-07-22,1.5072
2008-07-23,9.1672
2008-07-24,-3.2525
2008-07-25,1.5281
2008-07-28,-5.298
2008-07-29,5.0858
2008-07-30,-0.3025
2008-07-31,-2.0024
2008-08-01,2.7864
2008-08-04,-1.0241
2008-08-05,1.7042000000000002
2008-08-06,-1.4363000000000001
2008-08-07,-2.793
2008-08-08,4.8095
2008-08-11,5.1847
2008-08-12,-2.0963
2008-08-13,-1.9676
2008-08-14,0.059
2008-08-15,1.4159
2008-08-18,-2.676
2008-08-19,-1.0759
2008-08-20,-0.2417
2008-08-21,-0.7268
2008-08-22,2.6846
2008-08-25,-4.2187
2008-08-26,-3.2258
2008-08-27,0.3846
2008-08-28,0.447
2008-08-29,-0.7629
2008-09-02,2.6265
2008-09-03,1.0612
2008-09-04,-2.2236
2008-09-05,0.6317
2008-09-08,3.8293
2008-09-09,5.8041
2008-09-10,1.6571
2008-09-11,1.1242
2008-09-12,6.0033
2008-09-15,-4.0378
2008-09-16,6.5027
2008-09-17,-3.0785
2008-09-18,7.7819
2008-09-19,7.3183
2008-09-22,-6.1785
2008-09-23,-3.4634
2008-09-24,-0.6569
2008-09-25,0.6612
2008-09-26,0.1516
2008-09-29,-7.4672
2008-09-30,13.1952
2008-10-01,2.5048
2008-10-02,-0.7049
2008-10-03,3.4548
2008-10-06,-4.2543
