ticker,ETON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-10-30,-0.5017
2019-10-31,0.0
2019-11-01,-0.8403
2019-11-04,1.6949
2019-11-05,1.6667
2019-11-06,-1.8033000000000001
2019-11-07,-4.3406
2019-11-08,0.349
2019-11-11,-2.7826
2019-11-12,0.0
2019-11-13,2.8623
2019-11-14,4.5217
2019-11-15,-2.4958
2019-11-18,-4.2661999999999995
2019-11-19,4.7237
2019-11-20,1.1064
2019-11-21,1.8519
2019-11-22,3.1405
2019-11-25,0.4808
2019-11-26,0.319
2019-11-27,0.4769
2019-11-29,1.2658
2019-12-02,-1.0937999999999999
2019-12-03,-2.0537
2019-12-04,-3.2258
2019-12-05,-0.3333
2019-12-06,-0.1672
2019-12-09,1.005
2019-12-10,0.0
2019-12-11,6.3018
2019-12-12,1.17
2019-12-13,-3.1611
2019-12-16,-0.9554
2019-12-17,3.0547
2019-12-18,2.1841
2019-12-19,-0.1527
2019-12-20,5.5046
2019-12-23,1.1594
2019-12-24,0.2149
2019-12-26,1.5011
2019-12-27,-1.1268
2019-12-30,1.1396
2019-12-31,1.4085
2020-01-02,3.75
2020-01-03,-1.7403
2020-01-06,-0.545
2020-01-07,1.0959
2020-01-08,-0.6775
2020-01-09,0.1364
2020-01-10,0.6812
2020-01-13,-0.406
2020-01-14,-2.1739
2020-01-15,2.2222
2020-01-16,1.4946
2020-01-17,-4.4177
2020-01-21,3.3613
2020-01-22,-6.6396
2020-01-23,-2.6125
2020-01-24,-4.0238
2020-01-27,-0.7764
2020-01-28,7.9812
2020-01-29,1.1594
2020-01-30,-1.5758999999999999
2020-01-31,-3.0568
2020-02-03,0.4505
2020-02-04,1.7936999999999999
2020-02-05,-0.2937
2020-02-06,-2.0619
2020-02-07,1.3534
2020-02-10,0.5935
2020-02-11,0.59
2020-02-12,-0.8798
2020-02-13,1.4793
2020-02-14,2.1866
2020-02-18,4.2796
2020-02-19,-6.9767
2020-02-20,-4.4118
2020-02-21,-3.6923
2020-02-24,-4.4728
2020-02-25,-4.0134
2020-02-26,0.1742
2020-02-27,-6.087
2020-02-28,0.0
2020-03-02,2.037
2020-03-03,3.2668
2020-03-04,2.109
2020-03-05,-4.3029
2020-03-06,-4.3165
2020-03-09,-11.8421
2020-03-10,-3.1983
2020-03-11,-7.489
2020-03-12,-14.7619
2020-03-13,8.9385
2020-03-16,-20.5128
2020-03-17,3.0645
2020-03-18,-10.2598
2020-03-19,9.8633
2020-03-20,-1.5873
2020-03-23,-3.5484
2020-03-24,10.3679
2020-03-25,-3.3333
2020-03-26,4.3887
2020-03-27,30.9309
2020-03-30,-8.2569
2020-03-31,2.5
2020-04-01,-2.6829
2020-04-02,-7.2682
2020-04-03,-5.4054
2020-04-06,3.7143
2020-04-07,5.5096
2020-04-08,10.9661
2020-04-09,2.8235
2020-04-13,-5.492
2020-04-14,5.569
2020-04-15,-4.8165
2020-04-16,-4.8193
2020-04-17,6.5823
2020-04-20,0.2375
2020-04-21,-0.237
2020-04-22,4.9881
2020-04-23,0.6787
2020-04-24,5.8427
2020-04-27,7.431
2020-04-28,-1.7787
2020-04-29,0.6036
2020-04-30,3.6
2020-05-01,-0.1931
2020-05-04,5.4159
2020-05-05,0.0
2020-05-06,-0.367
2020-05-07,0.5525
2020-05-08,1.6484
2020-05-11,-0.3604
2020-05-12,-1.9891999999999999
2020-05-13,-3.5055
2020-05-14,-0.5736
2020-05-15,-8.6538
2020-05-18,-1.0526
2020-05-19,-0.2128
2020-05-20,1.0661
2020-05-21,0.0
2020-05-22,0.8439
2020-05-26,1.046
2020-05-27,0.4141
2020-05-28,-5.7732
2020-05-29,0.6565
2020-06-01,8.913
2020-06-02,2.5948
2020-06-03,0.3891
2020-06-04,-0.1938
2020-06-05,5.2427
2020-06-08,3.69
2020-06-09,-2.669
2020-06-10,-1.6453
2020-06-11,-10.223
2020-06-12,7.0393
2020-06-15,6.383
2020-06-16,3.4545
2020-06-17,3.3392
2020-06-18,-1.1905000000000001
2020-06-19,-1.8933
2020-06-22,-1.0526
2020-06-23,2.305
2020-06-24,1.5598
2020-06-25,3.9249
2020-06-26,-0.4926
2020-06-29,-6.7657
2020-06-30,-3.5398
2020-07-01,5.1376
2020-07-02,-3.6649000000000003
2020-07-06,-1.8115999999999999
2020-07-07,-1.476
2020-07-08,-2.4345
2020-07-09,-1.5354999999999999
2020-07-10,-1.5594999999999999
2020-07-13,-1.7822
2020-07-14,1.4113
2020-07-15,5.9642
2020-07-16,0.3752
2020-07-17,2.4299
2020-07-20,4.0146
2020-07-21,2.1053
2020-07-22,0.5155
2020-07-23,-2.906
2020-07-24,-1.2324
2020-07-27,6.0606
2020-07-28,-3.1933
2020-07-29,3.2986
2020-07-30,3.5294
2020-07-31,8.4416
