ticker,ENTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-01-28,4.8401
2020-01-29,-4.5915
2020-01-30,2.3191
2020-01-31,1.2699
2020-02-03,1.5873
2020-02-04,-2.5
2020-02-05,5.7692
2020-02-06,-4.3939
2020-02-07,4.5959
2020-02-11,1.2121
2020-02-12,-2.3952
2020-02-13,1.227
2020-02-14,-4.5455
2020-02-18,-2.2222
2020-02-19,1.9675
2020-02-21,1.8914
2020-02-24,-1.5625
2020-02-25,-7.4698
2020-02-26,-2.0482
2020-02-27,11.7338
2020-02-28,-1.5674000000000001
2020-03-02,0.3185
2020-03-03,0.0
2020-03-04,-13.0159
2020-03-05,3.6496
2020-03-06,-3.169
2020-03-09,0.0
2020-03-10,3.6364
2020-03-11,-2.4561
2020-03-12,-10.0719
2020-03-13,-0.4
2020-03-16,-14.0562
2020-03-17,-4.6729
2020-03-18,-21.5686
2020-03-19,25.0
2020-03-20,2.5
2020-03-23,0.0
2020-03-24,6.3415
2020-03-25,7.3394
2020-03-26,1.1325
2020-03-30,-13.0319
2020-04-02,-5.2524
2020-04-03,-7.6923
2020-04-06,-5.0
2020-04-07,7.0175
2020-04-08,3.8251
2020-04-09,12.5579
2020-04-13,-6.0133
2020-04-14,12.9353
2020-04-15,3.0837
2020-04-16,0.0
2020-04-17,-15.3846
2020-04-21,-2.4646
2020-04-22,-3.6868
2020-04-23,-4.8387
2020-04-24,10.8644
2020-04-27,17.1788
2020-04-28,-0.8437
2020-04-29,0.0
2020-05-01,-12.2807
2020-05-04,-5.0
2020-05-05,-5.3737
2020-05-06,0.1168
2020-05-07,13.3333
2020-05-08,4.902
2020-05-11,2.8084
2020-05-12,2.9499
2020-05-13,4.1943
2020-05-14,-5.9322
2020-05-15,0.4369
2020-05-18,24.6805
2020-05-19,8.2734
2020-05-20,-10.2226
2020-05-21,-23.0285
2020-05-22,-1.9231
2020-05-26,3.9215999999999998
2020-05-27,-5.6604
2020-05-28,0.0
2020-05-29,-4.0
2020-06-01,1.5625
2020-06-02,-0.8
2020-06-03,-1.7628
2020-06-04,2.0207
2020-06-05,2.1303
2020-06-08,1.7778
2020-06-09,0.2382
2020-06-10,-2.9703
2020-06-11,-1.1429
2020-06-12,-3.4889
2020-06-15,-0.5348
2020-06-16,3.2258
2020-06-17,-1.0417
2020-06-18,-1.0526
2020-06-19,-1.0638
2020-06-22,3.2258
2020-06-23,-2.6042
2020-06-24,4.2781
2020-06-25,-2.0513
2020-06-26,-0.5236
2020-06-29,-1.5789
2020-06-30,-1.6042999999999998
2020-07-01,-7.0652
2020-07-02,2.924
2020-07-06,4.5455
2020-07-07,3.2609
2020-07-08,-5.2632
2020-07-09,0.0
2020-07-10,-2.2222
2020-07-13,5.1136
2020-07-14,-3.2432
2020-07-15,6.7039
2020-07-16,-3.6649000000000003
2020-07-17,2.1739
2020-07-20,5.3191
2020-07-21,-3.0303
2020-07-22,-0.5208
2020-07-23,15.1832
2020-07-24,-8.1818
2020-07-27,-10.8911
2020-07-28,-1.6667
2020-07-29,1.6949
2020-07-30,-3.3333
2020-07-31,-2.8736
