ticker,IESC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-07-26,-0.7092
2012-07-27,2.1429
2012-07-30,5.7867
2012-07-31,-5.1396
2012-08-02,0.3484
2012-08-03,-0.3472
2012-08-07,7.2997
2012-08-08,-6.8031
2012-08-10,4.1812
2012-08-13,-1.0033
2012-08-14,-3.0405
2012-08-15,13.2404
2012-08-16,-3.0769
2012-08-17,0.9524
2012-08-20,-0.9434
2012-08-21,1.5873
2012-08-22,-7.8125
2012-08-23,-2.7119
2012-08-24,4.5296
2012-08-28,-0.3333
2012-08-29,0.3344
2012-08-31,-3.3333
2012-09-04,3.4483
2012-09-05,2.6667
2012-09-06,2.2727
2012-09-10,-1.2698
2012-09-11,17.3573
2012-09-12,8.2247
2012-09-13,-2.7848
2012-09-14,-0.7813
2012-09-17,8.1365
2012-09-18,8.0097
2012-09-19,4.4944
2012-09-20,7.5269
2012-09-21,-12.6
2012-09-24,5.492
2012-09-25,-4.9892
2012-09-26,-2.7397
2012-09-27,1.8779
2012-09-28,4.8387
2012-10-01,-1.9752999999999998
2012-10-02,0.894
2012-10-03,1.1111
2012-10-04,0.4396
2012-10-05,3.9387
2012-10-08,0.2105
2012-10-09,4.8319
2012-10-10,-1.6032
2012-10-11,0.0
2012-10-12,1.6293
2012-10-15,0.2004
2012-10-16,0.0
2012-10-17,-0.4
2012-10-18,16.4659
2012-10-19,-1.3793
2012-10-22,-3.4965
2012-10-23,-6.8841
2012-10-24,5.0584
2012-10-25,-2.5926
2012-10-26,2.456
2012-10-31,-2.5827
2012-11-01,-0.7619
2012-11-02,-0.1919
2012-11-05,-3.4615
2012-11-06,0.5976
2012-11-07,-0.5941
2012-11-08,-0.1992
2012-11-09,3.5928
2012-11-12,-3.6609
2012-11-13,0.0
2012-11-14,0.2
2012-11-15,-4.7904
2012-11-16,1.0482
2012-11-19,-1.2448
2012-11-20,-6.5126
2012-11-21,10.3371
2012-11-23,-7.7393
2012-11-26,3.7528
2012-11-27,-1.0638
2012-11-28,-3.2258
2012-11-29,0.0
2012-11-30,-5.3333
2012-12-03,4.6948
2012-12-04,-0.2242
2012-12-05,0.2247
2012-12-06,-1.3453
2012-12-07,-8.8636
2012-12-10,-2.7431
2012-12-11,2.8205
2012-12-12,11.1425
2012-12-13,8.8194
2012-12-14,0.6212
2012-12-17,1.0246
2012-12-18,-8.7221
2012-12-19,1.3333
2012-12-20,1.3158
2012-12-21,0.8658
2012-12-24,-9.2275
2012-12-26,0.2364
2012-12-27,0.4717
2012-12-28,10.5634
2012-12-31,-4.4586
2013-01-03,0.0
2013-01-07,6.0
2013-01-08,4.8218
2013-01-09,0.0
2013-01-10,-3.6
2013-01-11,-6.639
2013-01-14,0.6667
2013-01-15,0.0
2013-01-16,3.532
