ticker,GBGD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-17,0.0
2007-07-20,1.2987
2007-07-26,-16.6667
2007-07-27,-21.5385
2007-07-30,37.2549
2007-08-01,-7.1429
2007-08-02,7.6923
2007-08-06,0.0
2007-08-07,0.0
2007-08-08,-14.2857
2007-08-09,0.0
2007-08-10,0.0
2007-08-13,33.3333
2007-08-15,0.0
2007-08-16,-12.5
2007-08-17,0.0
2007-08-21,0.0
2007-08-22,-14.2857
2007-08-23,-0.8333
2007-08-24,0.0
2007-08-28,0.8403
2007-08-29,8.3333
2007-08-30,30.7692
2007-09-05,5.8824
2007-09-07,5.5556
2007-09-10,-10.526299999999999
2007-09-11,0.0
2007-09-13,0.0
2007-09-17,5.8824
2007-09-19,12.2222
2007-09-20,3.9604
2007-09-21,-4.7619
2007-09-24,-10.0
2007-09-25,12.2222
2007-09-27,-0.9901
2007-09-28,0.0
2007-10-01,0.0
2007-10-02,-25.0
2007-10-03,33.3333
2007-10-05,-30.0
2007-10-08,7.1429
2007-10-09,-20.0
2007-10-10,58.3333
2007-10-17,-11.5789
2007-10-19,1.1905000000000001
2007-10-23,-10.5882
2007-10-30,-14.473700000000001
2007-10-31,15.3846
2007-11-01,-20.0
2007-11-05,-8.3333
2007-11-07,0.0
2007-11-14,-3.6364
2007-11-15,22.6415
2007-11-16,-21.5385
2007-11-19,17.647100000000002
2007-11-23,0.0
2007-11-28,-8.3333
2007-11-29,-9.0909
2007-12-03,4.0
2007-12-04,0.0
2007-12-05,0.0
2007-12-06,-1.9231
2007-12-07,-11.7647
2007-12-10,-5.5556
2007-12-11,-10.5882
2007-12-12,-10.526299999999999
2007-12-13,17.647100000000002
2007-12-14,37.5
2007-12-18,-7.2727
2007-12-20,0.0
2007-12-27,-11.7647
2007-12-28,0.0
2007-12-31,0.0
2008-01-02,0.0
2008-01-03,13.3333
2008-01-07,37.2549
2008-01-08,-1.4285999999999999
2008-01-09,-30.4348
2008-01-11,14.5833
2008-01-14,16.3636
2008-01-15,-1.5625
2008-01-16,-12.6984
2008-01-17,0.0
2008-01-18,0.0
2008-01-22,18.1818
2008-01-23,-21.5385
2008-01-28,-1.9607999999999999
2008-01-31,2.0
2008-02-01,-11.7647
2008-02-04,13.3333
2008-02-05,-11.7647
2008-02-07,-8.8889
2008-02-08,24.3902
2008-02-20,11.7647
2008-02-21,0.0
2008-02-25,-7.0175
2008-02-26,3.7736
2008-02-28,-3.6364
2008-02-29,-24.5283
2008-03-07,20.0
2008-03-11,6.25
2008-03-14,0.0
2008-03-17,-11.7647
2008-03-26,-6.6667
2008-03-28,-16.6667
2008-04-02,28.5714
2008-04-22,-11.1111
2008-04-24,0.0
2008-04-29,20.0
2008-05-01,-16.6667
2008-05-08,-12.5
2008-05-09,0.0
2008-05-14,0.0
2008-05-30,0.0
2008-06-02,0.0
2008-06-03,0.0
2008-06-04,-11.4286
2008-06-05,-12.9032
2008-06-06,0.0
2008-06-10,0.0
2008-06-11,0.0
2008-06-17,0.0
2008-06-18,0.0
2008-06-20,0.0
2008-06-23,-22.2222
2008-06-25,0.0
2008-06-30,0.0
2008-07-07,-9.5238
2008-07-08,-47.3684
2008-07-10,150.0
2008-07-17,-40.0
2008-07-18,60.0
2008-07-21,4.1667
2008-07-30,-32.0
2008-08-04,41.1765
2008-08-08,-37.5
2008-08-13,-33.3333
2008-08-14,0.0
2008-08-22,-30.0
2008-08-25,42.8571
2008-08-28,-10.0
2008-08-29,-22.2222
2008-09-03,42.8571
2008-09-04,20.0
2008-09-05,0.0
2008-09-09,0.0
2008-09-10,0.0
2008-09-11,8.3333
2008-09-12,15.3846
2008-09-16,0.0
2008-09-17,33.3333
2008-09-18,-20.0
2008-09-19,18.75
2008-09-23,15.7895
2008-09-24,120.4545
2008-09-25,-38.1443
2008-09-26,0.0
2008-09-30,-33.3333
2008-10-01,75.0
2008-10-02,-51.4286
2008-10-03,0.0
2008-10-06,-29.4118
2008-10-07,-16.6667
2008-10-08,-10.0
2008-10-09,22.2222
2008-10-10,18.1818
2008-10-13,-15.3846
2008-10-14,-18.1818
2008-10-15,11.1111
