ticker,NXFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-23,0.0
2011-11-30,-5.8824
2011-12-02,-12.75
2011-12-05,-13.7536
2011-12-06,7.9734
2011-12-07,-9.2308
2011-12-08,8.4746
2011-12-09,0.0
2011-12-12,1.5625
2011-12-15,22.4615
2011-12-16,-4.5226
2011-12-19,1.5789
2011-12-20,8.8083
2011-12-28,-5.9524
2011-12-29,3.7975
2011-12-30,6.0976
2012-01-12,-6.2069
2012-01-13,4.1667
2012-01-18,-3.5294
2012-01-19,3.6585
2012-01-20,0.0
2012-01-23,-3.5294
2012-01-24,0.0
2012-01-25,0.0
2012-01-26,0.0
2012-01-27,0.0
2012-01-30,0.0
2012-01-31,0.0
2012-02-02,0.0
2012-02-03,0.0
2012-02-06,0.0
2012-02-07,-0.2439
2012-02-08,0.0
2012-02-10,0.0
2012-02-13,0.0
2012-02-15,0.0
2012-02-16,-2.6895
2012-02-17,3.0151
2012-02-21,0.0
2012-02-22,9.7561
2012-02-23,0.0
2012-02-24,0.0
2012-02-27,0.0
2012-02-28,0.0
2012-02-29,-6.6667
2012-03-01,0.0
2012-03-02,-4.7619
2012-03-05,6.25
2012-03-06,-3.2941
2012-03-07,3.163
2012-03-08,2.5943
2012-03-09,3.4483
2012-03-12,11.1111
2012-03-13,1.0
2012-03-14,0.0
2012-03-15,-0.9901
2012-03-16,0.0
2012-03-19,-5.2
2012-03-20,0.0
2012-03-26,1.8987
2012-03-27,0.4141
2012-03-28,2.8866
2012-03-29,0.0
2012-04-02,0.0
2012-04-03,0.0
2012-04-04,0.0
2012-04-09,0.0
2012-04-10,0.0
2012-04-12,0.0
2012-04-13,0.2004
2012-04-16,-15.2
2012-04-17,0.2358
2012-04-18,0.0
2012-04-19,0.0
2012-04-20,0.0
2012-04-23,-6.1176
2012-04-25,0.0
2012-04-26,0.0
2012-04-30,-2.2556
2012-05-01,-2.5641
2012-05-03,-1.3158
2012-05-07,6.6667
2012-05-15,-2.5
2012-05-24,-10.2564
2012-05-25,7.1429
2012-05-29,0.0
2012-05-30,6.6667
2012-05-31,-1.25
2012-06-04,0.0
2012-06-11,-11.3924
2012-06-12,0.0
2012-06-13,0.0
2012-06-15,0.0
2012-06-18,-7.1429
2012-06-19,7.6923
2012-06-21,0.0
2012-06-22,0.0
2012-06-25,0.0
2012-06-26,0.0
2012-06-27,0.0
2012-06-28,0.0
2012-06-29,0.0
2012-07-02,0.0
2012-07-05,0.0
2012-07-12,-2.8571
2012-07-19,-13.2353
2012-07-20,15.2542
2012-07-23,-0.2941
2012-07-24,0.0
2012-07-26,-4.1298
2012-07-27,4.3077
2012-07-30,0.0
2012-08-03,-7.0796
2012-08-06,2.8571
2012-08-07,0.0
2012-08-09,0.9259
2012-08-13,0.0
2012-08-20,0.0
2012-08-21,0.3058
2012-08-24,2.1341
2012-09-10,-6.8657
2012-09-11,-11.859
2012-09-12,12.7273
2012-09-13,0.0
2012-09-14,-19.3548
2012-09-18,-2.0
2012-09-19,18.3673
2012-09-21,4.8276
2012-09-24,0.0
2012-09-27,0.3289
2012-10-01,0.0
2012-10-02,-1.6393
2012-10-03,0.0
2012-10-04,0.0
2012-10-08,-30.0
2012-10-09,42.8571
2012-10-12,-16.6667
2012-10-19,20.0
2012-10-23,-8.3333
2012-10-25,-12.7273
2012-10-26,14.5833
2012-11-01,7.2727
2012-11-07,-5.4237
2012-11-09,-1.4337
2012-11-12,-16.3636
2012-11-16,14.3478
2012-11-23,-12.9278
2012-11-26,-24.4541
2012-11-27,-4.0462
2012-11-29,25.9036
2012-11-30,38.756
2012-12-03,-10.3448
2012-12-05,0.0
2012-12-07,15.0
2012-12-10,-7.3579
2012-12-14,7.9422
2012-12-28,-16.7224
2012-12-31,20.0803
2013-01-23,-42.8094
2013-01-24,5.2632
2013-02-13,0.0
2013-02-19,0.0
2013-02-20,7.7778
2013-03-06,-3.0928
2013-03-12,3.1915
2013-03-19,-9.7938
2013-04-01,5.7143
2013-04-02,-10.8108
2013-04-04,6.0606
2013-04-11,0.0
2013-04-16,13.7143
2013-04-17,-12.0603
2013-04-18,-2.2857
2013-04-19,-26.9006
2013-04-30,2.4
2013-05-13,17.1875
2013-05-14,-16.6667
2013-05-20,4.0
2013-05-29,14.6154
2013-05-30,-2.6846
2013-06-03,3.4483
2013-06-18,-13.3333
2013-06-26,-3.0769
2013-06-27,0.0
2013-07-15,6.3492
2013-07-16,0.0
2013-07-22,-5.9701
2013-07-24,0.0
2013-08-21,3.1746
2013-08-27,-3.0769
2013-10-01,23.8095
2013-10-02,-30.1282
2013-10-23,14.6789
2013-10-24,16.0
2013-10-28,-20.6897
2013-10-29,-4.3478
2013-10-30,-28.1818
2013-11-04,58.2278
2013-11-05,4.0
2013-11-06,3.8462
2013-11-12,0.0
2013-11-15,11.1111
2013-11-18,30.0
2013-11-21,-22.5641
2013-11-22,-0.7699
2013-11-25,-2.5611
2013-11-27,2.7397
2013-12-03,0.0
2013-12-06,25.3333
2013-12-09,-37.234
2013-12-10,0.0
2013-12-18,18.6441
2013-12-20,0.0
2013-12-26,-7.1429
2013-12-27,0.0
2013-12-30,-15.3846
2014-01-02,27.2727
2014-01-06,-17.8571
2014-01-13,11.3043
2014-01-15,-10.9375
2014-01-17,-3.5088
2014-02-04,-8.1818
2014-02-06,8.9109
2014-02-12,0.0
2014-02-14,-7.2727
2014-02-20,0.0
2014-02-21,0.0
2014-02-27,7.8431
2014-03-06,0.0
2014-03-26,-9.0909
2014-03-28,35.0
2014-04-23,-18.5185
2014-04-25,-18.1818
2014-05-02,-1.1111
2014-05-05,-15.7303
2014-05-12,0.0
2014-05-14,0.0
2014-05-15,0.0
2014-05-20,6.6667
2014-05-23,68.75
2014-05-27,-40.7407
2014-05-29,25.0
2014-06-02,-10.0
2014-06-04,0.0
2014-06-05,0.0
2014-06-06,11.1111
2014-06-09,-18.0
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,20.7317
2014-06-13,-17.1717
2014-06-16,-7.3171
2014-06-17,-6.5789
2014-06-19,12.6761
2014-06-20,-13.75
2014-06-23,-20.2899
2014-06-24,-7.2727
2014-06-25,0.0
2014-07-01,7.8431
2014-07-10,-7.2727
2014-07-16,17.647100000000002
2014-07-17,33.3333
2014-07-24,-18.75
2014-07-31,23.0769
2014-08-06,-25.0
2014-08-08,-16.6667
2014-08-12,-20.0
2014-08-13,-10.0
2014-08-15,108.0556
2014-08-18,-13.2176
2014-08-21,7.6923
2014-08-22,0.0
2014-08-29,0.0
2014-09-02,0.0
2014-09-03,-7.1429
2014-09-08,7.6923
2014-09-09,-28.5714
2014-09-18,0.0
2014-09-19,6.0
2014-09-22,-5.6604
2014-10-01,-20.0
2014-10-02,-12.5
2014-10-07,28.5714
2014-10-16,-11.1111
2014-10-23,-5.0
2014-10-29,5.2632
2014-10-30,27.5
2014-10-31,7.8431
2014-11-03,0.0
2014-11-04,16.3636
2014-11-05,31.25
