ticker,RPMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-08-20,1.0
2014-08-21,-2.9703
2014-08-22,2.0408
2014-08-25,-5.0
2014-08-26,4.7368
2014-08-27,-2.0101
2014-08-28,4.6154
2014-08-29,0.9804
2014-09-02,-0.9709
2014-09-03,-1.9607999999999999
2014-09-04,5.0
2014-09-05,7.619
2014-09-08,1.7699
2014-09-09,-1.7391
2014-09-10,-1.7699
2014-09-11,2.7027
2014-09-12,-1.7544
2014-09-15,0.8929
2014-09-16,-0.885
2014-09-17,-4.0179
2014-09-18,-1.3953
2014-09-19,0.0
2014-09-22,-6.7925
2014-09-23,0.0
2014-09-24,-1.8218999999999999
2014-09-25,-4.1237
2014-09-26,2.1505
2014-09-29,-2.1053
2014-09-30,0.0
2014-10-01,0.0
2014-10-02,-3.2258
2014-10-03,2.7778
2014-10-06,2.4865
2014-10-07,-7.173
2014-10-08,2.2727
2014-10-09,-2.2222
2014-10-10,-5.6818
2014-10-13,1.2048
2014-10-14,-4.7619
2014-10-15,2.5
2014-10-16,7.3171
2014-10-17,4.5455
2014-10-20,-2.1739
2014-10-21,0.0
2014-10-22,0.0
2014-10-23,-2.2222
2014-10-24,-7.8408999999999995
2014-10-27,3.5758
2014-10-28,-0.5952
2014-10-29,-5.3892
2014-10-30,-5.3165
2014-10-31,6.4171
2014-11-03,-5.0722
2014-11-04,-11.3317
2014-11-05,1.4925
2014-11-06,-4.4118
2014-11-07,1.5385
2014-11-10,6.0606
2014-11-11,-10.6964
2014-11-12,0.7798
2014-11-13,3.0952
2014-11-14,-4.542
2014-11-17,-3.2258
2014-11-18,-3.3333
2014-11-19,6.8966
2014-11-20,4.8589
2014-11-21,1.3843
2014-11-24,6.2014
2014-11-25,-5.7143
2014-11-26,-3.0303
2014-11-28,1.5625
2014-12-01,0.0
2014-12-02,0.0
2014-12-03,0.0
2014-12-04,1.5385
2014-12-05,-1.5152
2014-12-08,1.5385
2014-12-09,-1.5152
2014-12-10,-7.6923
2014-12-11,-11.6667
2014-12-12,-9.434
2014-12-15,8.3333
2014-12-16,13.461500000000001
2014-12-17,-16.9492
2014-12-18,2.0536
2014-12-19,3.987
2014-12-22,3.8462
2014-12-23,-5.5556
2014-12-24,-1.9607999999999999
2014-12-26,2.0
2014-12-29,-7.8431
2014-12-30,-4.0426
2014-12-31,-13.5255
2015-01-02,10.2564
2015-01-05,-4.6512
2015-01-06,9.7561
2015-01-07,-4.4444
2015-01-08,-4.6512
2015-01-09,0.0
2015-01-12,7.2713
2015-01-13,-11.3258
2015-01-14,2.5641
2015-01-15,-2.5313
2015-01-16,-2.5648999999999997
2015-01-20,-9.2136
2015-01-21,-4.3132
2015-01-22,3.0303
2015-01-23,-5.8824
2015-01-26,46.875
2015-01-27,28.7234
2015-01-28,-9.0909
2015-01-29,-5.4545
2015-01-30,5.7692
2015-02-02,-5.4545
2015-02-03,-1.9231
2015-02-04,-5.8824
2015-02-05,-16.6667
2015-02-06,2.75
2015-02-09,9.4891
2015-02-10,-7.7778
2015-02-11,19.2771
2015-02-12,-5.0505
2015-02-13,6.383
2015-02-17,0.0
2015-02-18,-6.0
2015-02-19,10.6383
2015-02-20,-3.8462
2015-02-23,-8.0
2015-02-24,0.0
2015-02-25,1.087
2015-02-26,-5.3763
2015-02-27,-9.0909
2015-03-02,5.0
2015-03-03,-5.9524
2015-03-04,16.4557
2015-03-05,-4.3478
2015-03-06,-7.9545
2015-03-09,13.5802
2015-03-10,-2.1739
2015-03-11,-4.4444
2015-03-12,4.6512
2015-03-13,-11.7778
2015-03-16,0.7557
2015-03-17,-2.5
2015-03-18,-7.6923
2015-03-19,4.1667
2015-03-20,-4.0
2015-03-23,11.1111
2015-03-24,-10.0
2015-03-25,-2.8125
2015-03-26,-8.5388
2015-03-27,-12.8125
2015-03-30,2.8674
2015-03-31,21.9512
2015-04-01,-14.2857
2015-04-02,3.7083
2015-04-06,15.7091
