ticker,CESX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-20,-11.7647
2014-11-21,28.3333
2014-11-24,-1.2987
2014-11-25,11.8421
2014-11-26,2.3529
2014-12-01,-8.046
2014-12-02,6.25
2014-12-03,4.7059
2014-12-04,15.7303
2014-12-05,8.7379
2014-12-08,-1.7856999999999998
2014-12-09,-5.4545
2014-12-10,0.0
2014-12-11,6.7308
2014-12-12,-8.1081
2014-12-15,4.902
2014-12-16,-12.1495
2014-12-17,8.5106
2014-12-18,0.9804
2014-12-19,2.9126
2014-12-22,-0.9434
2014-12-23,-5.7143
2014-12-26,-1.0101
2014-12-29,2.0408
2014-12-30,-2.0
2014-12-31,6.1224
2015-01-02,0.0
2015-01-05,-2.8846
2015-01-06,2.9703
2015-01-08,-3.8462
2015-01-09,-13.8813
2015-01-12,10.3128
2015-01-13,-5.2632
2015-01-14,-1.1111
2015-01-15,-1.1236
2015-01-16,1.1364
2015-01-20,-10.1264
2015-01-21,2.516
2015-01-22,-2.439
2015-01-23,0.0
2015-01-26,-3.75
2015-01-27,-1.2987
2015-01-28,-1.3158
2015-01-29,0.0
2015-01-30,-4.0167
2015-02-02,5.5739
2015-02-03,-7.9112
2015-02-04,0.0
2015-02-05,2.8577
2015-02-09,-2.7609
2015-02-10,-4.2857
2015-02-11,5.9701
2015-02-12,0.0
2015-02-13,0.0
2015-02-17,-1.4085
2015-02-20,0.0
2015-02-23,-5.7143
2015-02-24,6.0606
2015-02-25,1.4285999999999999
2015-02-26,-1.4085
2015-02-27,-4.2857
2015-03-02,-2.9851
2015-03-03,0.0
2015-03-04,-4.6346
2015-03-05,-3.2063
2015-03-06,20.0
2015-03-09,0.0
2015-03-12,2.7778
2015-03-13,1.3514
2015-03-16,4.0
2015-03-17,0.0
2015-03-18,-3.8462
2015-03-19,-0.1333
2015-03-20,-5.2069
2015-03-23,0.0
2015-03-24,1.4085
2015-03-25,6.9444
2015-03-26,31.1688
2015-03-27,-0.9901
2015-03-30,7.0
2015-03-31,-0.9346
2015-04-02,-3.7736
2015-04-06,3.9215999999999998
2015-04-07,-0.9434
2015-04-09,-0.9524
2015-04-10,0.0
2015-04-13,-8.6538
2015-04-14,-3.1711
2015-04-20,-8.6832
2015-04-21,7.128
2015-04-23,-5.5424
2015-04-24,4.7059
2015-04-27,-15.7303
2015-04-28,-6.6667
2015-04-29,12.857099999999999
2015-04-30,1.2658
2015-05-01,0.0
2015-05-04,18.75
2015-05-05,-10.5395
2015-05-06,10.6045
2015-05-07,-9.5745
2015-05-08,11.7647
2015-05-11,-5.2632
2015-05-12,1.0
2015-05-13,4.5105
2015-05-15,0.0
2015-05-20,-3.1579
2015-05-22,-5.4348
2015-05-26,-8.046
2015-05-27,1.2344
2015-05-29,-11.1128
2015-06-01,0.0174
2015-06-02,18.0382
2015-06-04,0.0147
2015-06-08,-0.0147
2015-06-10,-14.105
2015-06-15,-4.1096
2015-06-16,0.0
2015-06-17,1.4285999999999999
2015-06-18,18.2923
2015-06-19,3.5868
2015-06-22,-2.2989
2015-06-23,-4.1176
2015-06-24,-9.2025
2015-06-25,1.3514
2015-06-26,9.3333
2015-06-29,-1.2195
2015-06-30,-3.7037
2015-07-01,-2.5641
2015-07-02,0.0
2015-07-06,2.6151
2015-07-07,-0.2404
2015-07-08,-10.0257
2015-07-09,0.0
2015-07-13,-0.2857
2015-07-15,-0.0179
2015-07-16,-1.9882
2015-07-17,1.7544
2015-07-20,7.7586
2015-07-21,-0.0167
2015-07-22,4.0173
2015-07-23,-3.8462
2015-07-24,0.0
2015-07-27,0.0
2015-07-28,2.6667
2015-07-30,-3.8961
2015-08-03,16.2162
2015-08-04,-4.6512
2015-08-05,3.6585
2015-08-06,2.3529
2015-08-07,0.0
2015-08-10,-5.7471
2015-08-11,-20.5869
2015-08-12,-7.8414
2015-08-13,3.3118
2015-08-14,29.0121
2015-08-17,-2.5004
2015-08-18,2.5564999999999998
2015-08-20,5.009
