ticker,BKOR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-01,-10.0
2010-11-02,0.4444
2010-11-10,0.6637
2010-11-12,9.8901
2010-11-15,-8.4
2010-11-18,-0.2183
2010-11-19,-5.6674
2010-11-24,9.9513
2010-12-01,-9.2827
2010-12-07,-2.3256
2010-12-08,-0.7143
2010-12-09,-1.6787
2010-12-10,0.003
2010-12-14,9.7528
2010-12-16,-1.1111
2010-12-17,1.1236
2010-12-20,-0.2222
2010-12-21,-2.8952999999999998
2010-12-22,2.7523
2010-12-27,0.4464
2010-12-29,-3.7778
2010-12-30,-5.3118
2010-12-31,7.8049
2011-01-03,-5.6561
2011-01-06,7.1912
2011-01-07,-1.1158
2011-01-10,-4.7511
2011-01-12,7.1259
2011-01-13,-1.9956
2011-01-14,2.9412000000000003
2011-01-18,8.5714
2011-01-20,-0.2024
2011-01-21,-8.7221
2011-01-25,5.5556
2011-01-26,0.0
2011-01-27,-6.3158
2011-02-01,1.1236
2011-02-02,-1.3333
2011-02-03,-4.2342
2011-02-04,3.4807
2011-02-07,0.6818
2011-02-08,0.4515
2011-02-11,4.0449
2011-02-15,0.0
2011-02-16,6.2635
2011-02-17,-1.4228
2011-02-18,1.8557000000000001
2011-02-24,-4.251
2011-02-28,-0.6342
2011-03-02,4.1529
2011-03-08,-3.9873
2011-03-10,0.0
2011-03-11,-8.2979
2011-03-14,4.4084
2011-03-15,0.6639
2011-03-18,10.3783
2011-03-22,0.0
2011-03-28,-7.4
2011-03-29,-0.6479
2011-03-31,0.0
2011-04-04,0.0
2011-04-05,-0.2174
2011-04-06,-4.793
2011-04-07,-0.4577
2011-04-08,3.4483
2011-04-11,-2.2222
2011-04-12,2.0455
2011-04-13,0.2199
2011-04-14,-3.3306
2011-04-15,-4.1379
2011-04-18,-1.9184999999999999
2011-04-19,14.6699
2011-04-20,-5.7569
2011-04-21,-3.1673999999999998
2011-04-25,-1.1682
2011-04-28,1.182
2011-04-29,-4.2056000000000004
2011-05-02,3.6585
2011-05-03,-3.5294
2011-05-04,0.0
2011-05-05,2.439
2011-05-09,0.0
2011-05-11,-4.7619
2011-05-12,0.75
2011-05-16,-0.7444
2011-05-17,-0.5
2011-05-18,0.5025
2011-05-19,-5.5
2011-05-20,6.6138
2011-05-25,-0.7444
2011-05-26,0.0
2011-05-27,0.0
2011-05-31,-8.0
2011-06-01,5.4348
2011-06-02,-1.9072
2011-06-06,-2.7851
2011-06-09,-0.5405
2011-06-10,8.1522
2011-06-13,0.2513
2011-06-14,-5.7644
2011-06-15,6.117
2011-06-16,-5.5138
2011-06-17,0.0
2011-06-20,0.5305
2011-06-22,4.7493
2011-06-27,-5.0378
2011-06-30,0.0
2011-07-06,-0.5305
2011-07-07,0.0
2011-07-11,-1.33
2011-07-12,-1.3547
2011-07-13,-16.4384
2011-07-14,8.1926
2011-07-15,13.6407
2011-07-19,2.6633
2011-07-20,-2.5942
2011-07-25,6.6633
2011-07-26,-5.7471
2011-07-27,2.3872999999999998
2011-08-03,-2.3316
2011-08-04,-1.8568
2011-08-11,-12.1588
2011-08-15,15.3802
2011-08-19,-6.4
2011-08-22,-0.2849
2011-08-25,0.7143
2011-08-29,-0.5957
2011-08-31,13.8699
2011-09-06,-24.3108
2011-09-07,-0.6623
2011-09-08,2.0
2011-09-09,-11.7647
2011-09-12,-15.1551
2011-09-13,3.0202
2011-09-14,-1.6949
2011-09-15,5.6034
2011-09-16,18.3673
2011-09-26,-22.4138
2011-09-27,21.7778
2011-09-28,-6.5693
2011-09-29,8.2031
2011-10-04,-9.7473
2011-10-05,8.0
2011-10-07,3.8889
2011-10-12,-3.7433
2011-10-13,7.7778
2011-10-17,4.4674
2011-10-18,-1.3158
2011-10-19,-7.3333
2011-10-20,11.5108
2011-10-24,-6.4516
2011-10-25,2.4138
2011-10-26,-0.6734
2011-10-27,2.0339
2011-10-28,-8.3056
2011-10-31,2.2464
2011-11-03,-2.5514
2011-11-04,-13.818200000000001
2011-11-07,8.8608
2011-11-08,4.2636
2011-11-09,15.2416
2011-11-10,8.0645
2011-11-11,-21.4888
2011-11-14,13.3026
2011-11-15,0.6711
2011-11-16,0.0
2011-11-17,0.0
2011-11-29,8.0
2011-11-30,7.7122
2011-12-01,-7.7331
2011-12-05,-3.9752
2011-12-06,-2.652
2011-12-07,-0.3322
2011-12-08,-10.0
2011-12-09,1.8519
2011-12-12,5.0909
2011-12-15,21.1073
2011-12-16,-16.0
2011-12-19,-7.483
2011-12-20,1.1029
2011-12-21,0.0
2011-12-22,-10.9091
2011-12-23,0.0
2011-12-27,17.9592
2011-12-28,-2.7682
2011-12-29,-10.6762
2011-12-30,-1.5936
2012-01-03,7.2874
2012-01-05,-0.3774
2012-01-09,-18.5606
2012-01-10,0.0
2012-01-11,2.3256
2012-01-12,4.0909
2012-01-13,-6.1135
2012-01-17,5.5814
2012-01-19,5.7269
2012-01-24,10.8333
2012-01-25,-6.0103
2012-01-26,1.1999
2012-01-30,0.7855
2012-01-31,0.0
2012-02-03,13.7255
2012-02-06,1.7241
2012-02-07,2.0339
2012-02-08,2.99
2012-02-09,12.9032
2012-02-10,-0.8571
2012-02-13,-9.2219
2012-02-15,-12.6984
2012-02-16,35.6364
2012-02-17,-9.919599999999999
2012-02-22,0.0
2012-02-23,11.0119
2012-02-24,-2.1448
2012-02-27,1.3699
2012-02-29,1.3514
2012-03-01,4.0
2012-03-02,-6.6699
2012-03-05,-4.3923
2012-03-06,-4.8850999999999996
2012-03-08,-4.6828
2012-03-13,-4.9128
2012-03-14,-1.0
2012-03-15,13.1313
2012-03-16,-3.2738
2012-03-21,7.6923
2012-03-22,-3.7143
2012-03-26,0.0
2012-03-27,2.0772
2012-03-30,13.9535
2012-04-02,2.0408
2012-04-04,-6.25
2012-04-05,12.0
2012-04-09,17.1429
2012-04-11,9.5528
2012-04-12,-9.2764
2012-04-13,-6.953
2012-04-16,6.5934
2012-04-17,9.2784
2012-04-18,-1.1320999999999999
2012-04-20,7.6336
2012-04-25,1.9504000000000001
2012-04-26,-9.0435
2012-04-27,-4.2065
2012-04-30,11.5768
2012-05-01,-10.5546
2012-05-02,5.0
2012-05-03,6.0952
2012-05-04,-1.0772
2012-05-10,-1.6334
2012-05-14,-4.059
2012-05-15,-12.5
2012-05-16,8.1319
2012-05-17,-5.2846
2012-05-21,-2.5751
2012-05-22,0.2203
2012-05-23,-0.8791
2012-05-24,10.8647
2012-05-30,8.526299999999999
2012-05-31,4.1223
2012-06-01,-2.3009
2012-06-05,2.3551
2012-06-06,-0.177
2012-06-08,-1.5957
2012-06-12,1.8018
2012-06-13,-2.6549
2012-06-18,-1.4545
2012-06-21,-4.059
2012-06-22,-1.1538
2012-06-26,-0.2918
2012-06-28,-11.4146
2012-06-29,0.0
2012-07-10,0.0
2012-07-12,0.0
2012-07-16,-0.8811
2012-07-17,-3.5556
2012-07-18,-6.9124
2012-07-20,2.2277
2012-07-23,-3.1477
2012-07-25,0.0
2012-07-31,0.0
2012-08-06,-2.25
2012-08-07,1.023
2012-08-14,-2.7848
2012-08-16,-11.4583
2012-08-21,5.8824
2012-08-23,1.9444
2012-08-27,-0.8174
2012-08-28,-5.4945
2012-08-29,-2.6163
2012-09-04,-23.5075
2012-09-05,54.1463
2012-09-06,-3.2911
2012-09-07,2.6178
2012-09-10,-1.2755
2012-09-12,-3.6176
2012-09-13,0.0
2012-09-24,-5.0938
2012-09-25,10.1695
2012-09-26,16.6667
2012-09-27,6.3736
2012-09-28,-0.6198
2012-10-01,-3.5343
2012-10-02,-7.9741
2012-10-03,6.5574
2012-10-04,-1.0989
2012-10-05,1.1111
2012-10-08,-13.1841
2012-10-10,13.9204
2012-10-11,0.0
2012-10-15,0.0
2012-10-16,0.0
2012-10-17,-11.1111
2012-10-18,7.25
2012-10-22,-3.2634
2012-10-23,1.9277
2012-10-24,7.5649999999999995
2012-10-25,0.0
2012-10-26,0.4396
2012-11-01,1.7505
2012-11-02,1.078
2012-11-05,1.0611
2012-11-06,0.0
2012-11-07,-7.3684
2012-11-08,-2.0455
2012-11-09,0.9281
2012-11-16,11.2644
2012-11-19,-11.157
2012-11-20,-6.9738
2012-11-29,-3.003
2012-11-30,26.2887
2012-12-03,-13.4694
2012-12-04,-6.8396
2012-12-06,-2.0253
2012-12-10,-4.6512
2012-12-11,-0.813
2012-12-12,3.8286
2012-12-13,-0.0033
2012-12-17,-7.1053
2012-12-18,5.949
2012-12-19,0.5348
2012-12-20,-1.5957
2012-12-24,1.3514
2012-12-26,0.0
2012-12-31,8.5333
2013-01-02,0.3686
2013-01-04,-0.3672
2013-01-07,2.9484
2013-01-08,1.1903
2013-01-09,2.5974
2013-01-10,1.5171999999999999
2013-01-11,7.5634
2013-01-14,-4.0
2013-01-16,6.0526
2013-01-17,1.2097
2013-01-18,0.1124
2013-01-23,-4.0816
2013-01-24,-2.3404
2013-01-25,-9.3682
2013-01-28,0.0
2013-01-29,-0.2404
2013-01-30,6.4578
2013-02-01,-0.4074
2013-02-04,0.6818
2013-02-05,-1.1287
2013-02-07,0.4538
2013-02-08,0.0028
2013-02-12,-5.6818
2013-02-13,2.4096
2013-02-14,3.4941
2013-02-15,1.1709
2013-02-19,2.2472
2013-02-20,4.3956
2013-02-21,0.0
2013-02-22,0.0
2013-02-25,-5.05
2013-02-26,5.0969
2013-02-27,-4.0084
2013-03-01,0.6593
2013-03-04,-7.2926
2013-03-05,-0.1413
2013-03-07,7.783
2013-03-11,-3.9387
2013-03-14,2.9584
2013-03-15,-0.661
2013-03-26,-6.9042
2013-03-27,1.1962
2013-04-01,-1.8913
2013-04-04,-1.2048
2013-04-05,1.9512
2013-04-09,0.2392
2013-04-10,-0.9517
2013-04-11,3.6113
2013-04-12,-3.2558
2013-04-15,2.4038
