ticker,SITE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-24,-2.5914
2018-04-25,-4.1291
2018-04-26,-0.5637
2018-04-27,0.2035
2018-04-30,-0.6382
2018-05-01,0.3942
2018-05-02,3.8825
2018-05-03,2.2816
2018-05-04,0.8211
2018-05-07,0.3122
2018-05-08,-0.2706
2018-05-09,0.9769
2018-05-10,1.7468
2018-05-11,1.9017
2018-05-14,0.4147
2018-05-15,-0.6066
2018-05-16,2.4932
2018-05-17,2.2045
2018-05-18,0.1612
2018-05-21,-1.0644
2018-05-22,-3.6402
2018-05-23,-0.8568
2018-05-24,-0.55
2018-05-25,-1.6458
2018-05-29,-1.4726
2018-05-30,1.0054
2018-05-31,1.7622
2018-06-01,3.6748
2018-06-04,0.5993
2018-06-05,0.621
2018-06-06,2.2043
2018-06-07,3.1797
2018-06-08,3.4161
2018-06-11,0.6699
2018-06-12,2.2258
2018-06-13,-1.1897
2018-06-14,2.1013
2018-06-15,0.7009
2018-06-18,1.4693
2018-06-19,0.5553
2018-06-20,2.3387000000000002
2018-06-21,-2.6344
2018-06-22,-2.6513
2018-06-25,-2.1989
2018-06-26,0.1484
2018-06-27,-0.9117
2018-06-28,-3.7033
2018-06-29,0.2866
2018-07-02,0.8694
2018-07-03,-4.4982
2018-07-05,0.9025
2018-07-06,2.1931
2018-07-09,-0.036
2018-07-10,0.5637
2018-07-11,-1.3834
2018-07-12,3.1564
2018-07-13,0.9379
2018-07-16,-0.6156
2018-07-17,2.6762
2018-07-18,2.7771
2018-07-19,2.6689
2018-07-20,0.4207
2018-07-23,-2.6959999999999997
2018-07-24,-2.1857
2018-07-25,-1.027
2018-07-26,0.0228
2018-07-27,0.399
2018-07-30,-2.5661
2018-07-31,3.904
2018-08-01,-5.9444
2018-08-02,6.2843
2018-08-03,0.819
2018-08-06,2.2034
2018-08-07,1.5026000000000002
2018-08-08,-0.2038
2018-08-09,0.0967
2018-08-10,-1.2457
2018-08-13,-3.2514
2018-08-14,0.8093
2018-08-15,-1.5274999999999999
2018-08-16,0.3284
2018-08-17,0.3837
2018-08-20,0.3373
2018-08-21,1.2213
2018-08-22,0.2325
2018-08-23,-1.1264
