ticker,TXIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-10-05,2.9412000000000003
2011-10-06,0.0
2011-10-07,-3.8857
2011-10-10,-2.497
2011-10-11,-10.9756
2011-10-12,1.3699
2011-10-13,-1.3514
2011-10-14,-15.0685
2011-10-17,1.6129
2011-10-19,-7.9365
2011-10-20,5.1724
2011-10-21,-8.1967
2011-10-24,-7.1429
2011-10-25,-23.0769
2011-10-26,-7.5
2011-10-27,0.0
2011-10-28,-8.1081
2011-10-31,32.3529
2011-11-01,28.8889
2011-11-02,0.0
2011-11-03,-1.7241
2011-11-04,5.2632
2011-11-07,-8.3333
2011-11-08,0.0
2011-11-09,-9.0909
2011-11-10,-2.0
2011-11-11,16.3265
2011-11-14,7.0175
2011-11-15,-1.6393
2011-11-16,0.0
2011-11-18,-3.3333
2011-11-21,-18.1034
2011-11-22,1.0526
2011-11-23,22.9167
2011-11-25,0.0
2011-11-28,1.6949
2011-11-29,0.0
2011-12-01,-8.3333
2011-12-02,0.0
2011-12-05,18.1818
2011-12-06,0.0
2011-12-07,7.6923
2011-12-08,14.2857
2011-12-09,-12.5
2011-12-12,22.8571
2011-12-13,-1.1628
2011-12-14,0.0
2011-12-15,0.0
2011-12-16,0.0
2011-12-19,0.0
2011-12-20,-5.8824
2011-12-21,-4.375
2011-12-22,11.1111
2011-12-23,-11.7647
2011-12-27,13.3333
2011-12-28,-11.7647
2011-12-29,0.0
2011-12-30,4.0
2012-01-03,15.3846
2012-01-04,0.0
2012-01-05,-5.5556
2012-01-06,0.0
2012-01-09,-1.1764999999999999
2012-01-10,1.1905000000000001
2012-01-11,-8.2353
2012-01-12,-3.8462
2012-01-17,0.0
2012-01-18,20.0
2012-01-19,-5.5556
2012-01-20,0.0
2012-01-23,0.0
2012-01-24,-11.7647
2012-01-25,1.3333
2012-01-26,11.8421
2012-01-27,0.0
2012-02-01,0.0
2012-02-02,0.0
2012-02-03,2.3529
2012-02-06,-2.2989
2012-02-07,22.352899999999998
2012-02-08,-4.8077
2012-02-09,-7.0707
2012-02-13,0.0
2012-02-14,0.0
2012-02-15,0.0
2012-02-16,-7.6087
2012-02-17,0.0
2012-02-21,5.8824
2012-02-22,-5.5556
2012-02-23,0.0
2012-02-24,0.0
2012-02-27,0.0
2012-02-28,11.7647
2012-02-29,-10.526299999999999
2012-03-01,-5.8824
2012-03-02,12.5
2012-03-06,-5.5556
2012-03-07,-11.7647
2012-03-08,0.0
2012-03-12,17.3333
2012-03-13,-14.7727
2012-03-14,0.0
2012-03-15,0.0
2012-03-16,1.3333
2012-03-19,-7.8947
2012-03-20,0.0
2012-03-21,1.4285999999999999
2012-03-22,1.4085
2012-03-23,0.0
2012-03-26,31.9444
2012-03-27,-10.526299999999999
2012-03-28,-17.647100000000002
2012-03-29,14.2857
2012-03-30,23.75
2012-04-02,-4.0404
2012-04-03,-10.526299999999999
2012-04-04,5.8824
2012-04-05,0.0
2012-04-09,0.0
2012-04-11,-4.4444
2012-04-12,4.6512
2012-04-13,-16.6667
2012-04-16,0.0
2012-04-17,1.3333
2012-04-18,3.9474
2012-04-19,0.0
2012-04-23,0.0
2012-04-24,-5.0633
2012-04-25,5.3333
2012-04-26,0.0
2012-04-27,0.0
2012-04-30,-8.8608
2012-05-01,6.9444
2012-05-02,-5.1948
2012-05-03,0.1113
2012-05-07,2.6254999999999997
2012-05-08,-6.6667
2012-05-09,-25.7143
2012-05-10,34.6154
2012-05-14,-7.1429
2012-05-15,7.6923
2012-05-16,-7.1429
2012-05-17,1.5385
2012-05-18,0.1231
2012-05-21,-1.6362
2012-05-22,0.0
2012-05-23,0.0
2012-05-24,7.6923
2012-05-25,-7.1429
2012-05-29,0.0
2012-05-30,23.0769
2012-05-31,-18.75
2012-06-01,1.5385
2012-06-05,21.2121
2012-06-06,-18.75
2012-06-07,0.0
2012-06-08,20.0
2012-06-11,7.6923
2012-06-12,-22.619
2012-06-13,29.2308
2012-06-14,-4.7619
2012-06-15,-16.25
2012-06-18,19.403
2012-06-25,-8.75
2012-06-26,-12.3288
2012-06-27,14.0625
2012-06-28,-15.3425
2012-06-29,0.3236
2012-07-03,0.0
2012-07-05,0.0
2012-07-06,0.0
2012-07-09,25.8065
2012-07-10,-20.7692
2012-07-11,0.0
2012-07-12,-33.657
2012-07-13,42.6829
2012-07-16,11.1111
2012-07-17,-46.1538
2012-07-18,40.9643
2012-07-19,31.7456
2012-07-20,0.0
2012-07-23,0.0
2012-07-24,-23.0769
2012-07-25,-34.0
2012-07-26,112.1212
2012-07-30,-8.5714
2012-07-31,21.875
2012-08-01,1.2821
2012-08-03,-45.9889
2012-08-06,64.0545
2012-08-09,-14.2857
2012-08-13,-23.6979
2012-08-14,-0.3959
2012-08-15,0.0
2012-08-16,1.3158
2012-08-17,29.8701
2012-08-20,-25.8333
2012-08-21,23.5955
2012-08-23,-9.0909
2012-08-28,2.0
2012-08-31,-1.9607999999999999
2012-09-04,-8.675
2012-09-05,0.0
2012-09-06,0.0
2012-09-07,0.0
2012-09-10,2.9291
2012-09-12,8.5106
2012-09-13,-19.4363
2012-09-17,0.0
2012-09-18,0.0
2012-09-19,2.2209
2012-09-20,-2.1726
2012-09-21,24.1253
2012-09-24,-21.5686
2012-09-25,0.0
2012-09-26,20.0
2012-09-27,14.5833
2012-10-01,12.0568
2012-10-03,-3.9753
2012-10-04,16.591
2012-10-05,-0.0996
2012-10-08,-20.2104
2012-10-09,18.1818
2012-10-11,-35.7692
2012-10-12,4.7455
2012-10-15,-25.6824
