ticker,WRLC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-11-27,0.6061
2019-12-03,-0.6024
2019-12-06,0.0
2019-12-09,-1.5152
2019-12-11,0.0
2019-12-13,2.1538
2019-12-17,0.6024
2019-12-24,-4.1916
2019-12-26,-1.875
2019-12-30,-1.2739
2020-01-06,4.8387
2020-01-10,-7.6923
2020-01-13,0.0
2020-01-14,0.0
2020-01-16,4.1667
2020-01-17,-1.44
2020-01-24,2.2727
2020-01-28,6.0317
2020-01-30,-1.1976
2020-01-31,0.6061
2020-02-04,-11.1416
2020-02-05,-1.3592
2020-02-07,5.4948
2020-02-10,0.0
2020-02-11,-2.6027
2020-02-12,11.7057
2020-02-13,-10.1796
2020-02-14,3.3333
2020-02-20,-2.9032
2020-02-24,0.9967
2020-02-27,0.2467
2020-03-02,6.9729
2020-03-03,-0.3067
2020-03-04,-4.6154
2020-03-06,-2.5806
2020-03-11,0.0
2020-03-12,-0.3311
2020-03-17,-8.6047
2020-03-18,-0.0364
2020-03-20,0.0
2020-03-23,0.3636
2020-03-24,-2.1739
2020-03-31,15.5556
2020-04-08,7.0513
2020-04-23,-10.1796
2020-04-27,0.3333
2020-04-28,0.0
2020-04-29,0.6645
2020-04-30,0.0
2020-05-04,0.33
2020-05-05,0.0
2020-05-06,0.3289
2020-05-07,9.5082
2020-05-13,-10.479
2020-05-14,4.6655999999999995
2020-05-15,2.2528
2020-05-26,0.0
2020-05-27,3.125
2020-06-01,1.2121
2020-06-09,-6.8862
2020-06-11,0.0
2020-06-15,5.1447
2020-06-16,2.0795
2020-06-22,-1.7376
2020-06-25,-5.4878
2020-06-26,6.129
2020-06-30,0.0
2020-07-02,-1.2158
2020-07-06,-2.4615
2020-07-08,2.5237
2020-07-09,0.0
2020-07-13,0.6154
2020-07-15,0.0
2020-07-16,-3.0581
2020-07-28,4.4164
2020-07-29,0.0
2020-07-30,0.0
