ticker,BBGP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-12-27,0.0
2012-12-28,-6.5217
2012-12-31,-2.3256
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-15,14.2857
2013-01-16,300.0
2013-01-17,-75.0
2013-01-18,233.3333
2013-01-23,-58.75
2013-01-28,0.0
2013-01-31,0.0
2013-02-06,0.0
2013-02-08,21.2121
2013-02-11,-17.5
2013-02-13,0.0
2013-02-21,-15.1515
2013-02-22,0.0
2013-02-25,0.0
2013-02-28,42.8571
2013-03-05,0.0
2013-03-06,0.0
2013-03-08,0.0
2013-03-11,97.5
2013-03-15,-49.3671
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-22,40.0
2013-03-25,-28.5714
2013-04-08,0.0
2013-04-10,0.0
2013-04-18,0.0
2013-04-19,80.0
2013-04-23,-44.4444
2013-04-25,20.0
2013-04-26,-16.6667
2013-04-29,-20.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-06,0.0
2013-05-13,0.0
2013-05-16,0.0
2013-05-23,0.0
2013-05-24,25.0
2013-05-28,-20.0
2013-05-30,0.0
2013-05-31,25.0
2013-06-06,-20.0
2013-06-12,0.0
2013-06-17,-25.0
2013-06-26,16.6667
2013-06-28,0.0
2013-07-02,-8.9286
2013-07-03,9.8039
2013-07-05,0.0
2013-07-19,0.0
2013-07-29,0.0
2013-08-06,0.0
2013-08-13,0.0
2013-08-15,0.0
2013-08-16,185.7143
2013-08-19,-70.0
2013-08-23,0.0
2013-08-29,0.0
2013-09-04,16.6667
2013-09-10,0.0
2013-09-12,14.2857
2013-09-17,0.0
2013-09-18,0.0
2013-09-20,0.0
2013-09-24,-12.5
2013-09-25,0.0
2013-09-26,0.0
2013-09-27,0.0
2013-10-01,0.0
2013-10-02,0.0
2013-10-04,0.0
2013-10-07,3.5714
2013-10-09,0.0
2013-10-14,6.8966
2013-10-15,-22.5806
2013-11-04,33.3333
2013-11-06,0.0
2013-11-08,-25.0
2013-11-13,0.0
2013-11-18,0.0
2013-11-20,33.3333
2013-11-21,-25.0
2013-11-25,0.0
2013-11-26,6.25
2013-11-29,3.9215999999999998
2013-12-02,0.0
2013-12-03,-9.434
2013-12-04,0.0
2013-12-05,0.0
2013-12-09,0.0
2013-12-11,0.0
2013-12-12,0.0
2013-12-16,0.0
2013-12-17,-16.6667
2013-12-18,0.0
2013-12-19,0.0
2013-12-20,0.0
2013-12-23,0.0
2013-12-26,0.0
2013-12-27,0.0
2013-12-30,0.0
2013-12-31,0.0
2014-01-14,0.0
2014-01-15,0.0
2014-01-17,0.0
2014-01-21,0.0
2014-01-31,5.0
2014-02-05,7.1429
2014-02-11,-6.6667
2014-02-13,7.1429
2014-02-14,0.0
2014-02-21,0.0
2014-02-26,0.0
2014-02-28,0.0
2014-03-03,0.0
2014-03-04,0.0
2014-03-11,-6.6667
2014-03-13,21.4286
2014-03-14,-17.647100000000002
2014-03-17,223.8095
2014-03-18,-38.9706
2014-03-19,-42.1687
2014-03-24,33.3333
2014-03-25,3.125
2014-03-31,-15.1515
2014-04-01,0.0
2014-04-02,14.2857
2014-04-04,-20.3125
2014-04-07,0.0
2014-04-08,-1.9607999999999999
2014-04-09,0.0
2014-04-11,-4.0
2014-04-16,4.1667
2014-04-23,2.0
2014-04-28,3.9215999999999998
2014-05-01,15.0943
2014-05-02,0.0
2014-05-08,0.0
2014-05-09,-21.3115
2014-05-12,0.0
2014-05-13,0.0
2014-05-19,4.1667
2014-05-20,-4.0
2014-06-02,0.0
2014-06-03,95.8333
2014-06-04,-48.9362
2014-06-05,195.8333
2014-06-06,-66.1972
2014-06-09,6.25
2014-06-13,-5.8824
2014-06-16,0.0
2014-06-19,-10.4167
2014-06-20,0.0
2014-06-23,0.0
2014-06-27,0.0
2014-07-01,6.9767
2014-07-02,0.0
2014-07-03,-6.5217
2014-07-10,0.0
2014-07-15,0.0
2014-07-17,0.0
2014-07-18,4.6512
2014-07-24,0.0
2014-07-28,0.0
2014-07-29,0.0
2014-07-31,0.0
2014-08-06,0.0
2014-08-29,0.0
2014-09-02,2.2222
2014-09-03,-2.1739
2014-09-08,0.0
2014-09-09,0.0
2014-09-11,-4.4444
2014-09-12,-6.9767
2014-09-15,0.0
2014-09-23,0.0
2014-09-29,0.0
2014-09-30,-20.0
2014-10-01,6.25
2014-10-02,41.1765
2014-10-03,-16.6667
2014-10-06,0.0
2014-10-08,0.0
2014-10-13,0.0
2014-10-20,0.0
2014-10-21,0.0
2014-10-23,-15.0
2014-10-27,0.0
2014-10-28,0.0
2014-10-29,0.0
2014-11-04,0.0
2014-11-05,0.0
2014-11-10,0.0
2014-11-13,-5.8824
2014-11-18,0.0
2014-11-21,0.0
2014-11-24,0.0
2014-12-01,0.0
2014-12-02,0.0
2014-12-04,-31.25
2014-12-05,0.0
2014-12-08,0.0
2014-12-09,45.4545
2014-12-10,0.0
2014-12-11,-31.25
2014-12-16,0.0
2014-12-17,0.0
2014-12-18,0.0
2014-12-22,0.0
2014-12-26,0.0
2014-12-29,0.0
2014-12-30,0.0
2014-12-31,0.0
2015-01-08,0.0
2015-01-15,9.0909
2015-01-16,0.0
2015-01-21,91.6667
2015-01-22,-13.0435
2015-01-23,0.0
2015-01-29,0.0
2015-02-02,0.0
2015-02-04,0.0
2015-02-06,-20.0
2015-02-09,0.0
2015-02-11,0.0
2015-02-13,6.25
2015-02-18,0.0
2015-02-19,-23.5294
2015-03-02,0.0
2015-03-09,0.0
2015-03-10,0.0
2015-03-11,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-24,0.0
2015-03-27,134.6154
2015-04-08,-55.7377
2015-04-10,0.0
2015-04-15,0.0
2015-04-16,-18.5185
2015-04-17,9.0909
2015-04-27,-8.3333
2015-05-01,22.7273
2015-05-04,-18.5185
2015-05-13,0.0
2015-05-18,0.0
2015-05-21,0.0
2015-05-26,0.0
2015-05-27,18.1818
2015-05-28,0.0
2015-06-03,207.6923
2015-06-04,7.5
