ticker,HONT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-07,0.0
2017-12-08,0.0
2017-12-13,0.0
2017-12-19,0.0
2017-12-20,1.9108
2017-12-26,0.0
2018-01-02,-1.8731
2018-01-03,-0.7614
2018-01-08,-0.2814
2018-01-09,-0.8813
2018-01-24,0.0
2018-01-26,0.0
2018-02-05,0.0
2018-02-08,0.0
2018-02-13,1.3986
2018-02-26,0.4056
2018-02-27,-1.3793
2018-02-28,0.8991
2018-03-02,-0.8911
2018-03-06,0.8991
2018-03-07,3.9604
2018-04-03,-3.8095
2018-04-06,0.0
2018-04-16,2.9703
2018-04-17,-3.75
2018-04-18,0.002
2018-04-26,3.894
2018-05-08,-2.8846
2018-05-09,4.9505
2018-05-14,0.9198
2018-05-15,2.7542
2018-05-29,5.0228
2018-05-31,-4.3478
2018-06-01,-4.0455
2018-06-15,0.4263
2018-06-28,-0.2358
2018-06-29,-1.6548
2018-07-03,4.8077
2018-07-06,0.9174
2018-07-10,-4.7273
2018-07-13,0.1908
2018-07-17,0.0
2018-08-01,1.0095
2018-08-16,0.5689
2018-08-17,-0.0009
2018-08-29,1.6471
2018-08-31,0.0
2018-09-07,0.0
2018-09-12,0.0
2018-09-13,-0.0278
2018-09-26,0.0278
2018-10-10,1.8519
2018-10-11,-2.3455
2018-10-15,-1.7873999999999999
2018-10-18,-0.3791
2018-10-24,0.0
2018-11-16,1.2803
2018-11-28,17.9245
2018-11-30,-16.0
2018-12-03,19.0476
2018-12-11,-14.4
2018-12-12,0.0
2018-12-18,-1.4019
2018-12-19,0.0
2018-12-20,0.0
2018-12-27,0.0095
2019-01-04,0.4644
2019-01-10,0.0
2019-01-11,-0.5189
2019-01-14,0.5216
2019-01-15,0.0
2019-01-22,-0.7075
2019-01-31,0.0475
2019-02-01,0.0
2019-02-19,2.0885
2019-02-20,0.0
2019-02-22,-0.028
2019-02-26,2.7378
2019-02-28,-3.5942
2019-04-09,1.181
2019-05-06,2.5641
2019-05-16,-2.0902
2019-05-21,1.1466
2019-05-22,0.0
2019-05-23,0.0
2019-05-29,-0.4608
2019-05-31,9.2593
2019-06-04,-8.4746
2019-06-10,0.0
2019-06-19,0.0
2019-07-11,0.9352
2019-07-29,1.3668
2019-08-13,3.6198
2019-08-15,-2.2443
2019-08-16,3.1390000000000002
2019-08-19,-3.4783
2019-08-20,3.6036
2019-08-21,0.0
2019-08-23,0.0
2019-08-28,0.0
2019-08-30,1.7391
2019-09-10,-4.2735
2019-09-25,-0.8929
2019-09-27,6.3063
2019-10-22,-4.2288
2019-11-12,1.7609
2019-11-13,-0.2174
2019-11-19,-0.2537
2019-11-26,0.8772
2019-11-29,3.4783
2019-12-03,-3.5714
2019-12-06,1.0893
2019-12-27,3.4483
2020-01-02,0.8333
2020-01-03,0.0
2020-01-09,-0.8182
2020-01-17,-0.4166
2020-01-24,-0.8451
2020-01-29,0.4219
2020-02-03,0.0
2020-02-05,4.2017
2020-02-26,41.6545
2020-02-27,-34.2857
2020-02-28,0.0
2020-03-04,0.0087
2020-03-09,-0.0087
2020-03-20,-4.3478
2020-03-23,0.0
2020-03-25,0.0
2020-03-31,59.0909
2020-04-06,-34.2857
2020-04-09,-4.3479
2020-04-24,4.5455
2020-04-28,39.1304
2020-05-12,-25.0
2020-05-21,-3.7979000000000003
2020-05-27,2.6087
2020-05-29,0.0
2020-06-01,-6.7797
2020-06-04,7.2727
2020-06-09,-5.0847
2020-06-10,2.6786
2020-06-29,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-23,0.0
