ticker,BGMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-14,3.8834999999999997
2013-02-15,-3.271
2013-02-19,-6.2802
2013-02-20,-1.5464
2013-02-21,-1.0471
2013-02-22,1.0582
2013-02-25,-2.6178
2013-02-26,-3.7634
2013-02-27,3.9106
2013-02-28,-7.5269
2013-03-01,-3.4884
2013-03-04,-4.8193
2013-03-05,5.0633
2013-03-06,3.6145
2013-03-07,0.0
2013-03-08,1.1628
2013-03-11,-1.1494
2013-03-12,5.814
2013-03-13,2.1978
2013-03-14,-3.2258
2013-03-15,3.3333
2013-03-18,3.7634
2013-03-19,-3.1088
2013-03-20,0.5348
2013-03-21,-0.5319
2013-03-22,0.0
2013-03-25,1.0695000000000001
2013-03-26,-0.5291
2013-03-27,-1.0638
2013-03-28,4.8387
2013-04-01,-7.6923
2013-04-02,-5.0
2013-04-03,-0.5848
2013-04-04,3.5294
2013-04-05,1.1364
2013-04-08,-5.0562
2013-04-09,0.0
2013-04-10,3.5503
2013-04-11,1.7143000000000002
2013-04-12,-2.809
2013-04-15,-1.7341
2013-04-16,2.3529
2013-04-17,-2.8736
2013-04-18,-5.9172
2013-04-19,5.0314
2013-04-22,2.9939999999999998
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-26,-1.7442
2013-04-29,-1.7751000000000001
2013-04-30,-0.6024
2013-05-01,-2.4242
2013-05-02,1.8634
2013-05-03,9.7561
2013-05-06,-2.2222
2013-05-07,0.0
2013-05-08,3.4091
2013-05-09,-4.9451
2013-05-10,-3.4682
2013-05-13,0.0
2013-05-14,3.5928
2013-05-15,-1.1561
2013-05-16,-1.1696
2013-05-17,0.0
2013-05-20,-0.5917
2013-05-21,8.9286
2013-05-22,-3.2787
2013-05-23,1.1299
2013-05-24,-3.9106
2013-05-28,13.3721
2013-05-29,-6.1538
2013-05-30,0.0
2013-05-31,-1.6393
2013-06-03,-2.2222
2013-06-04,-1.7045
2013-06-05,-1.1561
2013-06-06,-0.5848
2013-06-07,0.5882
2013-06-10,-2.3392
2013-06-11,-3.5928
2013-06-12,4.3478
2013-06-13,-0.5952
2013-06-14,-2.3952
2013-06-17,-3.681
2013-06-18,-7.6433
2013-06-19,-3.4483
2013-06-20,-2.1429
2013-06-21,-0.7299
2013-06-24,-8.0882
2013-06-25,4.4
2013-06-26,-1.9157
2013-06-27,-0.7813
2013-06-28,4.7244
2013-07-01,-4.5113
2013-07-02,-3.1496
2013-07-03,0.0
2013-07-05,-4.878
2013-07-08,0.8547
2013-07-09,-3.3898
2013-07-10,0.8772
2013-07-11,4.3478
2013-07-12,-1.6667
2013-07-15,0.0
2013-07-16,2.5423999999999998
2013-07-17,9.9174
2013-07-18,-2.2556
2013-07-19,0.0
2013-07-22,-4.6154
2013-07-23,-4.0323
2013-07-24,2.521
2013-07-25,4.918
2013-07-26,0.0
2013-07-29,-0.7813
2013-07-30,0.7874
2013-07-31,-4.6875
2013-08-01,-1.6393
2013-08-02,1.6667
2013-08-05,11.4754
2013-08-06,0.0
2013-08-07,1.4706000000000001
2013-08-08,-18.8406
2013-08-09,-13.392900000000001
2013-08-12,-11.3402
2013-08-13,1.1628
2013-08-14,12.069
2013-08-15,-6.6667
2013-08-16,-1.7445
2013-08-19,2.3557
2013-08-20,-0.5668
2013-08-21,2.0192
2013-08-22,-0.9021
2013-08-23,1.9701
2013-08-26,4.0773
2013-08-27,-4.6665
2013-08-28,-1.8599
2013-08-29,-0.3421
2013-08-30,-0.0412
2013-09-03,-1.1401
2013-09-04,-0.3891
2013-09-05,0.7114
2013-09-06,-1.385
2013-09-09,1.5169000000000001
2013-09-10,1.4734
2013-09-11,1.452
2013-09-12,-1.0886
2013-09-13,-2.1875
2013-09-16,2.2364
2013-09-17,1.087
2013-09-18,-3.2258
2013-09-19,0.0
2013-09-20,0.0
2013-09-23,-3.3333
2013-09-24,-0.5316
2013-09-25,1.69
2013-09-26,-1.8963
2013-09-27,0.543
2013-09-30,6.0052
2013-10-01,-4.7208
2013-10-02,-2.9515000000000002
2013-10-03,-4.2092
2013-10-04,-0.7362
2013-10-07,1.5683
2013-10-08,-9.4774
2013-10-09,-17.133
2013-10-10,5.4553
2013-10-11,-1.8173
2013-10-14,-6.3755
2013-10-15,-7.6777999999999995
2013-10-16,2.4473
2013-10-17,9.7987
2013-10-18,11.2208
2013-10-21,-4.3652
2013-10-22,-1.5152
2013-10-23,1.5192
2013-10-24,-6.0428
2013-10-25,-3.246
2013-10-28,-4.0633
2013-10-29,1.3032
2013-10-30,3.3662
2013-10-31,-1.5972
2013-11-01,4.1948
2013-11-04,2.2861000000000002
2013-11-05,-1.1076
2013-11-06,-2.4
2013-11-07,1.6393
2013-11-08,-7.9335
2013-11-11,3.887
2013-11-12,1.1804000000000001
2013-11-13,4.1458
2013-11-14,-0.7201
2013-11-15,-2.9619
2013-11-18,-1.9933999999999998
2013-11-19,-3.3581
2013-11-20,5.1189
2013-11-21,-4.9009
2013-11-22,-0.1425
2013-11-25,0.1427
2013-11-26,3.5088
2013-11-27,5.0847
2013-11-29,-0.0504
2013-12-02,-3.2779
2013-12-03,-2.3983
2013-12-04,-0.6624
2013-12-05,-1.0002
2013-12-06,4.0956
2013-12-09,-3.1517
2013-12-10,86.2069
