ticker,RNG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-01-12,1.4535
2018-01-16,-3.2474
2018-01-17,1.6782
2018-01-18,3.301
2018-01-19,1.7856999999999998
2018-01-22,-0.554
2018-01-23,-0.7428
2018-01-24,-1.4967
2018-01-25,1.1396
2018-01-26,4.1315
2018-01-29,-3.5167
2018-01-30,1.7757
2018-01-31,-0.2755
2018-02-01,0.0921
2018-02-02,-2.2079
2018-02-05,-4.5155
2018-02-06,1.8719000000000001
2018-02-07,1.9342000000000001
2018-02-08,-0.759
2018-02-09,-0.478
2018-02-12,2.4976
2018-02-13,7.1228
2018-02-14,1.2248
2018-02-15,6.7416
2018-02-16,2.1862
2018-02-20,2.6941
2018-02-21,-3.9352
2018-02-22,0.0803
2018-02-23,1.6051
2018-02-26,0.237
2018-02-27,0.8668
2018-02-28,-2.1094
2018-03-01,-0.0798
2018-03-02,1.8371
2018-03-05,1.6471
2018-03-06,-0.1543
2018-03-07,1.7002000000000002
2018-03-08,0.3799
2018-03-09,0.757
2018-03-12,0.9016
2018-03-13,-1.5636999999999999
2018-03-14,2.9501
2018-03-15,0.0735
2018-03-16,0.3671
2018-03-19,-1.4631
2018-03-20,1.7816999999999998
2018-03-21,-0.1459
2018-03-22,-1.9722
2018-03-23,-1.7139
2018-03-26,2.8052
2018-03-27,-3.3923
2018-03-28,-5.4198
2018-03-29,2.502
2018-04-02,-2.5984
2018-04-03,3.0719
2018-04-04,1.8824
2018-04-05,-0.4619
2018-04-06,-1.6240999999999999
2018-04-09,0.6289
2018-04-10,2.5781
2018-04-11,0.0762
2018-04-12,2.5114
2018-04-13,-1.7816999999999998
2018-04-16,0.6803
2018-04-17,3.1532
2018-04-18,0.5095
2018-04-19,-1.6655
2018-04-20,-1.1782
2018-04-23,-0.2235
2018-04-24,-1.5683
2018-04-25,-1.0622
2018-04-26,2.3006
2018-04-27,1.0495
2018-04-30,-0.5193
2018-05-01,1.4914
2018-05-02,1.9104
2018-05-03,0.4326
2018-05-04,-0.5743
2018-05-07,2.5993
2018-05-08,0.9148
2018-05-09,2.0921
2018-05-10,5.4645
2018-05-11,-2.5907
2018-05-14,-0.5319
2018-05-15,-1.6042999999999998
2018-05-16,2.5815
2018-05-17,1.8542999999999998
2018-05-18,-0.3251
2018-05-21,-2.9354
2018-05-22,-2.2849
2018-05-23,0.0688
2018-05-24,1.7182
2018-05-25,0.2027
2018-05-29,0.944
2018-05-30,1.4696
2018-05-31,-0.2633
2018-06-01,0.5941
2018-06-04,1.0499
2018-06-05,2.5974
2018-06-06,-1.4557
2018-06-07,-4.6885
2018-06-08,0.9434
2018-06-11,-0.2003
2018-06-12,3.0769
2018-06-13,1.0383
2018-06-14,0.0642
2018-06-15,0.6418
2018-06-18,2.4872
2018-06-19,-4.1693
2018-06-20,0.1299
2018-06-21,-2.7885999999999997
2018-06-22,-3.469
2018-06-25,-4.1465
2018-06-26,1.1536
2018-06-27,-2.9936
2018-06-28,4.1146
2018-06-29,-0.7057
2018-07-02,1.7058
2018-07-03,-0.7687
2018-07-05,1.0563
2018-07-06,4.4599
2018-07-09,-0.7338
2018-07-10,0.4032
2018-07-11,-0.4016
2018-07-12,5.8468
2018-07-13,-0.127
2018-07-16,0.2543
2018-07-17,3.6779
2018-07-18,1.5291000000000001
2018-07-19,-0.241
2018-07-20,-1.5097
2018-07-23,-0.0613
2018-07-24,-2.5766999999999998
2018-07-25,2.7077999999999998
2018-07-26,0.8584
2018-07-27,-2.7356
2018-07-30,-7.75
2018-07-31,-0.0678
2018-08-01,3.661
2018-08-02,3.4009
2018-08-03,0.6325
2018-08-06,2.3256
2018-08-07,6.8796
2018-08-08,0.0575
2018-08-09,0.0
2018-08-10,0.6318
2018-08-13,0.1712
2018-08-14,2.1083
2018-08-15,-1.0603
2018-08-16,0.5076
2018-08-17,0.2245
2018-08-20,0.056
2018-08-21,0.4477
2018-08-22,1.0585
2018-08-23,-0.0551
2018-08-24,3.2543
2018-08-27,-0.3739
2018-08-28,0.5362
2018-08-29,0.2133
2018-08-30,-1.5966
2018-08-31,0.7572
2018-09-04,1.5566
2018-09-05,-2.1142
2018-09-06,0.8099
2018-09-07,0.5892
2018-09-10,2.5559
2018-09-11,-0.1038
2018-09-12,0.6757
2018-09-13,-1.8585
2018-09-14,0.6839
2018-09-17,-4.1797
2018-09-18,1.9628999999999999
2018-09-19,-3.1551
2018-09-20,0.7731
2018-09-21,-1.589
2018-09-24,1.3363
2018-09-25,2.4725
2018-09-26,-0.3217
2018-09-27,1.1834
2018-09-28,-1.0633
2018-10-01,-2.8802
2018-10-02,-3.707
2018-10-03,1.2641
2018-10-04,-3.7108
2018-10-05,-0.7778
2018-10-08,-4.1454
2018-10-09,1.3507
2018-10-10,-6.4922
2018-10-11,-1.9351
2018-10-12,6.7733
2018-10-15,0.0874
2018-10-16,2.67
2018-10-17,-1.1666
2018-10-18,-3.4797000000000002
2018-10-19,-3.8089
2018-10-22,3.5492
2018-10-23,-0.7418
2018-10-24,-7.8727
2018-10-25,4.9091000000000005
2018-10-26,-3.6528
2018-10-29,-1.6051
2018-10-30,4.4437999999999995
2018-10-31,4.6587
2018-11-01,2.2385
2018-11-02,-3.0955
2018-11-05,-2.662
2018-11-06,1.174
2018-11-07,11.3924
2018-11-08,2.0597
2018-11-09,-2.9459999999999997
2018-11-12,-9.8351
2018-11-13,-0.3976
2018-11-14,-1.1577
2018-11-15,3.7426
2018-11-16,-0.8565
2018-11-19,-9.8691
2018-11-20,0.0726
2018-11-21,3.6279
2018-11-23,0.4201
2018-11-26,5.9406
2018-11-27,-1.4611
2018-11-28,5.4769
2018-11-29,1.1778
2018-11-30,3.7677
2018-12-03,1.9542000000000002
2018-12-04,-4.8864
2018-12-06,2.3759
2018-12-07,-3.062
2018-12-10,4.6628
2018-12-11,2.1078
2018-12-12,1.5598999999999998
2018-12-13,-1.6399
2018-12-14,-3.1701
2018-12-17,-6.0386
2018-12-18,3.3424
2018-12-19,0.3372
2018-12-20,-6.7953
2018-12-21,-4.5133
2018-12-24,-1.5382
2018-12-26,10.3394
2018-12-27,1.3
2018-12-28,0.9149
2018-12-31,3.8026
2019-01-02,-1.771
2019-01-03,-3.1612999999999998
2019-01-04,4.7819
2019-01-07,5.4033999999999995
2019-01-08,2.0321
2019-01-09,-1.0977
2019-01-10,-0.2517
2019-01-11,-0.3097
2019-01-14,-2.2552
2019-01-15,2.4838
2019-01-16,0.0459
2019-01-17,1.194
2019-01-18,3.5285
2019-01-22,-2.7068
2019-01-23,0.0
2019-01-24,0.5519
2019-01-25,2.498
2019-01-28,-3.0929
2019-01-29,-2.2556
2019-01-30,3.046
2019-01-31,3.5046
2019-02-01,2.1419
2019-02-04,1.7368999999999999
2019-02-05,0.4372
2019-02-06,-0.0933
2019-02-07,0.5913
2019-02-08,4.0635
2019-02-11,-1.0208
2019-02-12,6.0479
2019-02-13,-2.6438
2019-02-14,0.708
2019-02-15,0.7993
2019-02-19,-0.6401
2019-02-20,-0.0962
2019-02-21,0.1829
2019-02-22,1.7772999999999999
2019-02-25,-0.2737
2019-02-26,-0.2745
2019-02-27,0.1898
2019-02-28,-0.2558
2019-03-01,0.4369
2019-03-04,-2.0709
2019-03-05,0.7339
2019-03-06,-1.9843
2019-03-07,-0.6553
2019-03-08,0.3052
2019-03-11,2.6205
2019-03-12,0.4399
2019-03-13,0.7332
2019-03-14,0.6995
2019-03-15,-0.3192
2019-03-18,0.1318
2019-03-19,1.3261
2019-03-20,-0.065
2019-03-21,3.6222
2019-03-22,-4.4636
2019-03-25,-0.2721
2019-03-26,1.778
2019-03-27,-2.0057
2019-03-28,1.3865
2019-03-29,0.2884
2019-04-01,1.4193
2019-04-02,0.6494
2019-04-03,0.4998
2019-04-04,-5.2898
2019-04-05,1.5371000000000001
2019-04-08,-2.8397
2019-04-09,-0.0581
2019-04-10,0.0194
2019-04-11,2.2364
2019-04-12,0.1231
2019-04-15,0.5013
2019-04-16,-1.0164
2019-04-17,-0.9222
2019-04-18,1.2379
2019-04-22,2.7298999999999998
2019-04-23,2.7035
2019-04-24,0.2605
2019-04-25,1.3978
2019-04-26,1.9441000000000002
2019-04-29,0.5635
2019-04-30,0.3103
2019-05-01,-1.289
2019-05-02,0.5397
2019-05-03,3.4375
2019-05-06,1.3394
2019-05-07,-2.4038
2019-05-08,-0.0846
2019-05-09,4.1254
2019-05-10,-0.1546
2019-05-13,-5.6873000000000005
2019-05-14,2.108
2019-05-15,0.8038
2019-05-16,4.5745000000000005
2019-05-17,-0.8267
2019-05-20,-2.08
2019-05-21,1.2232
2019-05-22,0.0817
2019-05-23,-2.6597
2019-05-24,2.0199
2019-05-28,0.3615
2019-05-29,-2.5049
2019-05-30,1.3938
2019-05-31,-0.7536
2019-06-03,-4.6475
2019-06-04,3.3427
2019-06-05,1.3378
2019-06-06,1.6461000000000001
2019-06-07,0.485
2019-06-10,0.5399
2019-06-11,-3.3767
2019-06-12,-0.7916
2019-06-13,0.2971
2019-06-14,-0.1016
2019-06-17,-0.9234
2019-06-18,0.7781
2019-06-19,-0.1527
2019-06-20,1.725
2019-06-21,-4.1935
2019-06-24,-0.8458
2019-06-25,-2.2511
2019-06-26,-0.2159
2019-06-27,3.1825
2019-06-28,0.4107
2019-07-01,0.8006
2019-07-02,-0.8892
2019-07-03,1.1671
2019-07-05,1.7219
2019-07-08,1.295
2019-07-09,1.9218
2019-07-10,0.3361
2019-07-11,-0.0163
2019-07-12,0.4903
2019-07-15,0.2928
2019-07-16,-1.3135
2019-07-17,1.6515
2019-07-18,-0.2102
2019-07-19,-1.9844
2019-07-22,-0.0248
2019-07-23,-0.3802
2019-07-24,3.6673999999999998
2019-07-25,-1.5527
