ticker,INTEQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-03-07,15.5779
2016-03-08,-2.1739
2016-03-09,3.1111
2016-03-10,-4.7414
2016-03-11,1.3575
2016-03-14,2.6786
2016-03-15,-6.087
2016-03-16,6.4815
2016-03-17,7.8261
2016-03-18,4.8387
2016-03-21,8.0769
2016-03-22,-9.9644
2016-03-23,-5.1383
2016-03-24,-0.4167
2016-03-28,2.5105
2016-03-29,2.449
2016-03-30,0.0
2016-03-31,0.3984
2016-04-01,1.1905000000000001
2016-04-04,1.5686
2016-04-05,-4.2471
2016-04-06,0.0
2016-04-07,3.2258
2016-04-08,0.3906
2016-04-11,0.3891
2016-04-12,8.9147
2016-04-13,-0.3559
2016-04-14,-0.3571
2016-04-15,11.1111
2016-04-18,0.9677
2016-04-19,11.5016
2016-04-20,0.2865
2016-04-21,-1.4285999999999999
2016-04-22,3.1884
2016-04-25,1.4045
2016-04-26,2.7701000000000002
2016-04-27,-0.5391
2016-04-28,6.7751
2016-04-29,0.2538
2016-05-02,1.7722
2016-05-03,-2.7363
2016-05-04,-3.0691
2016-05-05,-4.4855
2016-05-06,-2.2099
2016-05-09,1.4123999999999999
2016-05-10,7.5209
2016-05-11,-0.7772
2016-05-12,0.0
2016-05-13,-9.6606
2016-05-16,-2.8902
2016-05-17,-2.0833
2016-05-18,-2.1277
2016-05-19,-3.4161
2016-05-20,9.3248
2016-05-23,-1.4706000000000001
2016-05-24,2.3881
2016-05-25,0.0
2016-05-26,-0.8746
2016-05-27,-2.3529
2016-05-31,-2.7108
2016-06-01,6.5015
2016-06-02,2.3256
2016-06-03,0.2841
2016-06-06,-0.5666
2016-06-07,-5.698
2016-06-08,1.2085
2016-06-09,-4.4776
2016-06-10,-3.125
2016-06-13,-20.6452
2016-06-14,-2.0325
2016-06-15,3.7344
2016-06-16,0.8
2016-06-17,5.5556
2016-06-20,1.8797000000000001
2016-06-21,0.369
2016-06-22,-7.7206
2016-06-23,-1.5936
2016-06-24,-6.8826
2016-06-27,-6.5217
2016-06-28,12.093
2016-06-29,4.5643
2016-06-30,2.3810000000000002
2016-07-01,0.0
2016-07-05,-5.814
2016-07-06,3.2922000000000002
2016-07-07,-2.7888
2016-07-08,7.377
2016-07-11,2.6718
2016-07-12,3.7175000000000002
2016-07-13,-3.5842
2016-07-14,0.0
2016-07-15,5.5762
2016-07-18,3.8731999999999998
2016-07-19,-3.0508
2016-07-20,-8.7413
2016-07-21,2.682
2016-07-22,-2.9851
2016-07-25,-3.0769
2016-07-26,-1.1905000000000001
2016-07-27,-5.2209
2016-07-28,-7.2034
2016-07-29,5.0228
2016-08-01,17.3913
2016-08-02,-2.5926
2016-08-03,-5.3232
2016-08-04,6.0241
2016-08-05,-2.2727
2016-08-08,3.1008
2016-08-09,-2.6316
2016-08-10,3.0888
2016-08-11,2.2472
2016-08-12,-1.4652
2016-08-15,3.7175000000000002
2016-08-16,-0.3584
2016-08-17,-0.7194
2016-08-18,2.5362
2016-08-19,-2.8269
2016-08-22,0.7273
2016-08-23,3.6101
2016-08-24,0.6969
2016-08-25,7.2664
2016-08-26,-8.0645
2016-08-29,9.473700000000001
2016-08-30,-9.9359
2016-08-31,-3.9146
2016-09-01,-4.8148
2016-09-02,7.0039
2016-09-06,4.3636
2016-09-07,-2.7875
2016-09-08,2.1505
2016-09-09,-7.0175
2016-09-12,6.7925
2016-09-13,2.1201
2016-09-14,-1.3841
2016-09-15,-0.7018
2016-09-16,-0.7067
2016-09-19,-3.9146
2016-09-20,-5.5556
2016-09-21,3.5294
2016-09-22,1.8939
2016-09-23,-1.1152
2016-09-26,-1.5038
2016-09-27,2.2901
2016-09-28,9.7015
2016-09-29,-4.4218
2016-09-30,-3.5587
2016-10-03,1.845
2016-10-04,4.7101
2016-10-05,3.8062
2016-10-06,4.3333
2016-10-07,-7.3482
2016-10-10,2.4138
2016-10-11,-3.0303
2016-10-12,-14.9306
2016-10-13,1.6327
2016-10-14,2.8112
2016-10-17,1.5625
2016-10-18,1.9231
2016-10-19,3.3962
2016-10-20,0.365
2016-10-21,0.0
2016-10-24,0.7273
2016-10-25,1.083
2016-10-26,-2.1429
2016-10-27,-0.365
2016-10-28,1.0989
2016-10-31,-1.8115999999999999
2016-11-01,2.214
2016-11-02,-2.5271
2016-11-03,-6.2963000000000005
2016-11-04,0.0
2016-11-07,4.7431
2016-11-08,-3.3962
2016-11-09,1.9531
2016-11-10,2.2989
2016-11-11,6.7416
2016-11-14,3.8596
2016-11-15,0.6757
2016-11-16,5.3690999999999995
2016-11-17,0.9554
2016-11-18,4.7318999999999996
2016-11-21,1.506
2016-11-22,1.1869
2016-11-23,9.9707
2016-11-25,0.8
2016-11-28,10.3175
2016-11-29,6.9544
2016-11-30,-7.6233
2016-12-01,-0.7282
2016-12-02,-1.2225
2016-12-05,-8.6634
2016-12-06,-5.1491
2016-12-07,-3.7143
2016-12-08,-2.3739
2016-12-09,0.9119
2016-12-12,-8.4337
2016-12-13,1.6447
2016-12-14,-1.9417
2016-12-15,4.6205
2016-12-16,-4.4164
2016-12-19,3.3003
2016-12-20,-2.2364
2016-12-21,-6.8627
2016-12-22,-5.9649
2016-12-23,5.9701
2016-12-27,0.3521
2016-12-28,-1.0526
2016-12-29,-3.1915
2016-12-30,-2.1978
2017-01-03,6.7416
2017-01-04,8.7719
2017-01-05,-2.9032
2017-01-06,2.99
2017-01-09,-3.5484
2017-01-10,0.3344
2017-01-11,-1.6667
2017-01-12,0.0
2017-01-13,2.7119
2017-01-17,-4.2904
2017-01-18,-3.1034
2017-01-19,-0.3559
2017-01-20,5.0
2017-01-23,0.3401
2017-01-24,5.7627
2017-01-25,6.0897
2017-01-26,-1.8127
2017-01-27,3.0769
2017-01-30,0.597
2017-01-31,7.1217
2017-02-01,1.108
2017-02-02,-1.0959
2017-02-03,-0.831
2017-02-06,-3.9106
2017-02-07,-2.907
2017-02-08,1.1976
2017-02-09,3.5503
2017-02-10,3.1429
2017-02-13,6.3712
2017-02-14,4.6875
2017-02-15,1.7412999999999998
2017-02-16,0.7335
2017-02-17,1.4563
2017-02-21,11.7225
2017-02-22,-3.212
2017-02-23,-0.885
2017-02-24,4.6875
2017-02-27,25.1599
2017-02-28,-15.1618
2017-03-01,-10.241
2017-03-02,-18.3445
2017-03-03,7.3972999999999995
2017-03-06,-6.8878
2017-03-07,0.274
2017-03-08,7.1038
2017-03-09,0.2551
2017-03-10,1.5267
2017-03-13,3.2580999999999998
2017-03-14,-2.4272
2017-03-15,2.4876
2017-03-16,0.7282
2017-03-17,2.4096
2017-03-20,0.4706
2017-03-21,-2.3419
2017-03-22,5.036
2017-03-23,1.3699
2017-03-24,0.2252
2017-03-27,-3.3708
2017-03-28,-1.1628
2017-03-29,-2.1176
2017-03-30,2.6442
2017-03-31,-2.8103
2017-04-03,-0.4819
2017-04-04,1.4527999999999999
2017-04-05,-2.6253
2017-04-06,3.6765
2017-04-07,0.9456
2017-04-10,0.9368
2017-04-11,0.9281
2017-04-12,-0.2299
2017-04-13,-3.6866
2017-04-17,-1.9139
