ticker,JNCE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-10,1.6518000000000002
2017-11-13,0.2708
2017-11-14,-4.5915
2017-11-15,-0.92
2017-11-16,2.0
2017-11-17,2.1709
2017-11-20,3.0843
2017-11-21,-0.8644
2017-11-22,3.0852
2017-11-24,-0.2602
2017-11-27,0.6523
2017-11-28,0.5833
2017-11-29,-0.0644
2017-11-30,1.6118999999999999
2017-12-01,0.0
2017-12-04,-4.3147
2017-12-05,0.1989
2017-12-06,-3.9709
2017-12-07,-0.2068
2017-12-08,-2.3481
2017-12-11,3.3239
2017-12-12,-6.1602
2017-12-13,-5.9081
2017-12-14,-0.6977
2017-12-15,-2.2639
2017-12-18,9.0256
2017-12-19,-1.8315000000000001
2017-12-20,-3.1343
2017-12-21,2.8505000000000003
2017-12-22,-0.2247
2017-12-26,0.976
2017-12-27,-1.1896
2017-12-28,-1.8058999999999998
2017-12-29,-2.2989
2018-01-02,5.098
2018-01-03,6.5672
2018-01-04,0.7703
2018-01-05,-2.4322
2018-01-08,-1.9231
2018-01-09,3.7037
2018-01-10,5.112
2018-01-11,2.3984
2018-01-12,6.5062
2018-01-16,0.733
2018-01-17,4.6695
2018-01-18,12.8042
2018-01-19,11.7617
2018-01-22,2.114
2018-01-23,-2.6103
2018-01-24,8.5952
2018-01-25,2.1277
2018-01-26,4.3333
2018-01-29,4.5927
2018-01-30,-1.7564
2018-01-31,-6.0241
2018-02-01,-0.8271
2018-02-02,-2.5438
2018-02-05,-5.092
2018-02-06,3.6519
2018-02-07,2.3487999999999998
2018-02-08,2.2524
2018-02-09,-1.2053
2018-02-12,-2.2297
2018-02-13,1.2048
2018-02-14,2.8486000000000002
2018-02-15,0.1654
2018-02-16,-0.7429
2018-02-20,-6.7775
2018-02-21,5.0847
2018-02-22,-1.9525000000000001
2018-02-23,-5.974
2018-02-26,4.0516
2018-02-27,0.4867
2018-02-28,-7.1775
2018-03-01,-2.8937
2018-03-02,6.3508
2018-03-05,1.5158
2018-03-06,-1.1312
2018-03-07,-0.0458
2018-03-08,19.4139
2018-03-09,-4.2945
2018-03-12,8.2131
2018-03-13,1.1477
2018-03-14,3.9531
2018-03-15,-1.8662
2018-03-16,-4.4851
2018-03-19,1.8782999999999999
2018-03-20,-2.8761
2018-03-21,-2.9992
2018-03-22,-4.0313
2018-03-23,-1.9984
2018-03-26,0.1665
2018-03-27,-6.398
2018-03-28,-1.1984
2018-03-29,0.4043
2018-04-02,-2.1029
2018-04-03,-5.9415
2018-04-04,-7.1429
2018-04-05,3.1397
