ticker,CAFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-02,-17.647100000000002
2007-02-08,21.4286
2007-02-12,-17.647100000000002
2007-02-14,0.0
2007-03-07,0.0
2007-03-14,0.0
2007-03-15,0.0
2007-03-16,0.0
2007-04-16,0.0
2007-04-18,-32.1429
2007-04-25,0.0
2007-04-27,0.0
2007-05-03,36.8421
2007-05-07,-23.0769
2007-05-15,-10.0
2007-05-16,11.1111
2007-05-23,0.0
2007-05-31,-10.0
2007-06-05,-11.1111
2007-06-18,-6.25
2007-06-25,0.0
2007-06-29,-20.0
2007-07-13,-16.6667
2007-07-30,-20.0
2007-07-31,25.0
2007-08-01,0.0
2007-08-03,0.0
2007-08-13,40.0
2007-08-14,0.0
2007-08-15,-14.2857
2007-08-16,-16.6667
2007-08-17,-18.0
2007-08-20,19.5122
2007-08-21,-14.2857
2007-08-22,0.0
2007-08-27,30.9524
2007-08-29,-18.1818
2007-09-05,0.0
2007-09-12,0.0
2007-09-13,0.0
2007-09-14,22.2222
2007-09-18,7.2727
2007-09-21,16.9492
2007-10-02,-33.3333
2007-10-10,0.0
2007-10-12,6.5217
2007-10-24,12.2449
2007-10-26,0.0
2007-10-31,-9.0909
2007-11-06,0.0
2007-11-16,-10.0
2007-11-29,11.1111
2007-12-03,0.0
2007-12-05,-20.0
2007-12-12,0.0
2007-12-13,-5.0
2007-12-14,5.2632
2007-12-17,0.0
2007-12-19,-5.0
2007-12-26,0.0
2007-12-28,0.0
2007-12-31,0.0
2008-01-23,-10.526299999999999
2008-01-24,17.647100000000002
2008-01-25,0.0
2008-01-29,0.0
2008-01-31,-37.5
2008-02-05,4.0
2008-02-27,0.0
2008-03-06,0.0
2008-03-28,11.538499999999999
2008-03-31,-31.0345
2008-04-01,-10.0
2008-04-02,0.0
2008-04-08,-5.5556
2008-04-09,11.7647
2008-04-10,10.526299999999999
2008-04-22,0.0
2008-04-23,0.0
2008-04-24,42.8571
2008-04-25,33.3333
2008-04-28,-25.0
2008-05-01,-33.3333
2008-05-02,150.0
2008-05-05,60.0
2008-05-07,0.0
