ticker,NTUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-03-04,-1.1723
2005-03-07,0.8422
2005-03-08,-0.9528
2005-03-09,1.0689
2005-03-10,-2.5852
2005-03-11,2.5332
2005-03-14,-0.9412
2005-03-15,-1.3064
2005-03-16,2.4067
2005-03-17,2.5852
2005-03-18,1.8328
2005-03-21,-6.1867
2005-03-22,0.4796
2005-03-23,0.8353
2005-03-24,-1.8935
2005-03-28,0.8444
2005-03-29,2.1531000000000002
2005-03-30,-3.63
2005-03-31,1.5796000000000001
2005-04-01,-4.1866
2005-04-04,-0.7491
2005-04-05,0.7547
2005-04-06,-0.4994
2005-04-07,-3.7641
2005-04-08,1.8253
2005-04-11,2.3047
2005-04-12,2.2528
2005-04-13,-4.7736
2005-04-14,2.0566
2005-04-15,-3.6524
2005-04-18,-0.6536
2005-04-19,3.1579
2005-04-20,-0.5102
2005-04-21,2.8205
2005-04-22,1.995
2005-04-25,-0.6112
2005-04-26,1.476
2005-04-27,3.2727
2005-04-28,0.1174
2005-04-29,0.0
2005-05-02,2.2274
2005-05-03,-0.6881
2005-05-04,-0.1155
2005-05-05,0.3468
2005-05-06,2.8802
2005-05-09,3.1355
2005-05-10,-3.6916
2005-05-11,0.3382
2005-05-12,1.6854
2005-05-13,0.1105
2005-05-16,4.3046
2005-05-17,1.5873
2005-05-18,3.9583
2005-05-19,2.7054
2005-05-20,-1.2683
2005-05-23,1.1858
2005-05-24,-2.2461
2005-05-25,-1.0989
2005-05-26,0.303
2005-05-27,0.2014
2005-05-31,1.5074999999999998
2005-06-01,-1.4851
2005-06-02,0.7035
2005-06-03,-0.1996
2005-06-06,0.8
2005-06-07,0.1984
2005-06-08,-0.6931
2005-06-09,0.1994
2005-06-10,-0.4975
2005-06-13,0.0
2005-06-14,0.9
2005-06-15,4.7572
2005-06-16,-0.1892
2005-06-17,-2.0853
2005-06-20,0.8712
2005-06-21,5.5662
2005-06-22,-0.3636
2005-06-23,-0.365
2005-06-24,-2.9304
2005-06-27,4.717
2005-06-28,-0.991
2005-06-29,2.4568
2005-06-30,-0.0888
2005-07-01,-2.2222
2005-07-05,1.7273
2005-07-06,0.4468
2005-07-07,-1.4235
2005-07-08,-0.8123
2005-07-11,0.091
2005-07-12,1.8182
2005-07-13,-1.6964000000000001
2005-07-14,1.8165
2005-07-15,-0.9813
2005-07-18,-0.9009
2005-07-19,-1.9091
2005-07-20,-0.1854
2005-07-21,1.6713
2005-07-22,-0.9132
2005-07-25,1.106
2005-07-26,2.0055
2005-07-27,-0.983
2005-07-28,-0.4513
2005-07-29,-0.272
2005-08-01,1.3636
2005-08-02,0.0
2005-08-03,-0.1794
2005-08-04,-1.7969
2005-08-05,-0.2745
2005-08-08,2.2936
2005-08-09,0.3587
2005-08-10,-3.1278
2005-08-11,-6.8266
2005-08-12,2.7723
2005-08-15,-2.7938
2005-08-16,1.0902
2005-08-17,4.0196
2005-08-18,1.508
2005-08-19,1.5785
2005-08-22,-0.8227
2005-08-23,2.1198
2005-08-24,-1.444
2005-08-25,0.3663
2005-08-26,-0.8212
2005-08-29,0.092
2005-08-30,-1.5625
2005-08-31,-1.1204
2005-09-01,-1.6997
2005-09-02,2.6897
2005-09-06,-0.5613
2005-09-07,0.0
2005-09-08,-0.2822
2005-09-09,4.1509
2005-09-12,-2.4457
2005-09-13,0.2786
2005-09-14,1.3889
2005-09-15,-0.4566
2005-09-16,1.1009
2005-09-19,7.078
2005-09-20,1.6949
2005-09-21,-0.25
2005-09-22,-0.6683
2005-09-23,7.5694
2005-09-26,-2.7365
2005-09-27,1.3666
2005-09-28,0.4282
2005-09-29,-4.7694
2005-09-30,0.9121
2005-10-03,-0.986
2005-10-04,-0.4979
2005-10-05,0.0834
