ticker,PTBTQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-21,4.1509
2006-12-22,0.3623
2006-12-26,-0.5415
2006-12-27,0.726
2006-12-28,-1.0811
2006-12-29,-0.3643
2007-01-03,2.1938
2007-01-04,3.3989
2007-01-05,-3.6332
2007-01-08,1.2567
2007-01-09,2.6596
2007-01-10,3.1088
2007-01-11,1.8425
2007-01-12,-2.1382
2007-01-16,0.8403
2007-01-17,-0.5
2007-01-18,-0.1675
2007-01-19,1.6779
2007-01-22,1.4851
2007-01-23,0.813
2007-01-24,1.2903
2007-01-25,-0.4777
2007-01-26,1.28
2007-01-29,2.2117
2007-01-30,2.7821
2007-01-31,5.4135
2007-02-01,2.8531
2007-02-02,5.5479
2007-02-05,6.1761
2007-02-06,-6.1881
2007-02-07,1.1873
2007-02-08,2.4772
2007-02-09,0.2545
2007-02-12,-4.6954
2007-02-13,2.6631
2007-02-14,2.9831
2007-02-15,-2.1411
2007-02-16,0.7722
2007-02-20,1.9157
2007-02-21,2.005
2007-02-22,-1.3514
2007-02-23,0.0
2007-02-26,0.1245
2007-02-27,-0.4975
2007-02-28,-1.25
2007-03-01,-4.0506
2007-03-02,-2.7704
2007-03-05,-0.1357
2007-03-06,-1.4946
2007-03-07,0.9655
2007-03-08,0.9563
2007-03-09,-3.1123
2007-03-12,0.838
2007-03-13,-1.385
2007-03-14,-5.1966
2007-03-15,3.4074
2007-03-16,2.4355
2007-03-19,-2.6573
2007-03-20,-3.0172
2007-03-21,0.1481
2007-03-22,1.3314
2007-03-23,0.0
2007-03-26,-2.0438
2007-03-27,0.4471
2007-03-28,0.4451
2007-03-29,0.2954
2007-03-30,-0.5891
2007-04-02,-6.6667
2007-04-03,1.1111
2007-04-04,5.4945
2007-04-05,1.1905000000000001
2007-04-09,3.6765
2007-04-10,2.2695
2007-04-11,1.9417
2007-04-12,-2.0408
2007-04-13,2.3611
2007-04-16,0.5427
2007-04-17,0.135
2007-04-18,1.3477000000000001
2007-04-19,1.3298
2007-04-20,2.231
2007-04-23,-3.5944000000000003
2007-04-24,-2.3968
2007-04-25,0.0
2007-04-26,0.0
2007-04-27,-0.8186
2007-04-30,2.2008
2007-05-01,0.8075
2007-05-02,0.9346
2007-05-03,-0.2646
2007-05-04,2.6525
2007-05-07,0.1292
2007-05-08,2.0645
2007-05-09,2.1492
2007-05-10,-32.0545
2007-05-11,-9.1075
2007-05-14,-0.8016
2007-05-15,-2.4242
2007-05-16,-10.559
2007-05-17,-8.5648
2007-05-18,1.0127
2007-05-21,-0.2506
2007-05-22,0.7538
2007-05-23,-0.9975
2007-05-24,-0.2519
2007-05-25,1.0101
2007-05-29,3.75
2007-05-30,0.7229
2007-05-31,0.0
2007-06-01,6.6986
2007-06-04,-2.2422
2007-06-05,-4.1284
2007-06-06,-1.9139
2007-06-07,-0.7317
2007-06-08,-0.4914
2007-06-11,-1.2346
2007-06-12,-2.0
2007-06-13,-1.2755
2007-06-14,-0.7752
2007-06-15,1.8229
2007-06-18,4.3478
2007-06-19,1.2255
2007-06-20,1.2107
2007-06-21,-0.4785
2007-06-22,-2.6442
2007-06-25,-1.9752999999999998
2007-06-26,1.2594
2007-06-27,-0.2488
2007-06-28,-0.2494
2007-06-29,-0.75
2007-07-02,-0.5038
2007-07-03,-0.2532
2007-07-05,0.5076
2007-07-06,-1.0101
2007-07-09,1.7856999999999998
2007-07-10,-2.005
2007-07-11,0.7673
2007-07-12,0.7614
2007-07-13,1.0076
2007-07-16,3.4913
2007-07-17,0.9639
2007-07-18,-3.3413
2007-07-19,1.2346
2007-07-20,-1.9512
2007-07-23,-1.4925
2007-07-24,-4.798
2007-07-25,-7.1618
2007-07-26,-15.7143
2007-07-27,-2.0339
2007-07-30,-6.2284
2007-07-31,-2.952
2007-08-01,-4.5626999999999995
2007-08-02,9.9602
2007-08-03,-15.942
2007-08-06,-7.3276
2007-08-07,-60.4651
2007-08-08,-5.8824
2007-08-09,-25.0
2007-08-10,-3.3333
2007-08-13,-15.5172
2007-08-14,-14.2857
2007-08-15,2.4107
2007-08-16,-7.0038
2007-08-17,0.0
2007-08-20,5.0
2007-08-21,-11.9048
2007-08-22,-13.5135
2007-08-23,0.0
2007-08-24,0.0
2007-08-27,-6.25
2007-08-28,-6.6667
2007-08-29,-5.3571
2007-08-30,-1.8868
2007-08-31,-3.8462
2007-09-04,16.0
2007-09-05,0.0
2007-09-06,3.4483
2007-09-07,-3.3333
2007-09-10,6.8966
2007-09-11,0.0
2007-09-12,29.0323
2007-09-13,12.5
2007-09-14,-2.25
2007-09-17,-2.245
2007-09-18,-2.3256
2007-09-19,-4.7619
2007-09-20,-2.5
2007-09-21,-17.9487
2007-09-24,3.125
2007-09-25,0.0
2007-09-26,-6.0606
2007-09-27,0.0
2007-09-28,-9.6774
2007-10-01,-3.5714
2007-10-02,-7.4074
2007-10-03,-4.0
2007-10-04,-6.25
2007-10-05,2.2222
2007-10-08,8.6957
2007-10-09,-8.0
2007-10-10,-2.1739
2007-10-11,2.2222
2007-10-12,8.6957
2007-10-15,0.0
2007-10-16,-8.0
2007-10-17,8.6957
2007-10-18,0.0
2007-10-19,8.0
2007-10-22,-5.5556
2007-10-23,-1.9607999999999999
2007-10-24,0.0
2007-10-25,10.0
2007-10-26,-5.4545
2007-10-29,-67.3077
2007-10-30,16.4706
2007-10-31,41.4141
2007-11-01,21.4286
2007-11-02,-11.7647
2007-11-05,0.0
2007-11-06,13.3333
2007-11-07,0.0
2007-11-08,-23.5294
2007-11-09,7.6923
2007-11-12,-7.1429
2007-11-13,-7.6923
2007-11-14,0.0
2007-11-15,0.0
2007-11-16,-8.3333
2007-11-19,-13.6364
2007-11-20,-36.8421
2007-11-21,9.1667
2007-11-23,8.3969
2007-11-26,-43.662
2007-11-27,0.0
2007-11-28,0.0
2007-11-29,-10.0
2007-11-30,2.7778
2007-12-03,13.5135
2007-12-04,7.1429
2007-12-05,11.1111
2007-12-06,14.0
2007-12-07,1.7544
2007-12-10,-10.3448
2007-12-11,-23.0769
2007-12-12,10.0
2007-12-13,2.2727
2007-12-14,-11.1111
2007-12-17,-10.0
2007-12-18,0.0
2007-12-19,-8.3333
2007-12-20,6.0606
2007-12-21,-8.5714
2007-12-24,-6.25
2007-12-26,0.0
2007-12-27,0.0
2007-12-28,0.0
2007-12-31,0.0
2008-01-02,0.0
2008-01-03,33.3333
2008-01-04,0.0
2008-01-07,-25.0
2008-01-08,3.3333
2008-01-09,0.0
2008-01-10,61.2903
2008-01-11,0.0
2008-01-14,-10.0
2008-01-15,-11.1111
2008-01-16,-12.5
2008-01-18,0.0
2008-01-22,14.2857
2008-01-23,2.5
2008-01-24,-2.439
2008-01-25,0.0
2008-01-28,-5.0
2008-01-29,-21.0526
2008-01-30,0.0
2008-01-31,-16.6667
2008-02-01,4.0
2008-02-04,15.3846
2008-02-05,16.6667
2008-02-06,-14.2857
2008-02-07,0.0
2008-02-11,26.6667
2008-02-12,-15.7895
2008-02-13,-15.625
2008-02-14,0.0
2008-02-15,-7.4074
2008-02-19,-16.0
2008-02-20,-4.7619
2008-02-21,0.0
2008-02-22,5.0
2008-02-25,-4.7619
2008-02-26,0.0
2008-02-27,0.0
2008-02-28,0.0
2008-02-29,0.0
2008-03-03,0.0
2008-03-04,0.0
2008-03-05,-15.0
2008-03-06,-47.0588
2008-03-07,22.2222
2008-03-10,-9.0909
2008-03-11,20.0
2008-03-12,-16.6667
2008-03-13,50.0
2008-03-14,-46.6667
2008-03-17,25.0
2008-03-18,10.0
2008-03-19,-9.0909
2008-03-20,0.0
2008-03-24,0.0
2008-03-25,40.0
2008-03-26,-28.5714
2008-03-27,0.0
2008-03-28,0.0
2008-03-31,0.0
2008-04-01,0.0
2008-04-02,50.0
2008-04-03,-26.6667
2008-04-04,36.3636
2008-04-07,-26.6667
2008-04-08,0.0
2008-04-09,1.1364
2008-04-10,34.8315
2008-04-11,-20.0
2008-04-14,141.6667
2008-04-15,-31.0345
2008-04-16,0.0
2008-04-17,0.0
2008-04-18,0.0
2008-04-21,0.0
2008-04-22,0.0
2008-04-23,5.0
2008-04-24,0.0
2008-04-25,0.0
2008-04-28,0.0
2008-04-29,0.0
2008-04-30,0.0
2008-05-01,161.9048
2008-05-02,-27.2727
2008-05-05,-22.5
2008-05-06,29.0323
2008-05-07,-25.0
2008-05-08,0.0
2008-05-09,-33.3333
2008-05-12,-10.0
2008-05-13,0.0
2008-05-14,-5.5556
2008-05-15,47.0588
2008-05-16,-20.0
2008-05-19,0.0
2008-05-20,-25.0
2008-05-21,0.0
2008-05-23,33.3333
2008-05-27,50.0
2008-05-28,0.0
2008-05-29,0.0
2008-05-30,0.0
2008-06-02,-16.6667
2008-06-03,-16.0
2008-06-04,0.0
2008-06-05,0.0
2008-06-09,4.7619
2008-06-10,-9.0909
2008-06-11,5.0
2008-06-12,-26.1905
2008-06-13,29.0323
2008-06-16,-22.5
2008-06-17,-3.2258
2008-06-19,0.0
2008-06-20,0.0
2008-06-23,0.0
2008-06-24,133.3333
2008-06-25,-54.2857
2008-06-26,0.0
2008-06-30,-18.75
2008-07-01,23.0769
2008-07-02,0.0
2008-07-03,0.0
2008-07-07,0.0
2008-07-08,0.0
2008-07-09,31.25
2008-07-10,14.2857
2008-07-11,-37.5
2008-07-14,66.6667
2008-07-15,-20.0
2008-07-16,-25.0
2008-07-17,66.6667
2008-07-18,-20.0
2008-07-21,-25.0
2008-07-22,0.0
2008-07-23,0.0
2008-07-28,0.0
2008-07-29,0.0
2008-07-30,0.0
2008-07-31,0.0
2008-08-01,0.0
2008-08-04,0.0
2008-08-05,33.3333
2008-08-06,-40.0
2008-08-07,0.0
2008-08-08,0.0
2008-08-11,0.0
2008-08-12,0.0
2008-08-14,0.0
2008-08-15,0.0
2008-08-18,0.0
2008-08-20,0.0
2008-08-25,8.3333
2008-08-26,0.0
2008-08-27,0.0
2008-08-28,0.0
2008-08-29,0.0
