ticker,BHE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-03-19,0.2464
2015-03-20,1.6796
2015-03-23,0.4432
2015-03-24,-0.2006
2015-03-25,-3.0949
2015-03-26,-0.4977
2015-03-27,0.8754
2015-03-30,1.0331
2015-03-31,-1.7178
2015-04-01,1.3733
2015-04-02,0.3695
2015-04-06,0.0
2015-04-07,-0.5317
2015-04-08,0.7813
2015-04-09,-0.5712
2015-04-10,1.4362
2015-04-13,-0.8091
2015-04-14,-0.0816
2015-04-15,1.7143000000000002
2015-04-16,-0.5618
2015-04-17,-2.0178
2015-04-20,2.3888
2015-04-21,-0.6436
2015-04-22,-0.7692
2015-04-23,-0.204
2015-04-24,-0.6541
2015-04-27,0.0
2015-04-28,0.7819
2015-04-29,-1.4292
2015-04-30,-2.5269
2015-05-01,1.7850000000000001
2015-05-04,0.2088
2015-05-05,-2.0417
2015-05-06,0.0425
2015-05-07,0.6378
2015-05-08,1.3942
2015-05-11,-0.25
2015-05-12,-0.1253
2015-05-13,0.8783
2015-05-14,1.3682
2015-05-15,-0.9816
2015-05-18,0.6196
2015-05-19,-0.5337
2015-05-20,-0.4953
2015-05-21,-0.6636
2015-05-22,-0.334
2015-05-26,-1.9271
2015-05-27,0.9825
2015-05-28,-0.0423
2015-05-29,-1.6503999999999999
2015-06-01,-0.043
2015-06-02,-0.3444
2015-06-03,1.2959
2015-06-04,-1.4072
2015-06-05,0.173
2015-06-08,-0.6908
2015-06-09,-0.4783
2015-06-10,1.1796
2015-06-11,-0.0432
2015-06-12,-0.5616
2015-06-15,-1.6507
2015-06-16,0.6625
2015-06-17,-0.351
2015-06-18,0.4844
2015-06-19,0.0
2015-06-22,0.5259
2015-06-23,0.1308
2015-06-24,-3.1781
2015-06-25,0.2698
2015-06-26,-0.6726
2015-06-29,-3.0248
2015-06-30,1.3966
2015-07-01,-0.6428
2015-07-02,0.0
2015-07-06,-0.7394
2015-07-07,-0.8845
2015-07-08,-1.55
2015-07-09,-0.8111
2015-07-10,1.5392000000000001
2015-07-13,-2.3212
2015-07-14,2.6673
2015-07-15,-0.7085
2015-07-16,0.0951
2015-07-17,-0.7605
2015-07-20,-1.1494
2015-07-21,0.1938
2015-07-22,-0.3385
2015-07-23,5.3372
2015-07-24,0.2303
2015-07-27,0.6893
2015-07-28,0.0913
2015-07-29,0.3192
2015-07-30,-0.2727
2015-07-31,0.5469
2015-08-03,-0.5893
2015-08-04,-0.5928
2015-08-05,0.5963
2015-08-06,0.1824
2015-08-07,-0.1365
2015-08-10,1.4129
2015-08-11,-1.7978
2015-08-12,-0.2288
2015-08-13,-0.7339
2015-08-14,1.2015
2015-08-17,0.3196
2015-08-18,-0.9558
2015-08-19,-0.1379
2015-08-20,-0.9204
2015-08-21,-0.1858
2015-08-24,-3.9088000000000003
2015-08-25,-1.6949
2015-08-26,3.3005
2015-08-27,1.2399
2015-08-28,0.895
2015-08-31,-0.2334
2015-09-01,-2.3397
2015-09-02,0.3833
2015-09-03,0.4296
2015-09-04,-1.0456
2015-09-08,2.2094
2015-09-09,0.235
2015-09-10,0.3751
2015-09-11,-0.8407
2015-09-14,-0.3768
2015-09-15,1.0875
2015-09-16,1.9645000000000001
2015-09-17,-0.1376
2015-09-18,-1.6077
2015-09-21,-0.1401
2015-09-22,-2.9920999999999998
2015-09-23,-0.8193
2015-09-24,1.5063
2015-09-25,1.0053
2015-09-28,0.2844
2015-09-29,0.2363
2015-09-30,2.5930999999999997
2015-10-01,-1.5165
2015-10-02,0.56
2015-10-05,3.2483
2015-10-06,-0.4494
2015-10-07,0.7223
2015-10-08,0.9413
2015-10-09,0.7105
2015-10-12,1.5873
2015-10-13,-0.8247
2015-10-14,0.0875
2015-10-15,3.0171
2015-10-16,-1.2309
2015-10-19,-0.9454
2015-10-20,0.564
2015-10-21,-3.1061
2015-10-22,-8.4595
2015-10-23,-1.7023000000000001
2015-10-26,-0.6432
2015-10-27,-1.992
2015-10-28,3.5568999999999997
2015-10-29,-3.4347
2015-10-30,0.5081
2015-11-02,2.5278
2015-11-03,2.3669000000000002
2015-11-04,-1.0597
2015-11-05,0.0974
2015-11-06,0.4864
2015-11-09,-1.5973000000000002
2015-11-10,-0.6394
2015-11-11,0.3465
2015-11-12,-1.8254000000000001
2015-11-13,-1.7085
2015-11-16,3.2720000000000002
2015-11-17,-0.5941
2015-11-18,2.0916
2015-11-19,0.3415
2015-11-20,2.2363
2015-11-23,0.428
2015-11-24,0.4261
2015-11-25,0.7072
2015-11-27,0.6086
2015-11-30,-0.1396
2015-12-01,0.6524
2015-12-02,-1.8981
2015-12-03,-0.5191
2015-12-04,1.7551999999999999
2015-12-07,-1.2121
2015-12-08,1.2742
2015-12-09,-2.7027
2015-12-10,-0.6705
2015-12-11,-0.8197
2015-12-14,0.0
2015-12-15,2.528
2015-12-16,-1.944
2015-12-17,0.4836
2015-12-18,0.385
2015-12-21,0.1438
2015-12-22,1.0053
2015-12-23,2.2275
2015-12-24,-0.9272
2015-12-28,-0.5147
2015-12-29,1.1759
2015-12-30,-2.9289
2015-12-31,-1.0057
2016-01-04,-2.0803
2016-01-05,1.1858
2016-01-06,-3.5645
2016-01-07,-4.4557
2016-01-08,-0.5829
2016-01-11,0.9062
2016-01-12,0.5283
2016-01-13,-0.4204
2016-01-14,2.7441
2016-01-15,-2.7735
2016-01-19,1.3207
2016-01-20,0.4692
2016-01-21,1.3492
2016-01-22,3.0722
2016-01-25,-2.6329000000000002
2016-01-26,3.7755
2016-01-27,-0.6883
2016-01-28,-0.5446
2016-01-29,4.5296
2016-02-01,-1.0
2016-02-02,-1.2987
2016-02-03,-0.2924
2016-02-04,1.7107
2016-02-05,-0.3844
2016-02-08,-1.1095
2016-02-09,3.7561
2016-02-10,0.1881
2016-02-11,-0.2346
2016-02-12,1.1759
2016-02-16,1.8596
2016-02-17,-0.5021
2016-02-18,0.6422
2016-02-19,-0.4558
2016-02-22,0.3663
2016-02-23,-1.2774
2016-02-24,0.2311
2016-02-25,0.1383
2016-02-26,0.0
2016-02-29,-0.3223
2016-03-01,1.6166
2016-03-02,0.0909
