ticker,AIPC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-07,8.75
2006-02-08,-5.5172
2006-02-09,1.4599
2006-02-10,3.5971
2006-02-13,-3.7037
2006-02-14,1.4423
2006-02-15,-1.8957000000000002
2006-02-16,0.2415
2006-02-17,0.9639
2006-02-21,0.716
2006-02-22,0.7109
2006-02-23,-1.8824
2006-02-24,0.7194
2006-02-27,2.3810000000000002
2006-02-28,1.1628
2006-03-01,-2.2989
2006-03-02,0.2353
2006-03-03,0.2347
2006-03-06,-0.4684
2006-03-07,-1.6471
2006-03-08,-4.067
2006-03-09,0.9975
2006-03-10,2.2222
2006-03-13,2.8986
2006-03-14,-1.6432
2006-03-15,-0.4773
2006-03-16,46.7626
2006-03-17,-5.3922
2006-03-20,-3.4542
2006-03-21,1.4311
2006-03-22,4.0564
2006-03-23,0.0
2006-03-24,1.0169
2006-03-27,1.6779
2006-03-28,0.33
2006-03-29,1.4803
2006-03-30,-0.1621
2006-03-31,1.6234
2006-04-03,2.8754
2006-04-04,3.2609
2006-04-05,4.0602
2006-04-06,2.4566
2006-04-07,5.5007
2006-04-10,-2.4064
2006-04-11,-4.1096
2006-04-12,-0.8571
2006-04-13,3.8905
2006-04-17,-0.2774
2006-04-18,-3.4771
2006-04-19,1.4409
2006-04-20,1.8466
2006-04-21,-0.2789
2006-04-24,7.6923
2006-04-25,-0.1299
2006-04-26,2.7308
2006-04-27,3.6709
2006-04-28,1.4652
2006-05-01,2.8881
2006-05-02,1.1696
2006-05-03,1.1561
2006-05-04,0.8
2006-05-05,2.3810000000000002
2006-05-08,0.1107
2006-05-09,-1.3274
2006-05-10,-7.7354
2006-05-11,-6.6829
2006-05-12,-8.724
2006-05-15,-0.9986
2006-05-16,1.4409
2006-05-17,-0.4261
2006-05-18,-2.5678
2006-05-19,-0.2928
2006-05-22,0.0
2006-05-23,0.0
2006-05-24,6.6079
2006-05-25,3.8567
2006-05-26,0.5305
2006-05-30,-0.6596
2006-05-31,-2.656
2006-06-01,0.955
2006-06-02,1.8919000000000001
2006-06-05,-4.9072
2006-06-06,11.7155
2006-06-07,5.3683
2006-06-08,0.9479
2006-06-09,2.8169
2006-06-12,-3.0822
2006-06-13,-1.7668
2006-06-14,-1.5588
2006-06-15,-0.4872
2006-06-16,1.1016
2006-06-19,1.6949
2006-06-20,-4.6429
2006-06-21,2.372
2006-06-22,1.9512
2006-06-23,-0.7177
2006-06-26,-0.9639
2006-06-27,-0.7299
2006-06-28,-1.8382
2006-06-29,1.623
2006-06-30,5.1597
2006-07-03,-2.5701
2006-07-05,-0.4796
2006-07-06,2.0482
2006-07-07,-2.0071
2006-07-10,-0.3614
2006-07-11,0.3628
2006-07-12,-3.012
2006-07-13,0.0
2006-07-14,1.2422
2006-07-17,-2.2086
2006-07-18,0.3764
2006-07-19,1.25
2006-07-20,-0.8642
2006-07-21,1.4944
2006-07-24,0.0
2006-07-25,-0.7362
2006-07-26,0.3708
2006-07-27,0.4926
2006-07-28,0.7353
2006-07-31,1.0949
2006-08-01,-0.1203
2006-08-02,-2.8916
2006-08-03,-0.8685
2006-08-04,0.0
2006-08-07,0.7509
2006-08-08,1.9876
2006-08-09,-0.4872
2006-08-10,-2.3256
2006-08-11,-1.6291
2006-08-14,-1.1465
2006-08-15,-2.8350999999999997
2006-08-16,-0.3979
2006-08-17,5.1931
2006-08-18,1.1392
2006-08-21,-1.2516
2006-08-22,-0.8872
2006-08-23,-0.8951
2006-08-24,1.5484
2006-08-25,1.6518000000000002
2006-08-28,0.875
2006-08-29,0.1239
2006-08-30,0.9901
2006-08-31,-0.3676
2006-09-01,0.369
2006-09-05,-0.1225
2006-09-06,-0.8589
2006-09-07,-0.7426
2006-09-08,-0.3741
2006-09-11,0.1252
2006-09-12,-0.75
2006-09-13,0.8816
2006-09-14,-0.2497
2006-09-15,0.0
2006-09-18,-0.3755
2006-09-19,0.3769
2006-09-20,-1.0013
2006-09-21,-0.7585
2006-09-22,1.0191
2006-09-25,-1.2610000000000001
2006-09-26,0.0
2006-09-27,-0.3831
2006-09-28,1.1538
2006-09-29,-1.3942
2006-10-02,-5.527
2006-10-03,3.5374
2006-10-04,-2.1025
2006-10-05,0.0
2006-10-06,-1.0738
2006-10-09,0.0
2006-10-10,0.4071
2006-10-11,0.6757
2006-10-12,3.3557
2006-10-13,0.6494
2006-10-16,-1.4194
2006-10-17,-0.3927
2006-10-18,1.0512
2006-10-19,-1.8205
2006-10-20,-3.7086
2006-10-23,-2.8886
2006-10-24,3.3994
2006-10-25,2.3288
2006-10-26,-0.9371
2006-10-27,-2.1622
2006-10-30,4.0055
2006-10-31,-0.5312
2006-11-01,-0.534
2006-11-02,-1.8792
2006-11-03,-1.0944
2006-11-06,-0.4149
2006-11-07,1.1111
2006-11-08,-0.2747
2006-11-09,0.8264
2006-11-10,-0.1366
2006-11-13,0.1368
2006-11-14,0.4098
2006-11-15,4.7619
2006-11-16,0.6494
2006-11-17,-3.2258
2006-11-20,0.8
2006-11-21,-0.2646
2006-11-22,13.925699999999999
2006-11-24,-0.9313
2006-11-27,0.47
2006-11-28,-0.3509
2006-11-29,-0.7042
2006-11-30,-0.3546
2006-12-01,-0.1186
2006-12-04,2.1378
2006-12-05,4.7674
2006-12-06,4.2175
2006-12-07,6.4963
2006-12-08,5.6
2006-12-11,3.9773
2006-12-12,0.0911
2006-12-13,0.0
2006-12-14,2.3658
2006-12-15,-10.2222
2006-12-18,-4.9505
2006-12-19,-0.625
2006-12-20,-3.0398
2006-12-21,-3.6757
2006-12-22,3.2548
2006-12-26,0.0
2006-12-27,-1.6303999999999998
2006-12-28,-1.105
2006-12-29,-0.5587
2007-01-03,1.1236
2007-01-04,0.1111
2007-01-05,-0.6659
2007-01-08,1.1173
2007-01-09,-0.3315
2007-01-10,0.1109
2007-01-11,4.6512
2007-01-12,-0.4233
2007-01-16,7.3326
2007-01-17,0.495
2007-01-18,-1.9704000000000002
2007-01-19,-0.5025
2007-01-22,1.0101
2007-01-23,0.9
2007-01-24,1.0902
2007-01-25,0.0
2007-01-26,0.3922
2007-01-29,0.3906
2007-01-30,1.6537
2007-01-31,-1.4354
2007-02-01,1.9417
2007-02-02,2.6667
2007-02-05,-0.3711
2007-02-06,-0.5587
2007-02-07,-0.4682
2007-02-08,0.0
2007-02-09,-0.2822
2007-02-12,0.4717
2007-02-13,0.939
2007-02-14,-1.5814
2007-02-15,0.6616
2007-02-16,-0.4695
2007-02-20,0.0943
2007-02-21,0.8483
2007-02-22,-0.9346
2007-02-23,-0.3774
2007-02-26,0.3788
2007-02-27,-1.8868
2007-02-28,2.2115
2007-03-01,-1.223
2007-03-02,-0.9524
2007-03-05,-0.4808
2007-03-06,1.4493
2007-03-07,0.4762
2007-03-08,0.9479
2007-03-09,0.939
2007-03-12,2.5116
2007-03-13,-5.6261
2007-03-14,0.0
2007-03-15,2.6923
2007-03-16,1.5918
2007-03-19,-0.9217
2007-03-20,-2.4186
2007-03-21,1.2393
2007-03-22,0.7533
2007-03-23,-0.7477
2007-03-26,-0.1883
2007-03-27,0.9434
2007-03-28,-0.9346
2007-03-29,0.4717
2007-03-30,-1.4085
2007-04-02,0.0
2007-04-03,0.9524
2007-04-04,0.0
2007-04-05,0.4717
2007-04-09,-0.0939
2007-04-10,0.094
2007-04-11,0.939
2007-04-12,0.0
2007-04-13,-1.3953
2007-04-16,1.4151
2007-04-17,-0.4651
2007-04-18,-0.4673
2007-04-19,0.4695
2007-04-20,-0.4673
2007-04-23,0.4695
2007-04-24,0.0
2007-04-25,0.3738
2007-04-26,-0.838
2007-04-27,0.4695
2007-04-30,0.0
2007-05-01,-0.9346
2007-05-02,0.4717
2007-05-03,1.8779
2007-05-04,0.0
2007-05-07,-1.3825
2007-05-08,-0.4673
2007-05-09,1.4085
2007-05-10,-2.5
2007-05-11,0.9497
2007-05-14,-0.2822
2007-05-15,-0.9434
2007-05-16,0.0
2007-05-17,0.2857
2007-05-18,-0.2849
2007-05-21,0.0
2007-05-22,0.0
2007-05-23,0.0952
2007-05-24,-0.0951
2007-05-25,0.4762
2007-05-29,-0.4739
2007-05-30,-0.5714
2007-05-31,1.5326
2007-06-01,-0.4717
2007-06-04,0.0
2007-06-05,-0.9479
2007-06-06,-0.9569
2007-06-07,-1.4493
2007-06-08,-0.9804
2007-06-11,-0.495
2007-06-12,-2.4876
2007-06-13,2.0408
2007-06-14,-0.5
2007-06-15,1.5074999999999998
2007-06-18,0.0
2007-06-19,0.0
2007-06-20,-0.495
2007-06-21,-1.4925
2007-06-22,0.5051
2007-06-25,-1.005
2007-06-26,-0.5076
2007-06-27,-1.5306
2007-06-28,0.5181
2007-06-29,-1.0309
2007-07-02,0.0
2007-07-03,0.5208
2007-07-05,0.829
2007-07-06,0.0
2007-07-09,1.2333
2007-07-10,-4.0609
2007-07-11,1.5873
2007-07-12,-1.0417
2007-07-13,1.0526
2007-07-16,-0.5208
2007-07-17,-0.5236
2007-07-18,-2.1053
2007-07-19,0.5376
2007-07-20,-1.0695000000000001
2007-07-23,-2.7027
2007-07-24,0.0
2007-07-25,-2.2222
2007-07-26,-3.4091
2007-07-27,-4.7059
2007-07-30,0.0
2007-07-31,0.6173
2007-08-01,0.6135
2007-08-02,-0.6098
2007-08-03,5.5215
2007-08-06,3.4884
2007-08-07,5.0562
2007-08-08,-3.2086
2007-08-09,-0.884
2007-08-10,-0.7804
2007-08-13,-0.5618
2007-08-14,1.6949
2007-08-15,-2.7778
2007-08-16,-2.8571
2007-08-17,1.1764999999999999
2007-08-20,16.2791
2007-08-21,-4.1
2007-08-22,-6.1522
2007-08-23,0.0
2007-08-24,0.0
2007-08-27,-1.1111
2007-08-28,0.0
2007-08-29,-0.5618
2007-08-30,-0.565
2007-08-31,-0.3409
2007-09-04,-0.7982
2007-09-05,-1.7241
2007-09-06,-1.7544
2007-09-07,-2.9762
2007-09-10,0.6135
2007-09-11,0.6098
2007-09-12,-1.2121
2007-09-13,-0.6135
2007-09-14,0.6173
2007-09-17,0.0
2007-09-18,-1.8405
2007-09-19,0.75
2007-09-20,-3.2258
2007-09-21,1.2821
2007-09-24,1.2658
2007-09-25,1.25
2007-09-26,1.7284000000000002
2007-09-27,0.1214
2007-09-28,-0.1818
2007-10-01,0.1821
2007-10-02,-1.8182
2007-10-03,0.0
2007-10-04,1.2346
2007-10-05,0.0
2007-10-08,8.5366
2007-10-09,1.1236
2007-10-10,0.0
2007-10-11,-1.1111
2007-10-12,0.0
2007-10-15,1.3483
2007-10-16,-2.439
2007-10-17,2.1591
2007-10-18,0.1112
2007-10-19,-2.7778
2007-10-22,1.4857
2007-10-23,1.5766
2007-10-24,-0.2217
2007-10-25,0.0
2007-10-26,0.0
2007-10-29,0.0
2007-10-30,-0.1111
2007-10-31,0.0
2007-11-01,0.7786
2007-11-02,0.0
2007-11-05,0.0
2007-11-06,0.0
2007-11-07,0.4415
2007-11-08,-0.3297
2007-11-09,-0.7718
2007-11-12,-1.1111
2007-11-13,0.0
2007-11-14,-4.4944
2007-11-15,-3.5294
2007-11-16,-6.0976
2007-11-19,1.2987
2007-11-20,-13.2051
2007-11-21,-3.2496
2007-11-23,2.2901
2007-11-26,-0.7463
2007-11-27,1.8045
2007-11-28,3.3973
2007-11-29,2.1429
2007-11-30,1.3986
2007-12-03,2.7586
2007-12-04,0.0
2007-12-05,-0.6711
2007-12-06,-3.7838000000000003
2007-12-07,0.4213
2007-12-10,-0.6993
2007-12-11,-2.1127
2007-12-12,-0.7194
2007-12-13,-1.4493
2007-12-14,1.3235000000000001
2007-12-17,-2.0319
2007-12-18,0.0
2007-12-19,2.2222
2007-12-20,0.0
2007-12-21,1.4493
2007-12-24,0.0
2007-12-26,0.0
2007-12-27,0.0
2007-12-28,0.0
2007-12-31,0.0
2008-01-02,-1.4285999999999999
2008-01-03,1.4493
2008-01-04,-3.5714
2008-01-07,0.0
2008-01-08,0.0
2008-01-09,-2.2222
2008-01-10,0.0
2008-01-11,-1.5152
2008-01-14,0.0
2008-01-15,-1.5385
2008-01-16,0.7813
2008-01-17,0.7752
2008-01-18,0.0
2008-01-22,0.0
2008-01-23,-2.9231
2008-01-24,0.6339
2008-01-25,0.7874
2008-01-28,2.3438
2008-01-29,0.7634
2008-01-30,1.5152
2008-01-31,1.4925
2008-02-01,-1.4706000000000001
2008-02-05,0.7463
2008-02-06,0.0
2008-02-07,1.4815
2008-02-08,-8.0292
2008-02-11,-0.7937
2008-02-12,-3.52
2008-02-13,-10.2819
2008-02-14,3.512
2008-02-15,0.8929
2008-02-19,-0.885
2008-02-20,-7.1429
2008-02-21,-2.8846
2008-02-22,-4.9505
2008-02-25,4.1667
2008-02-26,-1.0
2008-02-27,4.0404
2008-02-28,0.1942
2008-02-29,-3.1008
2008-03-03,0.0
2008-03-04,0.0
2008-03-05,4.0
2008-03-06,-9.6154
2008-03-07,0.0
2008-03-10,-6.383
2008-03-11,-0.2273
2008-03-12,0.2278
2008-03-13,1.1364
2008-03-14,12.809
2008-03-17,1.5936
2008-03-18,0.9804
2008-03-19,-0.9709
2008-03-20,-0.9804
2008-03-24,2.9703
2008-03-25,3.8462
2008-03-26,-3.7037
2008-03-27,0.0
