,date,return_direction,prediction
1206,2010-10-18,1,0.6202798428758686
1207,2010-10-19,0,0.5926936507097945
1208,2010-10-20,1,0.5926936507097945
1209,2010-10-21,1,0.6202798428758686
1210,2010-10-22,1,0.6202798428758686
1211,2010-10-25,1,0.5926936507097945
1212,2010-10-26,1,0.5939398287732529
1213,2010-10-27,0,0.5926936507097945
1214,2010-10-28,1,0.6064931944984921
1215,2010-10-29,1,0.5926936507097945
1216,2010-11-01,0,0.6202798428758686
1217,2010-11-02,1,0.5944745625527285
1218,2010-11-03,1,0.5927282913152713
1219,2010-11-04,1,0.6044401349425069
1220,2010-11-05,1,0.5926936507097945
1221,2010-11-08,1,0.6056881198194607
1222,2010-11-09,0,0.5926936507097945
1223,2010-11-10,1,0.6202798428758686
1224,2010-11-11,1,0.5926936507097945
1225,2010-11-12,0,0.5926936507097945
1226,2010-11-15,0,0.6202798428758686
1227,2010-11-16,0,0.5926936507097945
1228,2010-11-17,1,0.5953189514238457
1229,2010-11-18,1,0.5926936507097945
1230,2010-11-19,1,0.5926936507097945
1231,2010-11-22,1,0.5925999710750453
1232,2010-11-23,0,0.5926936507097945
1233,2010-11-24,1,0.5926936507097945
1234,2010-11-26,0,0.5949189162567247
1235,2010-11-29,0,0.5926936507097945
1236,2010-11-30,1,0.6202798428758686
1237,2010-12-01,1,0.5926936507097945
1238,2010-12-02,1,0.6092927899063396
1239,2010-12-03,1,0.5926936507097945
1240,2010-12-06,0,0.5926936507097945
1241,2010-12-07,0,0.5926936507097945
1242,2010-12-08,0,0.6202798428758686
1243,2010-12-09,1,0.5926936507097945
1244,2010-12-10,1,0.5926936507097945
1245,2010-12-13,0,0.5926936507097945
1246,2010-12-14,0,0.6202798428758686
1247,2010-12-15,0,0.5941185834758032
1248,2010-12-16,1,0.5926936507097945
1249,2010-12-17,1,0.5926936507097945
1250,2010-12-20,1,0.6202798428758686
1251,2010-12-21,1,0.5926936507097945
1252,2010-12-22,0,0.6005409216162279
1253,2010-12-23,0,0.5925183253237042
1254,2010-12-27,0,0.5926457975162688
1255,2010-12-28,0,0.5926936507097945
1256,2010-12-29,1,0.6202798428758686
1257,2010-12-30,1,0.6202798428758686
1258,2010-12-31,0,0.6010141607351321
1259,2011-01-03,1,0.6109009229489398
1260,2011-01-04,0,0.6109009229489398
1261,2011-01-05,1,0.6109009229489398
1262,2011-01-06,0,0.6109009229489398
1263,2011-01-07,0,0.6109009229489398
1264,2011-01-10,1,0.6109009229489398
1265,2011-01-11,0,0.6109009229489398
1266,2011-01-12,1,0.6109009229489398
1267,2011-01-13,0,0.6109009229489398
1268,2011-01-14,1,0.6109009229489398
1269,2011-01-18,0,0.6109009229489398
1270,2011-01-19,0,0.6109009229489398
1271,2011-01-20,1,0.6109009229489398
1272,2011-01-21,0,0.6109009229489398
1273,2011-01-24,1,0.6109009229489398
1274,2011-01-25,0,0.6109009229489398
1275,2011-01-26,1,0.6109009229489398
1276,2011-01-27,1,0.6109009229489398
1277,2011-01-28,0,0.6109009229489398
1278,2011-01-31,1,0.6109009229489398
1279,2011-02-01,1,0.6109009229489398
1280,2011-02-02,0,0.6109009229489398
1281,2011-02-03,1,0.6109009229489398
1282,2011-02-04,1,0.6109009229489398
1283,2011-02-07,1,0.6109009229489398
1284,2011-02-08,1,0.6109009229489398
1285,2011-02-09,1,0.6109009229489398
1286,2011-02-10,1,0.6109009229489398
1287,2011-02-11,1,0.6109009229489398
1288,2011-02-14,0,0.6109009229489398
1289,2011-02-15,0,0.6109009229489398
1290,2011-02-16,1,0.6109009229489398
1291,2011-02-17,0,0.6109009229489398
