ticker,TJX UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-05,0.5934
2013-08-06,-0.9032
2013-08-07,-1.6183
2013-08-08,-0.1891
2013-08-09,-0.7388
2013-08-12,0.0
2013-08-13,0.8111
2013-08-14,-1.3477999999999999
2013-08-15,-2.309
2013-08-16,-0.5712
2013-08-19,0.5349
2013-08-20,6.8768
2013-08-21,-0.2212
2013-08-22,0.0739
2013-08-23,0.517
2013-08-26,-0.7531
2013-08-27,-1.9989
2013-08-28,-0.2833
2013-08-29,0.3788
2013-08-30,-0.5283
2013-09-03,0.7777
2013-09-04,1.3928
2013-09-05,0.4641
2013-09-06,-0.3695
2013-09-09,0.0556
2013-09-10,-0.0556
2013-09-11,1.2055
2013-09-12,-0.8979
2013-09-13,0.2219
2013-09-16,2.0111
2013-09-17,1.1756
2013-09-18,1.6089
2013-09-19,-0.2111
2013-09-20,-0.2116
2013-09-23,-0.8481
2013-09-24,-0.4455
2013-09-25,-0.4475
2013-09-26,1.5282
2013-09-27,0.0
2013-09-30,-0.1417
2013-10-01,0.6916
2013-10-02,-0.1233
2013-10-03,-0.9169
2013-10-04,0.2847
2013-10-07,-1.7569
2013-10-08,-1.2464
2013-10-09,0.439
2013-10-10,1.4934
2013-10-11,-0.2871
2013-10-14,1.1157
2013-10-15,-0.9966
2013-10-16,3.757
2013-10-17,-0.2772
2013-10-18,0.3648
2013-10-21,-0.3289
2013-10-22,1.7541
2013-10-23,0.1877
2013-10-24,0.1533
2013-10-25,0.5273
2013-10-28,-0.5753
2013-10-29,2.1784
2013-10-30,0.3331
2013-10-31,0.913
2013-11-01,0.1481
2013-11-04,-0.0821
2013-11-05,0.7562
2013-11-06,0.7016
2013-11-07,-1.7984
2013-11-08,1.8314
2013-11-11,-0.0486
2013-11-12,0.1216
2013-11-13,1.7851
2013-11-14,0.4624
2013-11-15,0.8094
2013-11-18,-1.6215000000000002
2013-11-19,1.0082
2013-11-20,0.2376
2013-11-21,1.138
2013-11-22,-1.4534
2013-11-25,0.1586
2013-11-26,-0.19
2013-11-27,0.349
2013-11-29,-0.6007
2013-12-02,-0.2704
2013-12-03,-0.4146
2013-12-04,0.2562
2013-12-05,-0.6069
2013-12-06,0.1768
2013-12-09,-0.4491
2013-12-10,0.1934
2013-12-11,-1.3348
2013-12-12,-0.163
2013-12-13,-0.1306
2013-12-16,0.7357
2013-12-17,-0.4219
2013-12-18,1.8578999999999999
2013-12-19,0.08
2013-12-20,-0.0959
2013-12-23,0.3521
2013-12-24,0.5103
2013-12-26,0.9837
2013-12-27,-0.4242
2013-12-30,-0.0947
2013-12-31,0.6475
2014-01-02,-0.3923
2014-01-03,0.189
2014-01-06,-1.0849
2014-01-07,0.4292
2014-01-08,0.5065
2014-01-09,-0.2835
2014-01-10,1.1529
2014-01-13,-1.7799
2014-01-14,-0.0795
2014-01-15,-0.4932
2014-01-16,-0.6715
2014-01-17,-0.4346
2014-01-21,-2.6673
2014-01-22,-1.6941000000000002
2014-01-23,-1.3347
2014-01-24,-1.113
2014-01-27,0.6061
2014-01-28,0.0861
2014-01-29,-1.5476999999999999
2014-01-30,0.4541
2014-01-31,-0.2608
